source,target,weight
0,1,17
0,9,5
0,7,2
0,30,8
0,3,10
0,14,5
0,5,4
0,8,9
0,24,2
1,5,5
1,19,29
1,30,6
1,4,13
1,8,5
1,9,6
1,14,4
1,25,3
1,3,6
1,13,6
1,15,8
1,6,4
1,27,3
1,34,1
1,38,3
30,8,5
30,5,1
30,19,2
30,3,2
30,14,1
30,25,1
30,24,1
30,16,3
3,6,13
3,14,13
3,13,25
3,9,3
3,15,6
3,16,5
3,27,2
4,5,6
4,9,5
4,8,7
4,19,7
4,34,1
4,24,3
5,19,17
5,6,1
5,25,3
6,19,10
6,10,5
6,15,13
7,13,3
7,19,3
7,27,4
7,25,5
8,14,6
8,9,9
8,19,7
8,24,2
9,13,4
9,19,25
9,24,1
9,11,5
9,15,4
9,34,8
9,25,3
10,25,4
10,13,2
11,34,4
11,25,10
13,22,7
13,15,23
13,14,2
13,25,2
14,25,3
14,34,2
15,16,8
16,19,3
19,27,3
21,25,1
22,27,4
22,25,4
25,34,9
