source,target,type
2,3,incoming
2,19,incoming
2,20,incoming
2,25,incoming
2,26,incoming
2,29,incoming
2,45,outandin
2,56,incoming
3,19,incoming
3,20,incoming
3,25,incoming
3,29,incoming
3,45,outandin
3,26,incoming
3,56,incoming
11,25,
11,44,
11,56,
11,58,
14,39,outandin
17,25,outandin
19,20,
19,25,
19,26,incoming
19,29,incoming
19,33,outandin
19,45,outandin
19,56,incoming
20,25,
20,26,incoming
20,29,incoming
20,33,outandin
20,45,outandin
20,56,incoming
21,25,incoming
21,52,outandin
21,56,incoming
24,25,outandin
25,26,
25,28,outandin
25,33,outandin
25,56,
25,29,incoming
25,44,
25,45,incoming
25,52,
25,58,
26,29,outandin
26,45,outandin
26,56,
29,45,outandin
33,56,outandin
44,56,
44,58,
56,58,
