node,centrality,community,density,name,type,betwness,closeness,eign,volatility,anchor_name
2,5,0,0,Alicia Spinnet,outandin,0.0,0.47731755424063116,0.17799663323392947,2,Gryffindor
3,5,0,0,Angelina Johnson,outandin,0.0,0.47731755424063116,0.17799663323392947,2,Gryffindor
4,6,2,0,Anthony Goldstein,outandin,0.0,0.4898785425101215,0.1794701690821328,0,Ravenclaw
8,1,2,0,Cho Chang,outgoing,0.0,0.4329159212880143,0.06157770044074771,2,Ravenclaw
11,1,0,0,Dean Thomas,incoming,0.0,0.4329159212880143,0.06157770044074771,4,Gryffindor
14,3,3,0,Draco Malfoy,incoming,0.0,0.11538461538461539,2.5826393351404384e-09,2,Slytherin
17,6,1,0,Ernie Macmillan,outandin,0.0,0.4898785425101215,0.1794701690821328,1,Hufflepuff
19,9,0,0,Fred Weasley,,0.015384615384615385,0.5318681318681319,0.2801031164829786,5,Gryffindor
20,9,0,0,George Weasley,,0.015384615384615385,0.5318681318681319,0.2801031164829786,5,Gryffindor
21,7,0,0,Ginny Weasley,,0.003076923076923077,0.5031185031185031,0.24620685219047167,4,Gryffindor
23,3,3,0,Gregory Goyle,incoming,0.0,0.11538461538461539,2.5826393351404384e-09,1,Slytherin
24,6,1,0,Hannah Abbott,outandin,0.0,0.4898785425101215,0.1794701690821328,1,Hufflepuff
25,22,0,0,Harry James Potter,,0.5061538461538462,0.8461538461538461,0.48460364314736754,5,Gryffindor
26,8,0,0,Hermione Granger,,0.012307692307692308,0.5170940170940171,0.2698712032439394,5,Gryffindor
28,6,1,0,Justin Finch-Fletchley,outandin,0.0,0.4898785425101215,0.1794701690821328,1,Hufflepuff
29,5,0,0,Katie Bell,incoming,0.0,0.47731755424063116,0.17799663323392947,3,Gryffindor
33,3,0,0,Lee Jordan,outandin,0.0,0.4540337711069419,0.13276153516833974,1,Gryffindor
35,5,2,0,Luna Lovegood,incoming,0.0,0.47731755424063116,0.18304836460050786,1,Ravenclaw
44,5,0,0,Neville Longbottom,,0.0,0.47731755424063116,0.18304836460050786,5,Gryffindor
48,1,2,0,Padma Patil,outandin,0.0,0.4329159212880143,0.06157770044074771,0,Ravenclaw
49,3,3,0,Pansy Parkinson,outandin,0.0,0.11538461538461539,2.5826393351404384e-09,0,Slytherin
52,2,0,0,Percy Weasley,outgoing,0.0,0.44322344322344326,0.09421219630313392,4,Gryffindor
56,8,0,0,Ronald Weasley,,0.012307692307692308,0.5170940170940171,0.25682851474737795,5,Gryffindor
58,1,0,0,Seamus Finnigan,incoming,0.0,0.4329159212880143,0.06157770044074771,4,Gryffindor
60,6,1,0,Susan Bones,outandin,0.0,0.4898785425101215,0.1794701690821328,0,Hufflepuff
61,7,2,0,Terry Boot,outandin,0.007692307692307693,0.5031185031185031,0.20989591507173805,0,Ravenclaw
63,3,3,0,Vincent Crabbe,incoming,0.0,0.11538461538461539,2.5826393351404384e-09,1,Slytherin
