source,target,type
0,78,outandin
0,99,incoming
0,108,outandin
0,197,incoming
0,255,outandin
0,319,incoming
0,462,outandin
0,502,outgoing
0,596,outandin
0,719,outandin
78,108,incoming
78,194,incoming
78,287,incoming
78,337,outandin
78,374,outgoing
78,393,outgoing
78,406,stable
78,471,outandin
78,546,outandin
99,169,outandin
99,360,outandin
99,374,outandin
99,420,incoming
99,436,outandin
99,478,outandin
99,482,outandin
99,523,outandin
99,665,outandin
99,696,outandin
108,43,outandin
108,210,outandin
108,267,outandin
108,374,outandin
108,375,outandin
108,462,incoming
108,523,outandin
108,554,outgoing
108,596,outandin
108,661,outandin
197,32,outandin
197,210,outandin
197,262,outandin
197,310,outandin
197,361,outandin
197,364,outandin
197,444,outandin
197,500,outandin
197,604,outandin
197,632,outandin
197,703,outandin
255,145,outandin
255,149,outandin
255,242,outandin
255,387,incoming
255,392,outandin
255,403,outgoing
255,445,outandin
255,482,incoming
255,518,outandin
255,692,outandin
319,169,incoming
319,226,stable
319,262,outgoing
319,308,outandin
319,310,outandin
319,361,outandin
319,373,outandin
319,546,incoming
319,719,outandin
462,339,outandin
462,359,outgoing
462,373,incoming
462,471,outandin
462,543,outandin
462,573,outandin
502,32,stable
502,37,outandin
502,194,incoming
502,218,incoming
502,243,outandin
502,267,outandin
502,324,outandin
502,334,outandin
502,373,outandin
502,392,outandin
502,409,outandin
502,429,stable
596,54,outandin
596,60,outgoing
596,156,outandin
596,224,outandin
596,243,outandin
596,497,outandin
596,543,outgoing
719,82,outandin
719,98,outandin
719,218,outandin
719,262,outandin
719,281,outandin
719,287,outandin
719,374,outandin
719,393,outandin
719,422,outandin
719,618,outandin
1,100,outandin
1,101,outandin
1,123,outandin
1,184,outandin
1,230,outandin
1,252,outandin
1,396,outandin
1,422,outandin
1,428,outandin
1,450,outandin
1,585,outandin
1,600,stable
1,622,outgoing
1,643,incoming
1,684,outandin
100,63,outandin
100,203,stable
100,260,outandin
100,323,outandin
100,345,incoming
100,472,outandin
100,475,outandin
100,520,outgoing
100,622,outandin
101,7,outgoing
101,75,incoming
101,123,incoming
101,174,incoming
101,232,outandin
101,422,outandin
101,585,outandin
101,617,outandin
101,643,incoming
101,671,outandin
123,30,outgoing
123,156,outandin
123,174,outandin
123,175,outandin
123,184,outandin
123,322,incoming
123,323,incoming
123,444,outandin
123,450,outandin
123,605,incoming
123,608,outandin
123,622,outandin
123,628,outandin
123,705,outandin
184,88,outandin
184,156,incoming
184,191,outandin
184,216,outandin
184,323,outandin
184,419,outandin
184,475,outgoing
184,585,outandin
184,628,outandin
184,692,outandin
230,18,outandin
230,21,outandin
230,71,outandin
230,118,incoming
230,182,outandin
230,300,outandin
230,382,outandin
230,391,outandin
230,447,outandin
230,551,incoming
230,575,outandin
230,592,outandin
230,610,outandin
230,721,incoming
252,7,outgoing
252,75,outandin
252,119,outandin
252,156,outgoing
252,191,incoming
252,286,outandin
252,428,incoming
252,456,outandin
252,585,outandin
252,599,outandin
396,7,outandin
396,137,outandin
396,422,outandin
396,444,outandin
396,600,outgoing
396,615,outandin
396,617,outandin
396,621,outandin
396,622,outandin
396,705,outandin
422,149,outgoing
422,419,outandin
422,428,outgoing
422,435,outandin
422,456,outandin
422,491,outandin
422,520,outgoing
422,553,incoming
422,628,outgoing
422,701,outandin
422,705,outandin
428,75,outandin
428,174,outgoing
428,232,incoming
428,705,outandin
450,33,outandin
450,75,outandin
450,77,outandin
450,119,outandin
450,156,outandin
450,203,outandin
450,395,outandin
450,475,outandin
450,517,outandin
585,18,outandin
585,94,outandin
585,113,outandin
585,156,outandin
585,479,outgoing
585,517,outandin
585,605,outandin
585,622,outandin
600,11,outandin
600,517,outgoing
600,520,outandin
600,573,outandin
600,636,incoming
600,701,incoming
622,7,outandin
622,46,outandin
622,191,outandin
622,262,outandin
622,284,outandin
622,373,outandin
622,530,outandin
622,643,outandin
643,133,outgoing
643,149,outandin
643,456,outandin
643,520,outgoing
643,627,outandin
643,636,outandin
684,378,outandin
684,426,outandin
684,645,outandin
684,650,outandin
684,657,incoming
684,659,outandin
684,667,incoming
684,673,outandin
684,681,outandin
684,688,outandin
2,43,outandin
2,110,outandin
2,132,outandin
2,240,outandin
2,333,outandin
2,371,outandin
2,381,stable
2,387,incoming
2,430,outgoing
2,633,incoming
2,635,outandin
2,662,outandin
2,690,outandin
43,76,outandin
