source,target,type
0,44,outandin
0,137,outandin
0,246,outgoing
0,260,outandin
0,308,outandin
0,374,outandin
0,479,outgoing
0,605,outandin
0,616,outandin
44,32,outandin
44,124,outandin
44,332,outandin
44,386,outandin
44,544,outandin
44,568,outandin
44,605,outandin
44,616,outandin
44,633,outandin
137,45,outandin
137,184,outandin
137,192,outandin
137,197,outandin
137,241,outgoing
137,335,outandin
137,338,outandin
137,366,outandin
137,402,outandin
137,533,outandin
137,547,outandin
137,573,outandin
137,603,outandin
137,631,outandin
246,39,outandin
246,59,outandin
246,140,outandin
246,219,outandin
246,234,outgoing
246,236,outandin
246,261,outandin
246,377,outandin
246,479,outandin
246,566,outandin
246,616,outandin
260,109,outandin
260,204,outandin
260,334,outandin
260,347,outandin
260,368,outandin
260,428,outandin
260,593,outandin
260,597,outandin
260,652,outandin
308,27,outgoing
308,33,outandin
308,110,outandin
308,111,outandin
308,123,outandin
308,258,outgoing
308,364,outgoing
308,411,outandin
308,440,outandin
374,111,outgoing
374,234,outandin
374,258,outandin
374,332,outandin
374,377,outandin
374,419,outandin
374,568,outandin
374,605,outandin
479,9,outandin
479,27,outandin
479,73,outandin
479,122,outandin
479,124,outgoing
479,140,outandin
479,141,outandin
479,258,outandin
479,377,outandin
479,383,outandin
479,411,outandin
479,414,outgoing
479,423,outandin
479,606,outandin
479,633,outandin
605,377,outandin
605,474,outandin
605,504,outandin
605,516,outgoing
605,550,outandin
605,575,outandin
605,591,outgoing
605,622,outandin
605,664,outandin
616,122,outandin
616,140,outandin
616,176,outandin
616,205,outgoing
616,343,outandin
616,364,outandin
616,411,outandin
616,500,outandin
616,516,outgoing
616,544,outandin
616,633,outandin
1,54,outandin
1,68,outandin
1,155,outandin
1,159,outandin
1,295,outandin
1,428,outandin
1,451,outandin
1,454,outandin
1,477,outandin
1,526,outandin
1,555,outandin
1,620,outandin
1,654,outandin
54,12,outandin
54,68,outandin
54,177,outandin
54,289,outandin
54,391,outandin
54,406,outgoing
54,466,outandin
54,470,outandin
54,485,outandin
54,505,outandin
54,522,outandin
54,602,outandin
54,617,outandin
54,661,outandin
68,12,outandin
68,201,outandin
68,221,outgoing
68,223,outandin
68,369,outandin
68,421,outandin
68,425,outgoing
68,494,outandin
68,556,outandin
68,619,outandin
68,653,outandin
155,26,outandin
155,127,outandin
155,162,outandin
155,188,outandin
155,267,outandin
155,285,outandin
155,436,outandin
155,459,outandin
155,471,incoming
155,510,outandin
155,602,outandin
155,653,outandin
159,184,outandin
159,196,outandin
159,239,outandin
159,289,outgoing
159,446,outandin
159,471,outandin
159,534,outgoing
159,565,outandin
295,3,outandin
295,165,outandin
295,198,outandin
295,201,outandin
295,233,incoming
295,285,outandin
295,306,outandin
295,451,outandin
295,617,stable
428,42,outandin
428,144,outandin
428,156,outandin
428,158,outandin
428,180,outandin
428,197,outandin
428,256,outandin
428,562,outgoing
428,649,outandin
451,196,outandin
451,202,outandin
451,221,outandin
451,534,outandin
451,568,outandin
451,656,outandin
454,149,outandin
454,165,outgoing
454,280,outandin
454,284,outgoing
454,287,outandin
454,372,incoming
454,388,outandin
454,499,outgoing
454,526,outandin
454,548,outandin
454,608,outandin
477,165,outandin
477,196,outandin
477,202,outandin
477,388,outandin
477,391,outgoing
477,446,outgoing
477,466,outandin
477,522,outgoing
477,617,incoming
477,630,outandin
477,653,outandin
526,15,outgoing
526,57,outandin
526,75,outandin
526,247,outandin
526,290,outandin
526,320,outandin
526,447,outandin
526,523,outgoing
526,596,outandin
526,608,outandin
526,657,outandin
555,85,outandin
555,185,outandin
555,221,outandin
555,245,outandin
555,255,outandin
555,386,outandin
555,406,outandin
555,416,outandin
555,483,outandin
555,490,outandin
555,493,outandin
555,596,outandin
555,600,outandin
555,606,outandin
555,639,outandin
620,16,outandin
620,186,outandin
620,204,outandin
620,285,outandin
620,333,outgoing
620,505,outgoing
620,630,outandin
654,12,outandin
654,53,outandin
654,292,outandin
654,470,outandin
654,539,outandin
654,556,outandin
654,602,outandin
654,630,outandin
2,36,outandin
2,216,outandin
2,292,outandin
2,312,outandin
2,401,outgoing
2,467,outandin
2,468,outandin
2,517,outandin
2,612,outandin
2,658,outandin
2,664,outandin
36,16,outandin
36,77,outandin
36,143,outandin
36,148,outgoing
36,235,incoming
36,273,outandin
36,331,outandin
36,336,outandin
36,463,outandin
36,476,outandin
36,547,outandin
216,143,outandin
216,214,outandin
216,230,outgoing
216,342,outandin
216,400,outandin
216,624,outandin
216,655,outandin
292,31,outandin
292,65,outandin
292,114,outandin
292,361,outandin
292,429,outandin
292,518,outandin
292,567,outgoing
292,624,outandin
292,627,outandin
312,6,outandin
312,65,outandin
312,138,outandin
312,180,outandin
312,190,outgoing
312,204,outandin
312,270,incoming
312,287,outandin
312,294,outandin
312,458,outandin
312,468,outandin
401,143,outandin
401,269,outandin
401,342,outandin
401,403,outandin
401,408,outandin
401,426,outandin
401,517,outandin
401,518,incoming
401,588,outandin
401,627,outandin
401,662,outandin
467,5,outandin
467,96,outgoing
467,143,outandin
467,150,outandin
467,214,outandin
467,219,outandin
467,283,outandin
467,549,incoming
467,550,outandin
467,624,outandin
468,65,outandin
468,96,outandin
468,348,outandin
468,390,outandin
468,426,outgoing
468,532,outandin
468,570,outandin
468,589,outandin
468,624,outandin
517,143,incoming
517,232,outgoing
517,307,outandin
517,458,outandin
517,548,outandin
517,607,outandin
517,658,outandin
612,27,outandin
612,32,outandin
612,82,outandin
612,110,outgoing
612,140,outandin
612,205,outandin
612,285,outandin
612,322,outandin
612,390,outandin
612,423,outandin
612,551,outandin
612,662,outandin
658,6,outandin
658,325,outandin
658,362,outandin
658,436,outandin
658,515,outandin
658,549,outandin
658,607,incoming
658,611,incoming
658,648,outandin
664,53,outandin
664,160,outandin
664,178,outandin
664,179,outandin
664,387,outandin
664,497,outandin
664,579,outandin
664,604,outandin
664,662,incoming
664,665,outandin
3,25,outandin
3,199,outandin
3,353,outandin
3,380,outandin
3,509,outandin
3,540,outandin
3,565,outandin
3,625,outgoing
3,634,outandin
25,42,incoming
25,252,stable
25,291,outandin
25,313,outandin
25,349,outgoing
25,398,outandin
25,444,outandin
25,457,incoming
25,543,outandin
25,585,outandin
25,643,outandin
25,659,outandin
199,43,outandin
199,80,outandin
199,95,outandin
199,99,outandin
199,120,incoming
199,144,outandin
199,151,outgoing
199,176,outgoing
199,200,outandin
199,209,outandin
199,343,outandin
199,545,outandin
199,625,outandin
353,156,outandin
353,182,outandin
353,185,outandin
353,509,outandin
353,548,outandin
