source,target,type
0,5,outgoing
0,69,outandin
0,203,outandin
0,268,outandin
0,273,outandin
0,339,outgoing
0,416,outandin
0,428,outandin
0,481,outandin
0,534,outandin
0,587,outandin
0,687,outandin
5,25,outgoing
5,309,outgoing
5,336,outandin
5,356,outandin
5,361,outandin
5,387,outandin
5,403,outandin
5,416,outandin
5,417,outandin
5,481,outandin
5,627,outandin
69,10,outgoing
69,76,outandin
69,118,outandin
69,120,outandin
69,196,outandin
69,337,outandin
69,353,outandin
69,358,outandin
69,415,outandin
69,461,outgoing
69,496,outandin
203,122,outandin
203,242,outandin
203,316,outgoing
203,535,outandin
268,3,outandin
268,46,outandin
268,60,outandin
268,115,outandin
268,248,outandin
268,269,outandin
268,384,outgoing
268,416,outandin
268,523,outandin
268,637,outandin
268,677,outandin
268,707,outandin
268,713,outandin
273,49,outandin
273,122,outgoing
273,242,outandin
273,316,outandin
273,336,outgoing
273,337,outandin
273,365,outandin
273,496,outandin
273,534,outandin
273,667,outandin
339,15,outgoing
339,78,outandin
339,120,outandin
339,266,outgoing
339,387,outandin
339,455,outandin
339,543,outandin
339,599,outandin
339,608,outgoing
416,25,outandin
416,42,outgoing
416,120,outandin
416,189,outandin
416,347,outandin
416,353,outandin
416,356,outandin
416,428,outandin
416,496,outandin
416,587,outandin
416,666,outandin
416,696,outandin
428,131,outandin
428,212,outandin
428,240,outandin
428,309,outandin
428,336,outgoing
428,347,outandin
428,415,outandin
428,632,outandin
428,639,outandin
428,673,outandin
481,10,outandin
481,76,outandin
481,274,outandin
481,347,outgoing
481,417,outandin
481,587,outandin
481,628,outandin
481,673,outgoing
481,709,outandin
534,30,outandin
534,73,outandin
534,76,outandin
534,417,outandin
534,455,outandin
534,496,outandin
534,594,outandin
534,709,outandin
587,42,outandin
587,356,outgoing
587,371,outgoing
587,402,outgoing
587,417,outandin
587,556,outandin
587,608,outandin
587,639,outandin
587,690,outandin
587,709,outandin
687,4,outgoing
687,184,outandin
687,229,outandin
687,250,outandin
687,435,outandin
687,494,outandin
687,517,outandin
687,529,outandin
687,543,outandin
687,584,outandin
687,652,outandin
687,699,outandin
1,121,outandin
1,241,outandin
1,244,outgoing
1,257,outandin
1,290,outgoing
1,358,outgoing
1,459,outandin
121,65,outandin
121,80,outandin
121,92,outgoing
121,106,outandin
121,244,outandin
121,253,outgoing
121,256,outandin
121,358,outandin
121,396,outgoing
121,489,outandin
121,564,outandin
121,576,outandin
121,631,outandin
241,178,outandin
241,181,outandin
241,225,outgoing
241,360,outgoing
241,386,outandin
241,484,outandin
241,537,outandin
241,547,outandin
241,585,outandin
241,633,outandin
241,644,outgoing
244,27,outandin
244,137,outandin
244,140,outandin
244,208,outandin
244,290,outandin
244,439,outgoing
244,546,outandin
244,547,outandin
244,556,outandin
257,3,outandin
257,62,outandin
257,81,outandin
257,103,outandin
257,196,outandin
257,443,outgoing
257,463,outgoing
257,479,outandin
257,623,outandin
257,703,outandin
257,715,outandin
290,27,outgoing
290,78,outandin
290,104,outandin
290,137,outandin
290,140,outgoing
290,224,outandin
290,251,outgoing
290,332,outandin
290,429,outgoing
290,502,outandin
290,504,outandin
290,566,outgoing
290,588,outandin
290,596,outandin
290,693,outandin
290,698,outandin
358,27,outgoing
358,110,outandin
358,156,outandin
358,208,outandin
358,267,outandin
358,429,outandin
358,435,outandin
358,503,outandin
358,535,outandin
358,552,outandin
358,618,outandin
358,655,outandin
459,23,outandin
459,208,outandin
459,283,outandin
459,430,outandin
459,502,outandin
459,521,outandin
459,539,outandin
459,563,outandin
2,41,outgoing
2,122,outandin
2,131,outandin
2,180,outandin
2,333,outandin
2,356,outandin
2,385,outgoing
2,594,outandin
2,651,outandin
2,666,outandin
41,58,outandin
41,240,outandin
41,353,outandin
41,505,outandin
41,608,outgoing
41,666,outandin
41,667,outandin
122,10,outandin
122,15,outandin
122,131,outandin
122,133,outandin
122,180,outandin
122,286,outgoing
122,336,outgoing
122,385,outandin
122,402,outandin
122,632,outandin
122,639,outandin
122,709,outandin
131,25,outandin
131,73,outandin
131,240,outandin
131,309,outandin
131,461,outandin
131,627,outandin
131,690,outandin
180,25,outandin
180,65,outandin
180,286,outandin
180,415,outandin
180,535,outandin
180,603,outandin
180,608,outandin
180,632,outandin
180,673,outandin
333,57,outandin
333,79,outandin
333,264,outandin
333,403,outandin
333,438,outandin
333,445,outandin
333,448,outandin
333,451,outandin
333,651,outandin
333,678,outandin
333,705,outandin
333,712,outandin
356,25,outandin
356,365,outandin
356,370,outandin
356,387,outandin
356,576,outandin
356,599,outgoing
356,651,outandin
385,240,outgoing
385,311,outandin
385,387,outandin
385,417,outgoing
385,455,outandin
385,596,outandin
594,240,outandin
594,311,outandin
594,340,outandin
594,353,outandin
594,355,outandin
594,639,outandin
594,650,outandin
594,662,outgoing
594,709,outandin
651,27,outandin
651,76,outandin
651,309,outandin
651,402,outandin
651,496,outandin
651,505,outgoing
651,709,outandin
666,42,outandin
666,120,outandin
666,402,outgoing
666,471,outandin
666,599,outandin
666,602,outandin
666,632,outgoing
666,639,outandin
666,709,outandin
3,6,outgoing
3,74,outandin
3,196,outandin
3,277,outgoing
3,312,outandin
3,676,outandin
3,700,outandin
6,196,outandin
6,263,outandin
6,269,outandin
6,285,outgoing
6,299,outandin
6,312,outandin
6,340,outandin
6,388,outandin
6,649,outandin
6,707,outandin
6,715,outandin
74,60,outandin
74,248,outandin
74,263,outandin
74,272,outandin
74,274,outandin
74,372,outgoing
74,384,outgoing
74,443,outandin
74,482,outandin
74,506,outandin
74,570,outandin
74,707,outandin
74,714,outandin
196,372,outandin
196,384,outandin
196,437,outandin
196,482,outandin
196,520,outandin
196,677,outandin
196,713,outandin
277,248,outandin
277,384,outandin
277,418,outandin
277,450,outandin
277,540,outandin
277,541,outgoing
277,677,outandin
312,218,outandin
312,269,outandin
312,571,outandin
312,703,outandin
312,713,outandin
312,715,outandin
676,60,outandin
676,156,outandin
676,209,outandin
676,294,outandin
676,472,outgoing
676,598,outandin
676,682,outandin
676,703,outandin
676,715,outandin
700,324,outandin
700,326,outandin
700,412,outandin
700,490,outandin
700,516,outandin
700,591,outandin
700,624,outandin
700,628,outandin
700,643,outandin
4,100,outandin
4,127,outandin
4,191,outandin
4,232,outandin
4,323,outandin
4,400,outandin
4,427,outandin
4,465,outandin
4,514,outandin
4,528,outandin
4,630,outandin
4,699,outandin
100,44,outgoing
100,105,outandin
100,123,outandin
100,211,outandin
100,255,outandin
100,305,outandin
100,432,outandin
100,438,outandin
100,451,outandin
100,567,outandin
100,581,outandin
100,650,outandin
100,652,outandin
100,670,outandin
127,71,outgoing
127,99,outandin
127,179,outgoing
127,238,outandin
127,315,outandin
127,363,outandin
127,546,outandin
127,716,outandin
191,68,outandin
191,147,outandin
191,185,outandin
191,229,outandin
191,267,outandin
191,368,outandin
191,374,outandin
191,542,outgoing
191,607,outandin
191,609,outandin
191,625,outandin
191,629,outandin
232,44,outandin
232,105,outandin
232,254,outandin
232,270,outandin
232,305,outandin
232,388,outandin
323,32,outandin
323,211,outandin
323,279,outandin
323,513,outandin
323,514,outandin
323,585,outandin
323,650,outandin
323,670,outandin
400,184,outandin
400,205,outgoing
400,438,outandin
400,512,outgoing
400,517,outandin
400,528,outandin
400,543,outgoing
400,610,outandin
400,621,outandin
400,643,outandin
400,699,outandin
427,91,outandin
427,162,outandin
427,205,outandin
427,231,outandin
427,270,outandin
427,487,outandin
427,514,outandin
427,601,outandin
427,710,outandin
465,142,outandin
465,185,outandin
465,259,outandin
465,282,outandin
465,296,outandin
465,432,outandin
465,573,outandin
465,702,outandin
514,39,outgoing
514,83,outandin
514,91,outandin
514,123,outandin
514,161,outandin
514,184,outandin
514,194,outandin
514,205,outandin
514,211,outandin
514,255,outandin
514,329,outandin
514,414,outandin
514,422,outandin
514,471,outandin
514,567,outandin
514,621,outandin
514,650,outandin
528,39,outandin
528,211,outgoing
528,245,outandin
528,322,outandin
528,336,outandin
528,512,outandin
528,670,outandin
528,699,outandin
630,21,outandin
630,78,outandin
630,123,outgoing
630,194,outandin
630,211,outandin
630,250,outandin
630,270,outandin
630,338,outandin
630,388,outandin
630,498,outandin
630,610,outandin
630,622,outandin
699,105,outandin
699,158,outandin
699,322,outandin
699,483,outandin
699,487,outandin
699,517,outandin
699,572,outandin
699,601,outandin
699,704,outandin
25,108,outandin
25,155,outgoing
25,239,outgoing
25,353,outandin
25,371,outandin
25,415,outandin
25,417,outandin
25,529,outandin
25,663,outandin
25,677,outandin
309,49,outandin
309,70,outandin
309,120,outandin
309,260,outandin
309,286,outandin
309,337,outandin
309,353,outandin
309,417,outandin
309,575,outandin
309,645,outandin
336,19,outandin
336,118,outandin
336,368,outandin
336,627,outandin
336,709,outandin
361,42,outandin
361,76,outandin
361,141,outandin
361,284,outandin
361,371,outandin
361,415,outandin
361,608,outandin
361,639,outandin
387,76,outandin
387,118,outandin
387,155,outandin
387,225,outandin
387,240,outandin
387,287,outandin
387,365,outandin
387,415,outandin
387,599,outandin
387,667,outandin
403,79,outandin
403,82,outandin
403,99,outandin
403,157,outandin
403,421,outandin
403,451,outandin
403,478,outgoing
403,486,outandin
403,523,outandin
403,617,outandin
403,678,outandin
417,42,outandin
417,59,outandin
417,297,outandin
417,371,outandin
417,455,outandin
627,155,outandin
627,242,outandin
627,461,outandin
627,505,outandin
627,529,outandin
627,660,outandin
263,103,outandin
263,272,outandin
263,440,outandin
263,441,outandin
263,485,outandin
263,682,outandin
263,713,outandin
269,148,outandin
269,233,outandin
269,299,outandin
269,482,outandin
269,682,outandin
269,707,outandin
269,716,outandin
285,97,outandin
285,372,outandin
285,450,outandin
285,463,outgoing
285,598,outandin
285,707,outandin
299,198,outandin
299,372,outandin
299,418,outandin
299,437,outandin
299,598,outgoing
299,618,outandin
299,664,outandin
340,75,outandin
340,186,outandin
340,540,outgoing
340,683,outandin
340,715,outandin
388,21,outgoing
388,113,outandin
388,158,outandin
388,194,outandin
388,376,outandin
388,471,outandin
388,504,outandin
388,517,outandin
649,58,outandin
649,62,outgoing
649,322,outandin
649,371,outandin
649,443,outgoing
649,460,outandin
649,463,outandin
649,472,outgoing
649,485,outandin
707,58,outandin
707,158,outandin
707,463,outandin
707,523,outandin
715,42,outandin
715,272,outandin
715,372,outandin
715,384,outandin
715,437,outandin
715,443,outandin
715,472,outandin
715,540,outandin
715,541,outandin
7,234,outgoing
7,381,outandin
7,398,outandin
7,491,outandin
7,546,outgoing
7,550,outandin
7,554,outgoing
7,622,outandin
234,31,outandin
234,144,outandin
234,235,outandin
234,414,outgoing
234,518,outandin
234,533,outandin
234,550,outgoing
381,13,outandin
381,88,outandin
