source,target,type
0,8,outandin
0,13,outandin
0,28,outandin
0,57,outandin
0,83,outandin
0,136,outandin
0,185,outandin
0,300,outandin
0,507,outandin
0,508,outandin
0,510,outandin
0,539,outandin
0,573,outandin
0,585,outandin
8,20,outandin
8,104,outandin
8,163,outandin
8,164,outandin
8,437,incoming
8,550,outandin
8,559,outandin
13,18,outandin
13,85,outandin
13,107,outandin
13,118,outandin
13,154,outandin
13,217,incoming
13,283,outandin
13,300,incoming
13,311,outandin
13,362,incoming
13,458,outandin
13,482,outandin
13,539,outandin
13,544,outandin
28,34,outandin
28,107,outandin
28,182,outandin
28,217,outandin
28,238,incoming
28,275,outandin
28,300,outandin
28,320,outandin
28,366,outandin
28,414,outandin
28,458,outandin
28,539,outandin
28,562,outandin
57,22,outandin
57,83,incoming
57,126,outandin
57,157,outandin
57,202,incoming
57,207,outandin
57,211,outandin
57,219,outandin
57,311,outandin
57,323,outandin
57,348,outandin
57,396,outandin
57,547,outandin
57,573,incoming
83,202,outandin
83,299,outandin
83,311,outandin
83,428,outandin
83,459,incoming
83,517,outandin
83,573,outandin
136,24,outandin
136,101,outandin
136,181,outandin
136,351,outandin
136,362,incoming
136,482,outandin
185,120,outandin
185,200,outandin
185,204,outandin
185,278,outandin
185,300,outandin
185,322,outandin
185,334,outandin
185,547,outandin
300,18,outandin
300,88,outandin
300,202,outandin
300,455,outandin
300,535,incoming
507,55,outandin
507,69,outandin
507,92,outandin
507,135,outandin
507,274,outandin
507,409,outandin
507,418,incoming
507,438,incoming
507,472,outandin
507,512,outandin
507,554,outandin
507,569,outandin
507,576,outandin
508,54,incoming
508,118,outandin
508,173,outandin
508,181,outandin
508,192,outandin
508,202,outandin
508,217,outandin
508,362,outandin
508,396,outandin
508,482,outandin
508,512,outandin
508,533,outandin
510,4,outandin
510,55,outandin
510,409,outandin
510,428,outandin
510,472,outandin
510,486,outandin
510,542,incoming
510,593,incoming
539,61,outandin
539,101,outandin
539,133,outandin
539,204,incoming
539,252,outandin
539,366,outandin
539,414,outandin
539,457,outandin
539,517,outandin
539,585,outandin
573,191,outandin
573,203,outandin
573,219,outandin
573,221,outandin
573,244,outandin
573,322,incoming
573,399,outandin
573,535,outandin
585,16,outandin
585,18,outandin
585,26,outandin
585,39,outandin
585,101,outandin
585,311,outandin
585,333,outandin
585,334,outandin
585,351,outandin
585,366,outandin
585,396,outandin
585,562,outandin
1,12,outandin
1,126,outandin
1,165,outandin
1,226,outandin
1,233,incoming
1,244,outandin
1,327,outandin
1,337,outandin
1,465,outandin
12,17,outandin
12,143,outandin
12,148,outandin
12,257,outandin
12,288,outandin
12,307,outandin
12,315,outandin
12,330,outandin
12,331,outandin
12,424,outandin
12,434,outandin
12,446,incoming
