source,target,type
0,42,incoming
0,147,outgoing
0,78,outandin
0,159,outandin
0,83,incoming
0,157,outgoing
0,4,
0,8,outgoing
0,14,outandin
0,16,outandin
0,45,outgoing
0,47,outandin
0,52,outandin
0,57,incoming
0,64,
0,74,outgoing
0,76,outgoing
0,95,outandin
0,106,outandin
0,107,outandin
0,110,outandin
0,111,
0,112,outandin
0,120,outandin
0,131,outandin
0,132,incoming
0,143,
0,154,outandin
0,156,outgoing
42,8,outandin
42,11,incoming
42,16,outgoing
42,32,incoming
42,110,outandin
42,154,outandin
42,14,outandin
42,147,outgoing
42,69,outandin
42,78,incoming
42,101,outandin
42,111,outgoing
42,132,
42,193,
147,28,outandin
147,47,outandin
147,60,
147,64,incoming
147,76,
147,106,incoming
147,143,
147,74,outandin
147,159,outandin
147,52,incoming
147,157,
78,8,
78,11,outgoing
78,32,incoming
78,57,outandin
78,74,outandin
78,91,outandin
78,87,outandin
78,95,outandin
78,120,
78,135,
78,154,outandin
78,159,
78,193,outgoing
159,8,
159,110,outandin
159,111,incoming
159,120,
159,91,outandin
159,57,outandin
159,74,outandin
159,154,outandin
83,14,outgoing
83,55,outgoing
83,69,incoming
83,57,outandin
83,156,incoming
83,157,outandin
83,91,outandin
83,95,outandin
83,84,outandin
83,101,outandin
83,181,incoming
157,14,incoming
157,43,outandin
157,52,outandin
157,57,outandin
157,74,
157,87,outandin
157,106,incoming
157,107,outandin
157,110,
157,112,outandin
157,131,incoming
157,132,incoming
157,64,
1,98,outandin
1,160,outandin
1,162,outandin
1,155,outandin
1,46,incoming
1,152,outandin
1,13,outandin
98,15,outgoing
98,26,
98,29,incoming
98,33,outandin
98,46,outandin
98,48,outandin
98,50,
98,53,
98,61,outandin
98,66,incoming
98,67,
98,77,
98,80,outgoing
98,82,
98,196,outgoing
98,170,outgoing
98,117,incoming
98,141,outgoing
98,153,incoming
98,161,outandin
160,10,
160,17,outandin
160,26,outandin
160,29,outandin
160,36,outandin
160,40,outandin
160,46,outandin
160,50,outandin
160,65,outandin
160,66,incoming
160,67,outandin
160,72,incoming
160,85,outandin
160,86,outandin
160,102,outandin
160,109,outandin
160,117,outandin
160,128,incoming
160,146,outandin
160,158,outandin
160,155,outandin
160,53,outandin
160,162,outandin
160,173,outandin
160,192,outandin
162,20,outandin
162,30,outandin
162,40,outandin
162,46,outandin
162,53,outandin
162,56,outandin
162,66,outandin
162,77,outandin
162,85,outandin
162,86,outandin
162,92,outandin
162,96,outandin
162,117,outandin
162,122,outandin
162,158,incoming
162,128,outandin
162,65,outandin
162,170,outandin
162,174,outandin
162,188,incoming
162,192,outandin
155,17,outandin
155,26,outandin
155,53,outandin
155,67,incoming
155,77,outandin
155,86,outandin
