source,target,type
4198,2612,incoming
4198,4638,incoming
2612,4638,incoming
2612,788,incoming
6012,3904,incoming
6012,1588,incoming
6012,2788,incoming
3904,1588,
3904,2788,incoming
3904,335,incoming
3904,5334,incoming
3904,4366,incoming
3904,1949,incoming
3904,1226,incoming
3904,5685,incoming
3904,3959,incoming
3904,5644,incoming
3904,992,incoming
3904,1252,incoming
1588,2788,incoming
1588,335,incoming
1588,5334,incoming
1588,4366,incoming
1588,1949,incoming
1588,1226,incoming
3959,5849,incoming
3959,5685,incoming
3959,5644,incoming
3959,992,incoming
3959,1252,incoming
3959,4349,incoming
3959,347,incoming
3959,3601,incoming
5849,177,incoming
5849,4799,incoming
5849,1995,incoming
5849,5062,incoming
5849,5823,incoming
5849,5522,incoming
5849,3769,incoming
5849,2001,incoming
5849,5742,incoming
5849,3590,incoming
5849,4349,incoming
5849,347,incoming
5849,3601,incoming
5849,2139,incoming
5849,2465,incoming
5717,6101,incoming
4929,2923,incoming
2923,2574,incoming
2923,2008,incoming
2923,939,incoming
2923,3696,incoming
2923,4427,incoming
2923,1938,incoming
2923,168,incoming
2923,788,incoming
2923,522,incoming
2923,2519,incoming
2923,3850,incoming
2923,2493,incoming
2923,1691,incoming
2139,2465,incoming
2139,4111,incoming
2465,4111,incoming
2465,3822,incoming
2465,4584,incoming
2465,5436,incoming
2430,415,incoming
2430,3590,incoming
415,3590,incoming
415,4783,incoming
415,1438,incoming
415,4607,incoming
415,5742,incoming
415,3566,incoming
415,4139,incoming
415,354,incoming
415,491,incoming
415,2805,incoming
415,4042,incoming
415,5444,incoming
415,5438,incoming
415,6056,incoming
415,1447,incoming
3590,3922,incoming
3590,4098,incoming
3590,151,incoming
3590,420,incoming
3590,4139,incoming
3590,1438,incoming
3590,3865,incoming
3590,354,incoming
3590,4783,outgoing
3590,4607,incoming
3590,3319,incoming
3590,2257,incoming
3590,4853,incoming
3590,5742,incoming
3590,3566,incoming
3590,491,incoming
3590,2805,incoming
3590,4042,incoming
3590,5444,incoming
3590,5438,incoming
3590,6056,incoming
3590,260,incoming
3590,1447,incoming
3590,1962,incoming
3590,490,incoming
3590,1181,incoming
3590,3812,incoming
1835,2572,incoming
1835,2496,incoming
1835,2356,incoming
2572,3553,incoming
2572,160,outgoing
2572,6105,incoming
2572,2022,incoming
2572,4962,incoming
2572,1673,incoming
2572,2356,outgoing
2572,2207,incoming
2572,5811,incoming
2572,3834,incoming
2572,5893,incoming
195,3708,incoming
195,2125,incoming
3708,2125,incoming
1602,6308,incoming
1602,5480,incoming
6308,5480,incoming
6308,3498,incoming
6308,1256,incoming
5480,2669,incoming
5480,4129,incoming
5480,6066,incoming
5480,2511,incoming
5480,1130,
5480,914,incoming
5480,3106,incoming
2801,522,incoming
522,1938,incoming
522,168,incoming
522,788,incoming
522,3842,incoming
168,1938,incoming
168,788,incoming
6282,472,incoming
4697,893,incoming
4697,3160,incoming
893,3160,incoming
893,4715,incoming
893,4285,incoming
893,5923,incoming
893,5155,incoming
893,5169,incoming
2496,2409,incoming
2496,2638,incoming
3886,5644,incoming
5644,3496,incoming
5644,3938,incoming
5644,1216,incoming
5644,2622,incoming
5644,5685,outgoing
5644,992,incoming
5644,1252,outgoing
5644,5523,incoming
2034,6467,incoming
2034,5324,incoming
2034,2422,incoming
2034,43,incoming
2034,5519,incoming
2034,5834,outgoing
5572,693,incoming
5572,5093,incoming
5572,1416,incoming
693,5093,incoming
693,1416,incoming
5093,1416,incoming
1416,1984,incoming
1416,5287,incoming
1416,6393,incoming
1416,427,incoming
1416,82,incoming
1416,5476,incoming
1416,4151,incoming
941,6144,incoming
941,1956,incoming
941,1995,incoming
941,1533,incoming
941,3795,incoming
941,823,incoming
6144,1956,
6144,1995,incoming
6144,1533,incoming
6144,3795,incoming
6144,823,incoming
6144,6291,incoming
6144,2161,
1956,1995,incoming
1956,1533,incoming
1956,3795,incoming
1956,823,incoming
1956,3031,incoming
1956,2068,incoming
1956,2161,outgoing
1956,567,incoming
1956,5827,incoming
1956,3162,incoming
1956,3238,incoming
1956,6125,incoming
3976,6263,incoming
3976,5333,incoming
3976,6152,incoming
6263,5333,incoming
6263,6152,incoming
5333,6152,incoming
1630,3348,incoming
1630,1730,incoming
1630,117,incoming
1630,2902,incoming
3348,2033,incoming
3348,1232,incoming
3348,4149,incoming
3348,5212,incoming
3348,5556,incoming
3348,5414,incoming
3348,1730,incoming
3348,5623,incoming
3348,5084,incoming
3348,4492,incoming
3348,6100,incoming
3348,5358,incoming
3348,6174,incoming
3348,4015,incoming
3348,117,incoming
3348,2902,incoming
3348,1295,incoming
