source,target,type
0,60,outandin
0,99,outgoing
0,108,outandin
0,169,outandin
0,197,outgoing
0,327,outandin
0,361,outandin
0,579,outandin
0,664,outandin
60,32,outandin
60,39,outandin
60,210,outandin
60,216,outandin
60,218,outgoing
60,262,outandin
60,334,outandin
60,393,outandin
60,502,outandin
60,596,outandin
60,675,outandin
99,14,outgoing
99,134,outandin
99,262,outandin
99,267,outandin
99,361,outandin
99,364,outgoing
99,410,outandin
99,465,outandin
99,500,outandin
99,505,outandin
99,604,outandin
99,632,outandin
99,747,outandin
108,98,outandin
108,218,outandin
108,226,outandin
108,262,outgoing
108,269,outandin
108,307,outandin
108,334,outandin
108,359,outandin
108,393,outandin
108,443,outandin
108,462,outgoing
108,465,outgoing
108,497,outandin
108,500,outandin
108,580,outandin
108,775,outandin
169,157,outandin
169,194,outandin
169,267,outandin
169,364,outandin
169,373,outandin
169,379,outandin
169,410,outandin
169,502,outandin
169,523,outgoing
169,717,outandin
197,98,outandin
197,322,outandin
197,334,outandin
197,374,outandin
197,438,outandin
197,462,outandin
197,514,outandin
197,543,outandin
197,584,outandin
197,763,outandin
327,194,outandin
327,230,outandin
327,373,outandin
327,400,outandin
327,406,outandin
327,440,outandin
327,523,outandin
327,543,outandin
327,573,outgoing
327,773,outandin
361,307,outandin
361,319,outandin
361,429,outgoing
361,462,outandin
361,500,outgoing
579,36,outandin
579,68,outandin
579,80,outandin
579,102,outandin
579,130,outandin
579,202,outandin
579,283,outandin
579,316,outandin
579,350,outandin
579,383,outandin
579,708,outgoing
579,748,outgoing
664,646,outandin
664,648,outandin
664,652,outgoing
664,661,outgoing
664,665,outgoing
664,672,outgoing
664,673,outandin
664,674,outandin
664,682,outandin
664,686,outandin
664,687,outandin
664,734,outandin
1,30,outandin
1,33,outandin
1,123,outandin
1,156,outandin
1,191,outandin
1,322,outandin
1,323,outandin
1,365,outandin
1,422,outandin
1,465,outandin
1,610,outandin
1,769,outandin
30,27,outandin
30,123,outandin
30,156,outandin
30,201,outandin
