source,target,type
0,22,outandin
0,124,outandin
0,129,outandin
0,310,outandin
0,364,outandin
0,380,outandin
0,492,outgoing
0,516,outandin
0,605,outandin
22,32,outandin
22,173,outandin
22,195,outandin
22,363,outandin
22,415,outandin
22,423,stable
22,492,outandin
22,500,outandin
22,516,outandin
124,32,outandin
124,111,outgoing
124,129,outandin
124,258,incoming
124,355,outandin
124,364,outandin
124,377,incoming
124,390,outandin
124,404,outandin
124,516,outandin
124,568,outgoing
124,584,outandin
129,27,incoming
129,32,outandin
129,59,outandin
129,76,outandin
129,238,outandin
129,261,outgoing
129,377,outgoing
129,474,outandin
129,544,incoming
310,31,outandin
310,32,outandin
310,44,outgoing
310,110,outgoing
310,167,outandin
310,195,outandin
310,204,outandin
310,205,outandin
310,261,incoming
310,544,outandin
310,584,outandin
310,612,incoming
310,622,outandin
364,82,incoming
364,110,outandin
364,246,outandin
364,258,incoming
364,276,outandin
364,294,incoming
364,332,outandin
364,474,outgoing
364,492,outgoing
364,565,outandin
364,570,outandin
380,27,outandin
380,110,outgoing
380,115,outandin
380,226,outandin
380,377,outgoing
380,404,outandin
380,544,outandin
380,551,outgoing
380,612,outandin
380,622,outandin
492,57,outandin
492,59,outandin
492,63,outandin
492,140,outandin
492,234,outandin
492,474,outandin
492,575,outandin
492,612,outandin
492,616,outandin
516,52,outandin
516,227,outandin
516,261,incoming
516,272,outandin
516,377,outgoing
516,414,outandin
516,584,outandin
516,589,outandin
516,591,outandin
605,33,outandin
605,86,outandin
605,115,outandin
605,235,outandin
605,246,outandin
605,307,outandin
605,343,outandin
605,404,outandin
605,408,outandin
605,474,outandin
605,551,incoming
1,16,outandin
1,81,outandin
1,168,outandin
1,208,outgoing
1,221,incoming
1,289,outgoing
1,306,outandin
1,316,outandin
1,393,outandin
1,436,outandin
1,547,outandin
1,556,outandin
16,45,outandin
16,71,outandin
16,73,outandin
16,142,outgoing
16,201,outandin
16,227,outandin
16,245,outandin
16,262,outandin
16,266,outandin
16,275,outandin
16,304,outandin
16,355,outandin
16,497,outandin
81,93,incoming
81,321,outandin
81,369,outandin
81,370,outandin
81,395,outandin
81,410,incoming
81,441,outandin
81,481,outgoing
81,487,outandin
81,508,outandin
81,615,incoming
168,5,outgoing
168,12,outandin
168,84,outandin
168,223,outandin
168,242,outandin
168,288,outandin
168,289,outandin
168,423,outandin
168,513,outandin
168,534,outandin
168,556,incoming
168,561,outandin
168,593,outandin
208,21,outandin
208,165,outandin
208,333,outandin
208,347,outandin
208,421,incoming
208,547,outgoing
208,602,outandin
208,617,outandin
221,198,outandin
221,201,outandin
221,316,outandin
221,381,outandin
221,388,outandin
221,391,outandin
289,155,outandin
289,242,incoming
289,267,outandin
289,285,outandin
289,440,outandin
289,466,outandin
289,488,outandin
289,522,outgoing
289,524,incoming
289,617,outandin
306,196,outandin
306,223,outgoing
306,285,outandin
306,324,outandin
306,398,outandin
306,444,outandin
306,471,incoming
316,220,stable
316,228,outandin
316,285,outandin
316,333,incoming
316,385,outandin
316,393,outandin
316,421,outandin
316,488,outandin
316,490,outandin
316,561,outandin
393,196,outandin
393,198,outgoing
393,269,outandin
393,295,outgoing
393,381,outandin
393,524,outandin
393,556,outandin
393,558,outandin
436,28,outandin
436,104,outandin
436,140,outandin
436,165,incoming
436,177,outandin
436,202,outandin
436,239,incoming
436,242,outandin
436,267,outandin
436,325,outandin
436,466,outandin
436,485,incoming
436,620,outandin
547,146,outandin
547,155,outgoing
547,165,outandin
547,239,outandin
547,324,outandin
547,406,outandin
547,425,outgoing
547,446,outandin
547,559,outandin
556,5,outandin
556,68,outgoing
556,82,outandin
556,104,outandin
556,134,outandin
556,165,outandin
556,196,outgoing
556,267,outandin
556,391,outandin
556,406,incoming
556,451,outandin
556,477,outandin
556,578,outandin
2,6,outandin
2,24,outandin
2,34,outandin
2,150,outgoing
2,190,outandin
2,233,outandin
2,270,outandin
2,292,outandin
2,301,outandin
2,315,outandin
2,401,stable
2,408,outgoing
2,420,incoming
2,441,outandin
2,449,outandin
2,518,outandin
6,31,incoming
6,44,outandin
6,65,incoming
6,143,outandin
6,150,outandin
6,216,outandin
6,315,outgoing
6,348,outandin
6,403,outandin
6,408,outandin
6,517,outandin
6,607,outandin
24,35,outandin
24,103,outandin
24,268,outandin
24,304,outandin
24,409,outgoing
24,427,outandin
24,509,outandin
24,529,outandin
24,535,outgoing
24,541,outandin
24,585,outgoing
24,617,outandin
34,62,outandin
34,105,outandin
34,247,outgoing
34,280,outandin
34,407,incoming
34,430,outandin
34,438,outandin
34,454,outandin
34,526,outandin
34,563,outandin
150,60,outandin
150,144,outandin
150,162,outandin
150,216,outandin
150,230,stable
150,232,outandin
150,292,outandin
150,312,incoming
150,342,outandin
150,408,outandin
150,548,outandin
150,550,outandin
150,588,outandin
190,180,outandin
190,204,outandin
190,269,outandin
190,390,outandin
190,399,outandin
190,458,outandin
190,567,outandin
190,607,outandin
233,26,incoming
233,61,outandin
233,155,outandin
233,177,outandin
233,191,outandin
233,220,outandin
233,267,outandin
233,324,outandin
233,425,outandin
233,485,outandin
233,558,outandin
270,31,outandin
270,117,outandin
270,138,outandin
270,143,incoming
270,157,outandin
270,206,outandin
270,214,outandin
270,315,incoming
270,401,stable
270,453,outandin
270,532,outgoing
270,607,outandin
292,31,outandin
292,96,outgoing
292,307,outandin
292,315,outandin
292,515,outandin
292,532,incoming
292,548,outandin
292,553,outandin
292,570,outandin
292,589,outandin
301,40,incoming
301,230,outandin
301,251,incoming
301,264,outandin
301,268,outandin
301,291,outandin
301,327,outandin
301,395,incoming
301,396,outandin
301,427,stable
301,434,incoming
301,488,outandin
301,512,outandin
301,529,outandin
301,575,outandin
315,83,outandin
315,96,outandin
315,105,outandin
315,219,outandin
315,408,outandin
315,467,incoming
315,517,outandin
315,532,outandin
315,542,outandin
401,112,outandin
401,216,outandin
401,342,outgoing
401,367,outandin
401,443,outandin
401,519,outandin
401,568,outandin
401,611,outandin
408,31,incoming
408,191,outandin
408,276,outandin
408,448,outandin
408,458,outandin
408,589,outgoing
408,618,outandin
420,31,outandin
420,138,incoming
420,145,outandin
420,191,outandin
420,230,outandin
420,299,outandin
420,325,incoming
420,342,outgoing
420,367,outandin
420,456,outandin
420,468,outandin
420,548,outandin
441,45,outandin
441,119,outandin
441,169,outandin
441,259,outgoing
441,283,outandin
441,372,outandin
441,392,outgoing
441,418,outandin
441,566,outandin
449,51,outandin
449,166,outandin
449,218,outandin
449,297,outgoing
449,373,outgoing
449,382,outandin
449,494,outandin
449,553,outandin
449,554,outandin
449,559,outgoing
449,604,outandin
518,143,outgoing
518,145,outandin
518,159,outandin
518,219,outandin
518,230,stable
518,312,outandin
518,384,outandin
518,523,outandin
518,589,outandin
3,53,outandin
3,114,outandin
3,135,outandin
3,144,outandin
3,176,outandin
3,368,outandin
3,509,outandin
3,580,outandin
3,592,outandin
3,595,outandin
53,76,outgoing
53,102,outandin
53,120,outandin
53,293,outandin
53,319,outandin
53,350,outandin
53,435,outandin
53,460,outandin
53,552,stable
53,577,outandin
114,102,incoming
114,127,outandin
114,144,outandin
114,176,outandin
114,257,outandin
114,275,outandin
114,340,outandin
114,512,outandin
114,521,outandin
114,540,outandin
114,552,outandin
135,39,outandin
135,92,outgoing
135,260,outandin
135,293,outandin
135,313,outandin
135,343,outandin
135,350,outgoing
135,460,outandin
135,513,outandin
135,552,outandin
135,571,outandin
135,592,outandin
144,28,outandin
144,99,outandin
144,120,outandin
144,171,outandin
144,183,outandin
144,262,outandin
144,484,outandin
144,507,outandin
144,552,outandin
144,573,outandin
144,593,incoming
144,598,outandin
176,28,outandin
176,39,outandin
176,46,outandin
176,65,outandin
176,89,outgoing
176,120,outandin
176,210,outandin
176,256,outandin
176,400,outandin
176,484,outandin
176,577,outandin
176,598,outandin
368,46,outandin
368,102,stable
368,228,outandin
368,243,outandin
368,260,outandin
368,300,outandin
368,319,outandin
368,428,outandin
368,521,outandin
368,598,outgoing
368,613,outandin
509,29,outandin
509,329,outandin
509,353,outgoing
509,484,outgoing
509,521,incoming
580,48,outgoing
580,93,outandin
580,139,outandin
580,164,outandin
580,455,outandin
580,462,outandin
580,504,outandin
580,508,outandin
580,618,outandin
592,14,outandin
592,46,outandin
592,109,outandin
592,156,outandin
592,174,incoming
592,209,outandin
592,293,outandin
592,329,outandin
592,484,outandin
592,513,outandin
592,531,outandin
592,562,outandin
592,571,outandin
592,597,outgoing
592,598,outandin
595,76,outandin
595,102,outandin
595,183,outandin
595,319,outandin
595,329,outandin
595,350,incoming
595,507,outandin
595,577,outandin
595,613,incoming
4,36,outandin
4,41,outandin
4,49,outgoing
4,121,outandin
4,147,outandin
4,244,outandin
4,400,outandin
4,409,outandin
4,520,outgoing
36,20,outandin
36,30,outandin
36,41,outandin
36,121,outandin
36,126,outandin
36,133,outandin
36,148,stable
36,236,outandin
36,318,outandin
36,331,outandin
36,352,outandin
36,354,outandin
36,378,outandin
36,469,outandin
36,493,outandin
36,496,outandin
36,530,outandin
36,536,outandin
36,553,outandin
41,20,outandin
41,148,outandin
41,162,outandin
41,167,incoming
41,193,outandin
41,203,stable
41,400,outandin
41,520,outandin
49,67,outgoing
49,77,outandin
49,173,outandin
49,331,incoming
49,336,outandin
49,412,outandin
49,530,outgoing
121,84,outgoing
121,126,outandin
121,217,outandin
121,236,incoming
121,307,outandin
121,309,outgoing
121,323,outandin
121,412,outandin
121,536,outandin
147,20,outgoing
147,87,outgoing
147,163,outandin
147,167,outandin
147,194,outandin
147,256,outandin
147,336,outandin
147,354,incoming
147,359,outandin
147,379,outgoing
147,400,outandin
147,496,outandin
244,20,outandin
244,91,outgoing
244,158,outandin
244,162,outandin
244,262,outandin
244,323,outandin
244,362,outandin
244,379,outandin
244,384,outgoing
244,394,outandin
244,530,outandin
244,536,outandin
244,584,outandin
244,587,outgoing
400,20,outgoing
400,67,outgoing
400,126,incoming
400,167,outandin
400,203,outandin
400,213,outandin
400,217,outandin
400,228,outandin
400,236,outandin
400,296,outandin
400,309,outandin
400,336,outandin
400,530,incoming
409,64,incoming
409,98,outandin
409,291,outandin
409,313,outandin
409,395,outgoing
409,437,outandin
409,527,outandin
409,543,outandin
520,20,outgoing
520,148,outgoing
520,224,outgoing
520,262,outandin
520,309,outandin
520,323,outandin
520,334,outandin
520,466,outandin
520,493,outandin
520,523,outandin
520,553,incoming
5,127,outandin
5,181,outandin
5,361,outandin
5,421,outandin
5,451,incoming
5,477,outandin
5,510,outandin
5,534,outgoing
127,159,outandin
127,239,incoming
127,285,outandin
127,406,outandin
127,602,outandin
181,85,incoming
181,169,outandin
181,192,outandin
181,321,outandin
181,519,incoming
181,533,outgoing
181,619,outandin
361,8,outandin
361,54,outgoing
361,159,outgoing
361,177,outandin
361,195,outandin
361,220,outandin
361,285,outandin
361,388,outandin
361,425,outandin
361,446,outandin
361,575,outandin
421,12,outandin
421,159,outandin
421,242,outandin
421,288,outandin
421,295,outandin
421,328,incoming
421,332,outandin
421,446,outgoing
421,505,outandin
421,524,outandin
421,558,outgoing
451,68,outandin
451,155,outandin
451,242,outandin
451,267,outandin
451,288,outandin
451,328,outandin
451,434,outandin
451,477,outandin
451,505,incoming
451,522,outandin
451,534,outandin
451,575,outandin
477,155,incoming
477,202,outandin
477,288,outandin
477,333,incoming
477,388,outandin
477,390,outandin
477,391,incoming
477,406,outgoing
477,471,outandin
477,505,outgoing
510,42,incoming
510,75,outandin
510,211,outandin
510,268,outandin
510,313,outandin
510,444,outgoing
510,455,outandin
510,457,outandin
510,582,outandin
510,583,incoming
510,593,outandin
534,54,incoming
534,155,incoming
534,198,outgoing
534,381,outandin
534,388,outandin
534,391,incoming
534,471,outandin
534,524,outgoing
534,558,outandin
31,143,outandin
31,230,outandin
31,232,outandin
31,269,incoming
31,367,outandin
31,416,outandin
31,426,outandin
31,468,outandin
31,612,outandin
44,103,outandin
44,122,outandin
44,140,outandin
44,332,outgoing
44,377,outandin
44,414,outandin
44,568,outandin
44,621,outandin
65,203,incoming
65,431,outandin
65,456,outandin
65,503,outandin
65,550,stable
65,567,incoming
65,570,outandin
143,96,outandin
143,117,incoming
143,191,outandin
143,227,outandin
143,467,outgoing
143,532,incoming
216,76,outandin
216,117,outandin
216,204,outgoing
216,235,outandin
216,367,outandin
216,390,outandin
216,414,outandin
216,417,outandin
216,549,outandin
216,588,outandin
348,61,stable
348,232,outgoing
348,325,outandin
348,375,outandin
348,548,outandin
348,549,incoming
348,550,outandin
348,570,outandin
348,589,outandin
348,608,outandin
348,611,outandin
403,61,outandin
403,111,outandin
403,232,outandin
403,448,outandin
403,456,outandin
403,458,outandin
403,467,outandin
403,537,outandin
403,548,outandin
403,588,outandin
517,117,outandin
517,219,outandin
517,230,outandin
517,342,outandin
517,467,outandin
517,537,outandin
607,342,outandin
607,444,outandin
607,458,outandin
607,467,outandin
607,475,outandin
7,70,outandin
7,140,outandin
7,141,outandin
7,153,outandin
7,248,outandin
7,339,stable
7,363,outandin
7,417,incoming
7,447,stable
7,614,outandin
70,67,outandin
70,115,outandin
70,128,outgoing
70,141,outgoing
70,153,outandin
70,265,outandin
70,399,outgoing
70,447,outandin
70,539,outgoing
70,545,outandin
70,549,outandin
140,21,outandin
140,110,outandin
140,377,incoming
140,423,outgoing
140,575,outandin
140,616,outandin
140,622,incoming
141,11,outandin
141,37,outgoing
141,79,incoming
141,131,incoming
141,248,incoming
141,274,outandin
141,278,outandin
141,327,outandin
141,539,outandin
141,574,outgoing
153,11,outandin
153,78,outandin
153,101,outgoing
153,106,outandin
153,225,outandin
153,322,stable
153,417,outgoing
153,538,outandin
153,545,outgoing
248,69,outandin
248,119,outgoing
248,250,outgoing
248,272,incoming
248,339,stable
248,346,incoming
248,371,outandin
248,417,outandin
248,443,outandin
248,610,outandin
339,94,stable
339,128,outandin
339,226,outandin
339,253,outandin
339,272,stable
339,342,outandin
339,346,outandin
339,363,outandin
339,415,outandin
339,447,outgoing
339,448,outandin
339,506,outandin
339,574,outandin
363,37,outandin
363,149,outandin
363,253,outgoing
363,272,incoming
363,485,outandin
363,506,outandin
363,545,outandin
417,78,incoming
417,94,outandin
417,192,outandin
417,250,outandin
417,274,outandin
417,391,outandin
417,443,outandin
417,560,incoming
417,614,incoming
447,92,outandin
447,118,outandin
447,265,outandin
447,272,incoming
447,275,outandin
447,322,incoming
447,399,incoming
447,574,stable
614,79,incoming
614,115,outandin
614,119,outandin
614,326,incoming
614,379,outandin
614,399,incoming
614,465,outandin
614,538,incoming
614,545,outandin
8,12,outandin
8,54,outandin
8,177,outandin
8,198,outandin
8,298,outandin
8,522,outandin
8,524,outandin
12,75,outandin
12,159,outandin
12,196,outandin
12,198,outandin
12,242,outandin
12,267,incoming
12,295,outandin
12,313,outandin
12,381,outandin
12,485,incoming
12,522,outgoing
54,26,outandin
54,68,outandin
54,71,outandin
54,198,incoming
54,333,stable
54,425,outandin
54,522,outandin
54,533,outandin
54,602,outandin
54,620,outandin
177,26,outandin
177,68,outgoing
177,159,outandin
177,235,outandin
177,288,outandin
177,328,outandin
177,425,outandin
198,68,outandin
198,201,outandin
198,211,outandin
198,391,outandin
198,410,outandin
298,120,incoming
298,156,outgoing
298,353,incoming
298,432,incoming
298,507,outandin
298,546,outandin
298,571,incoming
522,202,outandin
522,220,outgoing
522,620,incoming
524,26,outandin
524,202,outandin
524,253,outandin
