source,target,type
0,8,outandin
0,46,outandin
0,109,outandin
0,159,outandin
0,177,outandin
0,200,outandin
0,254,outandin
0,289,outgoing
0,369,outandin
0,509,outandin
0,557,outandin
8,7,outandin
8,60,outandin
8,165,outandin
8,366,outandin
8,395,outandin
8,423,outgoing
8,509,outgoing
8,600,outandin
8,603,outandin
46,90,outandin
46,252,outandin
46,303,outandin
46,379,outandin
46,426,outgoing
46,465,outandin
46,473,outandin
46,499,outandin
109,20,outandin
109,43,outandin
109,76,outandin
109,176,outgoing
109,220,outandin
109,275,outgoing
109,286,outandin
109,330,outandin
109,383,incoming
109,471,outandin
109,488,outandin
109,508,outandin
109,561,outandin
159,35,outandin
159,72,outgoing
159,106,outgoing
159,134,outandin
159,259,outandin
159,306,incoming
159,396,outandin
159,590,outgoing
177,62,outandin
177,100,outandin
177,123,outandin
177,155,outgoing
177,200,outandin
177,258,outandin
177,265,outandin
177,395,outandin
177,402,incoming
177,423,outandin
177,428,outandin
177,518,outandin
200,74,outandin
200,226,outandin
200,254,outgoing
200,318,outandin
200,388,outandin
200,395,outandin
200,402,outandin
200,423,outandin
200,553,outandin
254,85,outandin
254,100,outandin
254,107,outandin
254,146,outandin
254,264,outandin
254,290,outandin
254,359,outandin
254,431,outgoing
254,454,outandin
254,557,outandin
254,564,outandin
254,619,outandin
289,3,outgoing
289,48,outandin
289,68,outandin
289,423,outandin
289,444,outandin
289,450,outandin
289,471,outandin
289,530,outandin
289,566,outandin
369,113,outandin
369,245,outandin
369,258,outandin
369,400,outgoing
369,412,outgoing
369,424,outandin
369,521,outandin
369,526,outandin
369,553,outandin
369,564,outandin
509,188,outandin
509,212,outandin
509,224,outandin
509,245,outgoing
509,334,outandin
509,366,outandin
509,510,outandin
509,558,outandin
509,600,outandin
509,604,outandin
509,615,outandin
557,18,outandin
557,89,outandin
557,246,outgoing
557,359,outandin
557,400,outandin
557,412,outandin
557,553,outandin
557,603,outandin
1,165,outandin
1,237,outandin
1,352,incoming
1,439,outandin
1,466,outandin
1,601,outandin
1,619,outandin
165,81,incoming
165,134,outandin
165,145,outandin
165,164,outandin
165,205,outandin
165,260,outandin
165,265,outandin
165,422,outandin
165,497,outandin
165,507,outgoing
165,593,outandin
237,11,incoming
237,39,outandin
237,114,outandin
237,207,outandin
237,277,outandin
237,294,outandin
237,301,outandin
237,386,outandin
237,391,outgoing
237,447,outandin
237,490,outandin
237,619,outandin
352,34,outgoing
352,80,incoming
352,95,incoming
352,135,outandin
352,279,outandin
352,445,outandin
