source,target,type
0,7,outgoing
0,97,outgoing
0,111,outandin
0,235,outandin
0,339,outandin
0,388,outandin
0,410,outandin
0,528,outandin
0,586,outandin
0,611,outandin
0,666,outandin
0,724,outandin
7,63,outandin
7,99,outgoing
7,176,outandin
7,185,outandin
7,293,outandin
7,336,outandin
7,410,outandin
7,437,outandin
7,474,outandin
7,501,outgoing
7,505,outandin
7,585,outandin
7,596,outandin
7,601,outandin
97,10,incoming
97,32,incoming
97,257,outandin
97,269,outandin
97,285,outandin
97,337,incoming
97,450,outandin
97,464,outandin
97,595,outandin
97,596,outandin
97,744,incoming
111,16,outandin
111,26,outandin
111,174,outandin
111,235,outandin
111,248,outandin
111,267,outandin
111,285,outandin
111,393,outandin
111,419,outandin
111,449,outandin
111,484,outandin
111,586,outandin
111,622,outgoing
111,636,outandin
235,15,incoming
235,132,outandin
235,176,outandin
235,221,outandin
235,291,outandin
235,334,outandin
235,337,incoming
235,393,outandin
235,413,outandin
235,450,outandin
235,544,outandin
235,599,outandin
235,636,outandin
235,729,outandin
339,221,incoming
339,225,outandin
339,318,outandin
339,336,outandin
339,347,outandin
339,450,outandin
339,564,outandin
339,746,outandin
388,99,outgoing
388,164,outandin
388,171,outandin
388,185,outandin
388,221,outandin
388,413,outandin
388,423,outandin
388,596,incoming
388,666,outgoing
410,87,outandin
410,260,outandin
410,291,outandin
410,367,outandin
410,555,outandin
410,666,outandin
528,10,outandin
528,16,outandin
528,56,outandin
528,116,outandin
528,123,outgoing
528,193,stable
528,337,outandin
528,464,outandin
528,595,outandin
586,143,outandin
586,149,outandin
586,279,outandin
586,307,outandin
586,321,outandin
586,503,outgoing
586,556,outandin
611,120,outandin
611,140,incoming
611,209,outandin
611,289,outgoing
611,317,outandin
611,609,outandin
611,679,outandin
611,733,outandin
611,743,outandin
666,123,outandin
666,172,outandin
666,221,outandin
666,280,outandin
666,336,outandin
666,381,incoming
666,475,outandin
666,555,outandin
724,32,outandin
724,45,outandin
724,172,incoming
724,185,outandin
724,200,outandin
724,257,outandin
724,291,outandin
724,295,outandin
724,308,outandin
724,430,outandin
724,450,outandin
724,474,outandin
724,595,outandin
724,622,outandin
3,112,outandin
3,384,outandin
3,386,incoming
3,433,outandin
3,435,outandin
3,439,incoming
3,588,outandin
3,615,outandin
3,718,outandin
112,122,outandin
112,173,outandin
112,334,outandin
112,386,outandin
112,463,outandin
112,479,outandin
