source,target,type
0,143,outandin
0,282,incoming
0,285,outandin
0,295,outandin
0,431,outandin
0,493,outandin
0,530,outgoing
0,667,outandin
0,687,outandin
143,74,outandin
143,100,outandin
143,155,outandin
143,262,outgoing
143,382,outandin
143,384,outandin
143,479,outandin
143,504,outandin
143,620,outandin
282,3,outandin
282,95,outandin
282,348,outandin
282,379,outandin
282,485,outandin
282,494,outandin
282,589,outgoing
282,632,outandin
282,667,outandin
285,156,outandin
285,402,outandin
285,417,outandin
285,441,outandin
285,473,outandin
285,578,outandin
285,651,incoming
285,666,outandin
285,673,incoming
295,16,outandin
295,25,outgoing
295,29,outandin
295,41,outandin
295,64,outandin
295,122,incoming
295,126,outandin
295,182,outandin
295,269,outandin
295,312,outgoing
295,318,outandin
295,425,outandin
295,458,outandin
431,149,outandin
431,169,outandin
431,281,outandin
431,506,outandin
431,509,outandin
431,572,outandin
431,589,outandin
431,631,outandin
431,632,outandin
493,48,outandin
493,58,stable
493,100,outandin
493,107,outandin
493,151,outandin
493,200,outandin
493,347,outgoing
493,424,outandin
493,499,outandin
493,565,outgoing
493,633,outandin
493,687,outandin
530,69,outandin
530,100,outandin
530,155,outandin
530,338,outandin
530,377,outandin
530,384,incoming
530,494,outandin
530,509,incoming
530,517,outandin
530,632,outandin
667,15,outandin
667,74,outandin
667,155,outandin
667,180,outandin
667,185,incoming
667,207,outandin
667,347,outandin
667,355,outandin
667,379,incoming
667,480,outandin
667,513,outandin
667,514,outandin
667,574,outandin
667,589,outandin
667,606,outandin
667,620,incoming
667,632,outandin
687,191,outandin
687,270,outandin
687,289,outandin
687,437,outandin
687,455,outandin
687,519,outandin
687,599,outandin
1,165,outandin
1,216,outandin
1,393,outgoing
1,445,outandin
1,463,outandin
1,519,outandin
1,534,outandin
1,629,outandin
1,641,outandin
165,57,outandin
165,88,outandin
165,283,outgoing
165,528,outandin
165,544,outandin
165,563,incoming
165,641,outandin
165,688,outandin
216,73,outandin
216,138,outandin
216,193,outgoing
216,232,outandin
216,326,outandin
216,430,outgoing
216,456,outandin
216,472,outandin
216,519,incoming
216,528,outandin
216,544,outandin
216,593,outandin
216,641,incoming
216,665,outandin
393,47,outandin
393,157,outgoing
393,200,outandin
393,203,outandin
393,248,outandin
393,385,outgoing
393,445,outgoing
393,472,outgoing
393,544,outandin
393,567,outandin
445,34,outandin
445,175,outandin
445,193,outandin
445,201,outandin
445,232,incoming
445,419,outandin
445,430,outandin
445,476,outgoing
445,481,outandin
445,487,outandin
445,535,outandin
445,582,outandin
445,655,outandin
463,60,outandin
463,237,outandin
463,290,outandin
463,385,incoming
463,476,outandin
463,487,outandin
463,514,outandin
463,535,incoming
463,575,outandin
463,596,outandin
463,629,outgoing
463,688,outandin
519,60,outandin
519,141,outandin
519,326,outgoing
519,385,outgoing
519,459,outandin
519,481,outandin
519,515,outandin
519,669,outandin
519,683,outandin
534,133,outandin
534,250,outandin
534,283,outandin
534,290,outgoing
534,419,outandin
534,669,outandin
534,688,outandin
629,64,outandin
629,133,outandin
629,157,outandin
629,419,incoming
629,459,outandin
629,556,outandin
629,644,outandin
629,655,outandin
641,269,outandin
641,279,outandin
641,385,outgoing
641,419,outandin
641,513,outandin
641,655,outandin
641,668,outandin
3,60,outandin
3,269,outgoing
3,290,outgoing
3,357,outandin
3,459,outgoing
3,462,outandin
3,514,outandin
3,567,outandin
3,576,outandin
3,665,outandin
60,269,outgoing
60,290,outandin
60,385,outandin
60,419,incoming
60,459,outandin
60,487,outandin
60,514,outandin
60,567,outandin
269,290,incoming
269,318,outandin
269,326,outandin
269,365,outandin
269,487,outandin
269,544,outandin
269,556,outandin
290,57,outandin
290,133,incoming
290,213,outandin
290,307,outandin
290,556,outandin
290,669,outandin
357,49,outandin
357,80,incoming
357,82,outandin
357,118,outandin
357,222,outgoing
357,354,outandin
357,424,outandin
357,610,outandin
357,622,outgoing
357,633,outgoing
357,668,outandin
459,201,outgoing
459,221,outandin
459,283,outandin
459,326,outandin
459,430,outandin
459,514,outgoing
459,563,outandin
459,567,stable
459,598,incoming
462,48,incoming
462,88,outgoing
462,133,incoming
462,283,outgoing
462,326,outandin
462,481,outandin
462,528,outandin
462,582,incoming
462,635,outandin
462,679,outandin
514,73,outandin
514,126,outandin
514,141,outgoing
514,193,outgoing
514,248,incoming
514,333,outandin
514,598,outandin
514,599,outandin
514,644,outandin
514,648,outandin
514,655,outandin
514,675,outandin
567,17,outandin
567,157,outandin
567,201,outandin
567,263,outandin
567,275,outandin
567,408,outandin
567,535,outandin
567,556,outandin
567,644,outandin
576,20,outandin
576,23,outgoing
576,40,outandin
