node,centrality,community,density,eign,betwness,closeness,volatility,name,type,anchor_name
378,7,0,0.1595628415300546,0.0285273371709831,0.0008004851961188,0.293069306930693,0.0,Team_00#378,stable,Team_00
568,7,0,0.1595628415300546,0.0235319999925028,0.0012575094739001,0.279508970727101,0.5,Team_00#568,stable,Team_00
97,8,0,0.1595628415300546,0.0235522117238289,0.0018489698840372,0.2836607570675611,0.0,Team_00#97,stable,Team_00
442,8,0,0.1595628415300546,0.0263713521723103,0.0006729099847177,0.2832535885167464,0.0,Team_00#442,stable,Team_00
520,8,0,0.1595628415300546,0.0240995870156239,0.0009299032504223,0.294234592445328,0.0,Team_00#520,stable,Team_00
113,9,0,0.1595628415300546,0.0357988062966958,0.0011607907683938,0.2951146560319043,0.0,Team_00#113,stable,Team_00
141,9,0,0.1595628415300546,0.0287450473705496,0.0007588876637639,0.2901960784313726,0.0,Team_00#141,stable,Team_00
258,9,0,0.1595628415300546,0.0276920072447305,0.0013572928171317,0.2961480740370185,0.5,Team_00#258,stable,Team_00
264,9,0,0.1595628415300546,0.028926798459454,0.0024630400504434,0.2977867203219316,0.0,Team_00#264,stable,Team_00
265,9,0,0.1595628415300546,0.0271828481368575,0.0022397425643603,0.3021949974476773,0.0,Team_00#265,stable,Team_00
315,9,0,0.1595628415300546,0.0248075587768494,0.0026486254816143,0.3014256619144603,0.0,Team_00#315,stable,Team_00
451,9,0,0.1595628415300546,0.0373218407058656,0.0029356777073505,0.3039014373716632,0.0,Team_00#451,stable,Team_00
464,9,0,0.1595628415300546,0.0297402866271741,0.0003930279142796,0.2832535885167464,0.0,Team_00#464,stable,Team_00
486,9,0,0.1595628415300546,0.0269634426840115,0.0009825242183624,0.2998986828774063,0.0,Team_00#486,stable,Team_00
16,10,0,0.1595628415300546,0.0311099281747294,0.0027377082965806,0.3000506842372022,0.0,Team_00#16,stable,Team_00
46,10,0,0.1595628415300546,0.0332874205079148,0.0023228857613161,0.3101100052383447,0.0,Team_00#46,stable,Team_00
71,10,0,0.1595628415300546,0.0312967062943648,0.0016093687564369,0.2940884252359662,0.0,Team_00#71,stable,Team_00
171,10,0,0.1595628415300546,0.0351288604050531,0.0032697705785311,0.310598111227702,0.0,Team_00#171,stable,Team_00
204,10,0,0.1595628415300546,0.0307870206973593,0.0016879465487954,0.2985375693393847,0.0,Team_00#204,stable,Team_00
223,10,0,0.1595628415300546,0.0358542923194297,0.0024601668621161,0.3009659379766141,0.0,Team_00#223,stable,Team_00
319,10,0,0.1595628415300546,0.0350771393589304,0.0011165826296185,0.2937965260545905,0.0,Team_00#319,stable,Team_00
390,10,0,0.1595628415300546,0.030947933005517,0.0015221154253761,0.2991409802930773,0.0,Team_00#390,stable,Team_00
422,10,0,0.1595628415300546,0.0402954419519771,0.0016202443637035,0.2946739671478347,0.0,Team_00#422,stable,Team_00
28,11,0,0.1595628415300546,0.0329502021568945,0.0011744421725621,0.2961480740370185,0.0,Team_00#28,stable,Team_00
57,11,0,0.1595628415300546,0.035406579271057,0.0030341728726198,0.3043701799485861,0.0,Team_00#57,stable,Team_00
127,11,0,0.1595628415300546,0.0339010764930499,0.0030535239087102,0.3015792154865002,0.0,Team_00#127,stable,Team_00
179,11,0,0.1595628415300546,0.0436860908416801,0.0019476917072169,0.310598111227702,1.0,Team_00#179,outgoing,Team_00
213,11,0,0.1595628415300546,0.0386616940555969,0.0063132772033319,0.3226158038147139,0.0,Team_00#213,stable,Team_00
