source,target,type
0,5,stable
0,286,outandin
0,316,outandin
0,337,outandin
0,339,incoming
0,387,outgoing
0,402,outandin
0,417,outandin
0,608,outandin
0,662,outandin
5,25,stable
5,41,outandin
5,309,stable
5,311,outandin
5,340,outandin
5,385,outandin
5,455,outandin
5,471,outandin
5,505,outandin
5,534,outandin
5,535,outgoing
5,666,outandin
286,73,incoming
286,118,outandin
286,122,incoming
286,337,outandin
286,356,outandin
286,416,outgoing
286,587,outandin
286,651,outandin
316,10,outandin
316,19,outandin
316,131,outandin
316,180,outandin
316,203,incoming
316,309,outandin
316,478,outandin
316,529,outandin
337,10,outandin
337,82,outandin
337,180,outandin
337,203,outandin
337,254,outandin
337,311,outgoing
337,347,outandin
337,402,outandin
337,627,outandin
337,639,outandin
337,673,outandin
339,15,incoming
339,41,outgoing
339,76,outandin
339,266,incoming
339,273,outandin
339,347,outandin
339,505,outandin
339,519,outandin
339,608,incoming
339,623,outandin
339,645,outandin
387,25,outandin
387,180,outandin
387,266,outandin
387,371,outandin
387,556,outandin
387,627,outandin
387,632,outandin
402,2,outandin
402,48,outgoing
402,96,outandin
402,180,outandin
402,415,outandin
402,587,incoming
402,594,outandin
402,666,incoming
417,2,outandin
417,48,outandin
417,76,outgoing
417,98,outandin
417,106,outandin
417,122,outandin
417,162,outandin
417,180,outandin
417,347,outandin
417,385,incoming
417,428,outgoing
417,474,outandin
608,2,outgoing
608,15,incoming
608,41,incoming
608,203,outandin
608,353,outandin
608,416,outandin
608,428,outandin
608,455,outandin
608,481,outgoing
608,502,outandin
608,632,outandin
608,639,outandin
662,28,outandin
662,41,outandin
662,53,outandin
662,76,outandin
662,144,outandin
662,311,incoming
662,336,outandin
662,353,outandin
662,361,outandin
662,594,stable
662,660,outandin
1,23,outandin
1,27,outandin
1,137,outandin
1,142,outandin
1,244,incoming
1,290,incoming
1,358,incoming
1,430,outandin
1,439,outandin
1,473,outgoing
1,504,outgoing
1,597,outgoing
23,140,outandin
23,212,outandin
23,259,outandin
23,283,outandin
23,290,outandin
23,396,outgoing
23,503,incoming
23,539,outgoing
23,626,outandin
27,133,outandin
27,208,outandin
27,224,outandin
27,251,outandin
27,256,outandin
27,290,incoming
27,358,stable
27,396,outandin
27,429,outandin
27,563,outgoing
137,123,outandin
137,210,outandin
137,222,incoming
137,253,outandin
137,503,outandin
137,670,outandin
142,87,outandin
142,189,outgoing
142,201,incoming
142,214,outandin
142,219,outandin
142,297,outandin
142,370,outandin
142,408,outandin
142,591,outandin
142,621,outandin
142,628,outandin
244,65,outandin
244,251,outandin
244,272,outandin
244,332,outgoing
244,346,outandin
244,358,outgoing
244,420,outandin
244,430,outandin
244,439,incoming
244,459,outandin
244,506,outandin
244,521,outgoing
244,539,outandin
244,563,outandin
244,572,outandin
244,597,outandin
244,669,outandin
290,34,outandin
290,92,outandin
290,140,incoming
290,251,incoming
290,297,outandin
290,429,incoming
290,487,outandin
290,556,outgoing
290,566,incoming
290,606,outandin
358,92,outandin
358,140,outgoing
358,224,outandin
358,332,outandin
358,473,outgoing
358,483,outandin
358,504,outandin
430,121,outandin
430,397,outandin
430,420,outandin
430,504,outandin
430,509,outandin
430,521,outandin
430,523,outandin
430,547,outandin
430,564,incoming
430,630,outandin
439,34,incoming
439,64,outandin
439,65,outandin
439,156,outandin
439,212,outgoing
439,251,incoming
439,502,outandin
439,658,outandin
473,34,outgoing
473,133,incoming
473,222,outandin
473,502,outgoing
473,507,outandin
473,556,outandin
473,665,outandin
504,24,outandin
504,65,outandin
504,110,outandin
504,139,outandin
504,140,outandin
504,167,outandin
504,210,outandin
504,251,outandin
504,269,outandin
504,420,outandin
504,539,outandin
504,597,outandin
597,139,outandin
597,156,outandin
597,224,stable
597,232,outandin
597,366,outandin
597,379,outandin
597,531,outandin
597,665,incoming
2,41,incoming
2,76,outandin
2,80,outandin
2,240,outandin
2,273,outandin
2,353,outandin
2,385,incoming
2,574,outandin
2,599,outandin
2,630,outandin
2,673,outandin
41,25,outandin
41,48,outandin
41,326,outandin
41,336,outandin
41,481,outandin
41,651,outandin
41,660,outandin
76,180,outandin
76,266,outandin
76,280,outandin
80,4,outandin
80,32,outandin
80,288,outandin
80,483,incoming
80,600,outandin
80,601,incoming
80,660,outgoing
240,73,outandin
240,209,outandin
240,347,outandin
240,365,outandin
240,385,incoming
240,496,outandin
240,505,outandin
240,529,outandin
240,655,outandin
273,30,outandin
273,48,outandin
273,122,stable
273,163,outandin
273,203,outandin
273,280,outgoing
273,336,incoming
273,356,outandin
273,416,outandin
273,505,outgoing
273,541,outandin
273,587,outandin
273,600,outandin
273,639,outandin
273,645,outandin
353,47,outandin
353,165,outandin
353,203,outandin
353,266,outandin
353,347,outandin
353,428,outgoing
353,455,outandin
385,25,outandin
385,30,outandin
385,203,outgoing
385,336,outandin
385,365,outandin
385,370,outandin
385,461,outgoing
385,535,outandin
574,13,outandin
574,95,outandin
574,145,outandin
574,181,outandin
574,183,outandin
574,247,outandin
574,281,outandin
574,411,outandin
574,492,outandin
574,498,outandin
574,518,outandin
574,551,outandin
574,654,outandin
599,15,outandin
599,69,outandin
599,73,outandin
599,100,outandin
599,122,outandin
599,132,outandin
599,242,outandin
599,356,incoming
