node,centrality,community,density,eign,betwness,closeness,volatility,name,type,anchor_name
309,6,0,0.132919254658385,0.0233815058092085,0.0016336406797667,0.2983067729083665,0.25,Team_00#309,incoming,Team_00
163,7,0,0.132919254658385,0.0305098379269602,0.0005287617993156,0.2906356137797186,0.0,Team_00#163,incoming,Team_00
8,8,0,0.132919254658385,0.0301948769339222,0.0014246506340171,0.300551931761164,0.25,Team_00#8,incoming,Team_00
14,8,0,0.132919254658385,0.0300269790190492,0.0012549719870036,0.2930528375733855,0.0,Team_00#14,incoming,Team_00
63,8,0,0.132919254658385,0.0354307819684981,0.0027500236756956,0.310523587350959,0.25,Team_00#63,outandin,Team_00
159,8,0,0.132919254658385,0.035325411558603,0.001968470561525,0.3057682491066871,0.25,Team_00#159,outandin,Team_00
196,8,0,0.132919254658385,0.0370033764857178,0.0009545386810351,0.3070220399794977,0.0,Team_00#196,incoming,Team_00
417,8,0,0.132919254658385,0.0365297657552849,0.0018072234239656,0.3167636171337916,1.0,Team_00#417,outandin,Team_00
568,8,0,0.132919254658385,0.0306998803509113,0.0005857692815083,0.2943488943488943,0.0,Team_00#568,incoming,Team_00
577,8,0,0.132919254658385,0.037229102679766,0.0014604489195921,0.3065506653019447,0.0,Team_00#577,incoming,Team_00
66,9,0,0.132919254658385,0.036748679894636,0.0007236907168432,0.2955106068080907,0.0,Team_00#66,incoming,Team_00
87,9,0,0.132919254658385,0.0376966482472125,0.0034073487177907,0.3102019678922837,0.0,Team_00#87,incoming,Team_00
201,9,0,0.132919254658385,0.0311220547410685,0.0046116326171734,0.3134484563055991,0.0,Team_00#201,incoming,Team_00
214,9,0,0.132919254658385,0.0387865062972706,0.0014986573161314,0.3065506653019447,0.0,Team_00#214,incoming,Team_00
545,9,0,0.132919254658385,0.0338818699560499,0.0039817731070756,0.3144356955380577,0.0,Team_00#545,incoming,Team_00
553,9,0,0.132919254658385,0.0404936688343424,0.0013034732039624,0.3034447821681864,0.0,Team_00#553,incoming,Team_00
559,9,0,0.132919254658385,0.0371885909233175,0.0011044225593741,0.2900726392251816,0.25,Team_00#559,incoming,Team_00
38,10,0,0.132919254658385,0.0384164709599726,0.0025986022894883,0.293483586477217,0.0,Team_00#38,incoming,Team_00
51,10,0,0.132919254658385,0.0460314122037271,0.0018606071915948,0.3035985808413583,0.25,Team_00#51,incoming,Team_00
134,10,0,0.132919254658385,0.0431448066697241,0.0055548681798497,0.3192963752665245,0.25,Team_00#134,incoming,Team_00
272,10,0,0.132919254658385,0.0382893937484618,0.0020912915509285,0.315595363540569,0.0,Team_00#272,incoming,Team_00
304,10,0,0.132919254658385,0.0444793226761277,0.0009363842307535,0.3023725391216557,0.0,Team_00#304,incoming,Team_00
411,10,0,0.132919254658385,0.0415580591848575,0.0058340450359132,0.3253666485605649,0.25,Team_00#411,incoming,Team_00
416,10,0,0.132919254658385,0.0402942005770794,0.0038049015511713,0.3251900108577633,0.0,Team_00#416,incoming,Team_00
437,10,0,0.132919254658385,0.0489801513933533,0.0021107134926634,0.3116545265348595,0.0,Team_00#437,incoming,Team_00
516,10,0,0.132919254658385,0.0412405241737851,0.0024531954540607,0.3165961945031712,0.0,Team_00#516,incoming,Team_00
581,10,0,0.132919254658385,0.0444471861006676,0.0021567521424145,0.3059244126659857,0.0,Team_00#581,incoming,Team_00
104,11,0,0.132919254658385,0.0398310859712317,0.0050218910915042,0.3150973172014729,0.25,Team_00#104,incoming,Team_00
190,11,0,0.132919254658385,0.0440438318686547,0.0025228334409477,0.3174350821409645,0.0,Team_00#190,incoming,Team_00
197,11,0,0.132919254658385,0.03677731521679,0.0024692588242698,0.3011563599798894,0.0,Team_00#197,incoming,Team_00
239,11,0,0.132919254658385,0.0442915050395884,0.0013213995562221,0.3016112789526687,0.0,Team_00#239,incoming,Team_00
254,11,0,0.132919254658385,0.0427932103261369,0.0058738783536528,0.3177718832891246,0.0,Team_00#254,incoming,Team_00
267,11,0,0.132919254658385,0.0454947724185991,0.0052909802229325,0.312957157784744,0.0,Team_00#267,incoming,Team_00
347,11,0,0.132919254658385,0.0458971468912201,0.0044580129014503,0.3089221248066013,0.0,Team_00#347,incoming,Team_00
426,11,0,0.132919254658385,0.0465776348629727,0.0012325525586767,0.3056122448979592,0.25,Team_00#426,incoming,Team_00
453,11,0,0.132919254658385,0.0413298109485375,0.0056377645288173,0.3216970998925886,0.0,Team_00#453,incoming,Team_00
3,12,0,0.132919254658385,0.0529761720598218,0.0015855273931096,0.3097207859358842,0.0,Team_00#3,incoming,Team_00
77,12,0,0.132919254658385,0.0439697584483162,0.0018278169216254,0.3010050251256281,0.0,Team_00#77,incoming,Team_00
79,12,0,0.132919254658385,0.0534735406972455,0.0029718016449415,0.3210075026795284,0.0,Team_00#79,incoming,Team_00
110,12,0,0.132919254658385,0.0443033651605702,0.0048416525707729,0.3311221669430624,0.0,Team_00#110,incoming,Team_00
120,12,0,0.132919254658385,0.0503246829676169,0.0067970572425112,0.330939226519337,0.5,Team_00#120,incoming,Team_00
205,12,0,0.132919254658385,0.046992054938143,0.0072489667329446,0.3250135648399349,0.25,Team_00#205,incoming,Team_00
235,12,0,0.132919254658385,0.0505618817146241,0.0021973630094181,0.3103626943005181,0.25,Team_00#235,incoming,Team_00
237,12,0,0.132919254658385,0.0507583251249055,0.002659133969492,0.3092410944759938,0.0,Team_00#237,incoming,Team_00
303,12,0,0.132919254658385,0.0445269455345215,0.0067494100809316,0.3216970998925886,0.0,Team_00#303,incoming,Team_00
382,12,0,0.132919254658385,0.0516252424254188,0.0030719502009607,0.3131207527443805,0.0,Team_00#382,incoming,Team_00
410,12,0,0.132919254658385,0.0460199493543031,0.0035683310347428,0.3196371398078975,0.0,Team_00#410,incoming,Team_00
457,12,0,0.132919254658385,0.0525988617261271,0.0036166306054132,0.3147661586967945,0.25,Team_00#457,incoming,Team_00
464,12,0,0.132919254658385,0.0505184940419266,0.0030795847288246,0.3127937336814621,0.0,Team_00#464,incoming,Team_00
496,12,0,0.132919254658385,0.0452575664582845,0.0048203851966524,0.3084449021627188,0.25,Team_00#496,incoming,Team_00
550,12,0,0.132919254658385,0.0470907464853771,0.0075580194021791,0.3227370689655172,0.0,Team_00#550,incoming,Team_00
574,12,0,0.132919254658385,0.0450664684081711,0.0050416201748005,0.3126304801670146,0.0,Team_00#574,incoming,Team_00
147,13,0,0.132919254658385,0.0499235166098859,0.0068856434587329,0.3322240709927898,0.0,Team_00#147,incoming,Team_00
333,13,0,0.132919254658385,0.0471101292086398,0.0058600410456012,0.326608505997819,0.0,Team_00#333,incoming,Team_00
491,13,0,0.132919254658385,0.0548497299206021,0.0027465861205201,0.3157617290458618,0.25,Team_00#491,incoming,Team_00
519,13,0,0.132919254658385,0.0594205632907599,0.0078449514403817,0.3257205002718868,0.0,Team_00#519,incoming,Team_00
20,14,0,0.132919254658385,0.0606263212590632,0.0053257236902258,0.3187865886109632,0.0,Team_00#20,incoming,Team_00
161,14,0,0.132919254658385,0.0576218355867357,0.0055688574043133,0.3260751224823081,0.0,Team_00#161,incoming,Team_00
164,14,0,0.132919254658385,0.0669255168876259,0.0045774598814207,0.3303916161059018,0.0,Team_00#164,incoming,Team_00
175,14,0,0.132919254658385,0.0511741676303076,0.005621124299537,0.3222162452931684,0.5,Team_00#175,incoming,Team_00
339,14,0,0.132919254658385,0.0564549529203404,0.009416764151821,0.332039911308204,0.0,Team_00#339,incoming,Team_00
412,14,0,0.132919254658385,0.0574885042588711,0.0052336322248564,0.3179405520169851,0.0,Team_00#412,incoming,Team_00
497,14,0,0.132919254658385,0.0591008198327311,0.0040853690473563,0.3250135648399349,0.0,Team_00#497,incoming,Team_00
503,14,0,0.132919254658385,0.0507804134287323,0.0090695778338001,0.3355742296918767,0.0,Team_00#503,incoming,Team_00
72,15,0,0.132919254658385,0.0561001034571734,0.0092134081907779,0.3350111856823266,0.0,Team_00#72,incoming,Team_00
448,15,0,0.132919254658385,0.0548090453789648,0.0072363531587366,0.3327777777777778,0.25,Team_00#448,incoming,Team_00
494,15,0,0.132919254658385,0.0547730926018323,0.0104314445778785,0.3378454596728708,0.0,Team_00#494,incoming,Team_00
269,16,0,0.132919254658385,0.0675818853798476,0.0101544554417587,0.3361391694725028,0.0,Team_00#269,incoming,Team_00
505,16,0,0.132919254658385,0.0632340013989766,0.0051829857744257,0.3338907469342252,0.0,Team_00#505,incoming,Team_00
506,17,0,0.132919254658385,0.0733760485391301,0.0056655836863624,0.3293018141836173,0.0,Team_00#506,incoming,Team_00
354,6,1,0.1779591836734693,0.0240728991360527,8.012266013022424e-05,0.2780872794800371,0.5,Team_01#354,incoming,Team_01
25,7,1,0.1779591836734693,0.028035961518805,0.0005768116420993,0.2871524448705657,0.0,Team_01#25,incoming,Team_01
387,7,1,0.1779591836734693,0.0268225181210038,0.0003614535707625,0.2971230158730158,0.25,Team_01#387,incoming,Team_01
105,8,1,0.1779591836734693,0.0278687287573867,0.0014655584499684,0.3029843196762772,0.0,Team_01#105,incoming,Team_01
222,8,1,0.1779591836734693,0.0289527679013431,0.0003682331403184,0.2978617603182496,0.0,Team_01#222,incoming,Team_01
488,8,1,0.1779591836734693,0.0284444506382675,0.0011837530211548,0.2980099502487562,0.0,Team_01#488,incoming,Team_01
556,8,1,0.1779591836734693,0.0298122669097444,0.0022658130531184,0.3017632241813602,0.0,Team_01#556,incoming,Team_01
569,8,1,0.1779591836734693,0.0381902397045475,0.0008529989418501,0.3111688311688311,0.0,Team_01#569,incoming,Team_01
45,9,1,0.1779591836734693,0.0331482718681667,0.0018518469732525,0.3090815273477812,0.5,Team_01#45,incoming,Team_01
67,9,1,0.1779591836734693,0.0306725168922332,0.0006513734521213,0.2900726392251816,0.25,Team_01#67,incoming,Team_01
151,9,1,0.1779591836734693,0.0325005570030425,0.0018155203800956,0.3053007135575943,0.0,Team_01#151,incoming,Team_01
211,9,1,0.1779591836734693,0.0285517987228336,0.0028450876149379,0.3084449021627188,0.0,Team_01#211,incoming,Team_01
241,9,1,0.1779591836734693,0.0311966636798133,0.0013408133188053,0.3081275720164609,0.0,Team_01#241,incoming,Team_01
242,9,1,0.1779591836734693,0.0283566077069048,0.0010355101752634,0.2919103313840156,0.0,Team_01#242,incoming,Team_01
391,9,1,0.1779591836734693,0.034145353536858,0.001873704164852,0.3042153377348908,0.0,Team_01#391,incoming,Team_01
418,9,1,0.1779591836734693,0.0274447981083962,0.0018282384570783,0.2874280230326295,0.25,Team_01#418,incoming,Team_01
438,9,1,0.1779591836734693,0.034190133677953,0.0031097203514669,0.3198077949813134,0.0,Team_01#438,incoming,Team_01
510,9,1,0.1779591836734693,0.0348721807365773,0.0021229919414666,0.3034447821681864,0.0,Team_01#510,incoming,Team_01
582,9,1,0.1779591836734693,0.0350227927162623,0.0007967614839882,0.304369918699187,0.25,Team_01#582,incoming,Team_01
4,10,1,0.1779591836734693,0.0303446596551658,0.0029109494445835,0.3054563997960224,0.0,Team_01#4,incoming,Team_01
119,10,1,0.1779591836734693,0.0404734994642309,0.0018894148146329,0.3065506653019447,0.0,Team_01#119,incoming,Team_01
135,10,1,0.1779591836734693,0.036335578304106,0.0037199741918766,0.315595363540569,0.0,Team_01#135,incoming,Team_01
142,10,1,0.1779591836734693,0.0347283227575525,0.0022939245246895,0.297713717693837,0.0,Team_01#142,incoming,Team_01
518,10,1,0.1779591836734693,0.0339117768213919,0.0024896496495458,0.2990514228657014,0.0,Team_01#518,incoming,Team_01
372,11,1,0.1779591836734693,0.0420897528074782,0.0046015164497963,0.3106846473029045,0.0,Team_01#372,incoming,Team_01
420,11,1,0.1779591836734693,0.0412652391175428,0.0022531040453292,0.3048346055979644,0.0,Team_01#420,incoming,Team_01
472,11,1,0.1779591836734693,0.0324141488637306,0.0026083486079604,0.2987531172069825,0.25,Team_01#472,incoming,Team_01
490,11,1,0.1779591836734693,0.0434983159832329,0.0059649424660921,0.3251900108577633,0.0,Team_01#490,incoming,Team_01
502,11,1,0.1779591836734693,0.0406309709692241,0.002029810882819,0.3090815273477812,0.0,Team_01#502,incoming,Team_01
525,11,1,0.1779591836734693,0.0404302719703884,0.0022807642735348,0.304989816700611,0.0,Team_01#525,incoming,Team_01
542,11,1,0.1779591836734693,0.0452929520718423,0.0030540207707727,0.3076527991782229,0.0,Team_01#542,incoming,Team_01
554,11,1,0.1779591836734693,0.0433853180192557,0.001190320792884,0.3048346055979644,0.0,Team_01#554,incoming,Team_01
65,12,1,0.1779591836734693,0.0374058610349339,0.0080041332880827,0.3275013668671405,0.0,Team_01#65,incoming,Team_01
338,12,1,0.1779591836734693,0.0411989271902774,0.0034674404253816,0.3196371398078975,0.0,Team_01#338,incoming,Team_01
376,12,1,0.1779591836734693,0.0405030047258228,0.007322234340611,0.3344500279173646,0.0,Team_01#376,incoming,Team_01
409,12,1,0.1779591836734693,0.0436941069633251,0.0025212309573338,0.3198077949813134,0.0,Team_01#409,incoming,Team_01
433,12,1,0.1779591836734693,0.0501470752876039,0.0038858453368754,0.3244853737811484,0.0,Team_01#433,incoming,Team_01
52,13,1,0.1779591836734693,0.0422594428141569,0.0069940979497996,0.3291208791208791,0.0,Team_01#52,incoming,Team_01
137,13,1,0.1779591836734693,0.0431457428302581,0.0030786001517732,0.3040609137055837,0.0,Team_01#137,incoming,Team_01
526,13,1,0.1779591836734693,0.0470881969833339,0.0020981756789736,0.312957157784744,0.0,Team_01#526,incoming,Team_01
55,14,1,0.1779591836734693,0.0514300985771496,0.0052424003027147,0.3204922418405564,0.0,Team_01#55,incoming,Team_01
69,14,1,0.1779591836734693,0.0432370748347025,0.0108232980752192,0.3234341252699784,0.0,Team_01#69,incoming,Team_01
149,14,1,0.1779591836734693,0.0504299709654981,0.0040534431069961,0.3181093998937865,0.0,Team_01#149,incoming,Team_01
507,14,1,0.1779591836734693,0.0516801149690019,0.004257555111358,0.3267866884888161,0.0,Team_01#507,incoming,Team_01
183,15,1,0.1779591836734693,0.0492031013360261,0.011789805982584,0.3378454596728708,0.0,Team_01#183,incoming,Team_01
240,15,1,0.1779591836734693,0.0526324084963847,0.00399877124144,0.310845874416191,0.0,Team_01#240,incoming,Team_01
486,15,1,0.1779591836734693,0.0482047613035758,0.009218410503823,0.3335189309576837,0.25,Team_01#486,incoming,Team_01
593,15,1,0.1779591836734693,0.0542954765733539,0.0029707472908221,0.312957157784744,0.0,Team_01#593,incoming,Team_01
485,16,1,0.1779591836734693,0.0602250713673399,0.0067512443026131,0.3335189309576837,0.0,Team_01#485,incoming,Team_01
274,18,1,0.1779591836734693,0.0681786768916372,0.0076206915655772,0.3314886552296624,0.0,Team_01#274,incoming,Team_01
84,5,2,0.1512401693889897,0.0224315996165314,0.0005017216461945,0.29248046875,0.5,Team_02#84,incoming,Team_02
132,7,2,0.1512401693889897,0.0217297876831289,0.0013066418275293,0.2955106068080907,0.0,Team_02#132,incoming,Team_02
140,8,2,0.1512401693889897,0.0307263421788858,0.0017581497102366,0.3110072689511942,0.0,Team_02#140,incoming,Team_02
216,8,2,0.1512401693889897,0.0266896397892075,0.0016105336606826,0.3042153377348908,0.0,Team_02#216,incoming,Team_02
378,8,2,0.1512401693889897,0.02483710917064,0.0008783589971398,0.2900726392251816,0.0,Team_02#378,incoming,Team_02
431,8,2,0.1512401693889897,0.0295856763835204,0.0009049122703599,0.3065506653019447,0.0,Team_02#431,incoming,Team_02
30,9,2,0.1512401693889897,0.0309988834415791,0.0067627258883082,0.3273224043715847,0.0,Team_02#30,incoming,Team_02
44,9,2,0.1512401693889897,0.0330916331039317,0.0025826639185205,0.3192963752665245,0.0,Team_02#44,incoming,Team_02
103,9,2,0.1512401693889897,0.030348032441697,0.0036890414588768,0.3097207859358842,0.0,Team_02#103,incoming,Team_02
174,9,2,0.1512401693889897,0.0267973190198294,0.0019868497278783,0.3014594866633115,0.0,Team_02#174,incoming,Team_02
227,9,2,0.1512401693889897,0.0307733178396853,0.0016296018097634,0.2995,0.0,Team_02#227,incoming,Team_02
260,9,2,0.1512401693889897,0.0333533110085846,0.0020542922865931,0.3056122448979592,0.25,Team_02#260,incoming,Team_02
265,9,2,0.1512401693889897,0.0293584513767764,0.0012067825433072,0.2969757064947942,0.0,Team_02#265,incoming,Team_02
270,9,2,0.1512401693889897,0.031884525045809,0.0035511277115551,0.3273224043715847,0.0,Team_02#270,incoming,Team_02
379,9,2,0.1512401693889897,0.0256556683152992,0.0025304670486286,0.2971230158730158,0.0,Team_02#379,incoming,Team_02
9,10,2,0.1512401693889897,0.0354765677602061,0.0027129042272342,0.3039066463723998,0.0,Team_02#9,incoming,Team_02
156,10,2,0.1512401693889897,0.0340513303211131,0.003213520681474,0.3199786324786324,0.25,Team_02#156,incoming,Team_02
186,10,2,0.1512401693889897,0.0294151816068774,0.0039290988279359,0.3037525354969574,0.0,Team_02#186,incoming,Team_02
234,10,2,0.1512401693889897,0.0394156552652844,0.0023598804606535,0.309400826446281,0.25,Team_02#234,incoming,Team_02
