source,target,type
1,81,outandin
1,145,outgoing
1,168,outandin
1,327,outandin
1,346,outandin
1,369,outandin
1,424,outandin
1,465,outandin
1,479,outandin
1,488,outandin
1,615,outgoing
81,32,outandin
81,75,outandin
81,76,outandin
81,171,outandin
81,259,outandin
81,282,outandin
81,478,incoming
81,597,outgoing
145,280,incoming
145,321,outandin
145,370,outandin
145,380,outandin
145,534,outgoing
145,639,outandin
168,17,outandin
168,71,outandin
168,91,incoming
168,95,outandin
168,233,outandin
168,280,outandin
168,315,outandin
168,321,outandin
168,327,outgoing
168,330,stable
168,333,outandin
168,404,outandin
168,471,outandin
168,534,outandin
168,563,outandin
327,12,outandin
327,82,outandin
327,94,outandin
327,226,stable
327,233,outandin
327,369,incoming
327,413,outgoing
327,471,outandin
327,501,outandin
327,509,outandin
346,88,outandin
346,204,outandin
346,209,outandin
346,238,outandin
346,257,outandin
346,323,outandin
346,458,outandin
346,471,outandin
346,535,outandin
346,562,outandin
346,585,outandin
346,586,outandin
346,588,outandin
369,31,outandin
369,91,outandin
369,94,outandin
369,129,outandin
369,220,incoming
369,340,outgoing
369,363,outandin
369,395,outandin
369,480,outandin
369,575,outandin
369,615,incoming
424,2,outgoing
424,40,outandin
424,148,outandin
424,165,outandin
424,220,outandin
424,232,outandin
424,522,outandin
424,624,outandin
465,31,outandin
465,36,outandin
465,62,incoming
465,179,outandin
465,233,outgoing
465,252,outandin
465,280,outandin
465,404,outandin
465,440,outandin
479,30,outandin
479,44,outandin
479,174,outandin
479,206,outandin
479,265,outandin
479,325,outandin
479,405,outandin
479,464,outandin
479,476,outandin
488,88,outandin
488,108,outandin
488,240,outandin
488,354,outgoing
488,391,outandin
488,502,outandin
488,525,outandin
615,165,outandin
615,232,outgoing
615,233,outgoing
615,252,stable
615,261,outandin
615,263,outandin
615,307,outandin
615,330,outandin
615,332,outandin
615,340,incoming
615,365,outandin
615,404,outandin
615,471,incoming
2,17,outandin
2,62,outandin
2,103,outandin
2,129,outandin
2,179,outandin
2,233,outandin
2,257,outgoing
2,307,outandin
2,315,outgoing
2,440,outandin
2,446,outandin
2,639,outandin
17,12,outandin
17,31,outandin
17,91,outandin
17,179,outandin
17,261,outandin
17,330,outandin
17,452,outandin
17,457,outandin
62,26,outandin
62,148,outandin
62,165,outgoing
62,220,outgoing
62,233,outandin
62,280,outandin
62,289,outandin
62,340,outandin
62,406,outandin
62,494,outandin
