community,count
0,2
116,2
59,2
4,1
1,1
130,2
105,1
90,2
24,1
26,2
112,2
148,2
164,1
142,1
77,1
160,1
43,1
114,1
104,1
74,1
75,1
141,1
161,1
136,1
143,1
49,3
168,3
14,3
119,3
125,3
34,2
165,2
152,5
84,3
159,4
127,3
157,2
57,2
120,2
6,2
135,2
31,2
48,2
76,2
19,2
111,2
106,2
170,2
60,2
102,2
78,2
128,2
69,2
99,2
115,2
133,2
94,2
92,2
149,2
56,2
39,3
166,3
46,3
118,5
80,6
38,3
66,4
113,3
64,3
108,3
63,3
132,3
27,3
110,3
71,3
72,3
123,3
88,3
163,3
107,3
146,3
145,3
7,3
147,3
138,3
156,3
129,3
50,3
158,3
97,4
11,4
171,4
2,4
162,4
12,4
137,5
55,5
82,4
45,4
121,4
140,4
139,4
62,4
54,4
154,4
29,4
70,4
101,4
151,4
109,4
67,4
144,8
169,7
65,7
81,5
30,5
47,5
117,6
58,5
131,5
150,5
126,5
103,5
124,5
155,5
53,7
86,10
41,6
167,6
73,6
89,6
52,8
32,7
153,9
96,7
20,7
68,7
93,7
134,8
85,8
61,11
100,10
98,13
22,11
10,12
91,9
87,11
95,11
28,14
83,14
23,14
79,16
35,17
3,24
44,32
51,25
21,31
9,29
17,30
40,31
122,31
42,32
37,34
18,39
8,40
33,41
13,46
15,51
5,57
25,63
36,78
16,87
