node,centrality,community,density,betwness,closeness,eign,volatility,type,name
414,1,0,0.09477971121806739,0.0,0.11381335077362136,0.00018248099416267308,2,incoming,Arlind Nocaj
631,1,0,0.09477971121806739,0.0,0.11381335077362136,0.00018248099416267308,2,outandin,Bobo Nick
2420,2,0,0.09477971121806739,0.0,0.11591462134898896,8.231231585115508e-06,2,incoming,Ismail Demir
4779,2,0,0.09477971121806739,0.0,0.11591462134898896,8.231231585115508e-06,2,outgoing,Rainer Burgkart
5023,2,0,0.09477971121806739,0.0,0.11591462134898896,8.203665327432133e-06,2,outgoing,Roland Fraedrich
5431,2,0,0.09477971121806739,0.0,0.11591462134898896,8.203665327432133e-06,2,outandin,Stefan Auer
902,3,0,0.09477971121806739,4.181192827414576e-07,0.11593134301969711,8.680761329488933e-06,2,outgoing,Christian Dick
5727,3,0,0.09477971121806739,0.0,0.12126694881734426,4.4877228657308946e-05,4,outandin,Thomas Nocke
3616,3,0,0.09477971121806739,0.0,0.12126694881734426,4.4877228657308946e-05,3,outandin,Magnus Heitzler
1032,3,0,0.09477971121806739,0.0,0.11255407140231659,3.74200398083403e-05,2,outandin,Clemens H. Cap
5768,3,0,0.09477971121806739,0.0,0.11255407140231659,3.74200398083403e-05,2,outandin,Till Wollenberg
4095,3,0,0.09477971121806739,0.0,0.13508758947933105,0.0031403880966080744,2,outandin,Michael Zinsmaier
3022,3,0,0.09477971121806739,0.0,0.11679059290983003,3.111362402495365e-05,2,outandin,Judith Muehl
1789,3,0,0.09477971121806739,0.0,0.1265369343115321,9.548180789460851e-06,2,,Florian Ferstl
5724,4,0,0.09477971121806739,0.0,0.14699763486602166,0.00028911125107463465,2,incoming,Thomas Mühlbacher
5458,4,0,0.09477971121806739,0.00038283315600791607,0.12128525049993065,4.660730233275526e-05,2,outandin,Steffen Hadlak
5063,4,0,0.09477971121806739,2.7874618849430505e-07,0.11680756828670646,3.7307653789506576e-05,2,outandin,Rostislav Khlebnikov
575,4,0,0.09477971121806739,2.7874618849430505e-07,0.11680756828670646,3.7307653789506576e-05,2,outandin,Bernhard Kainz
3169,4,0,0.09477971121806739,0.0,0.12916040980593704,0.00012784040862068655,2,outandin,Karl Kashofer
2366,5,0,0.09477971121806739,0.0,0.12858177117000646,7.770115807249783e-05,2,outandin,Hyungsuk Choi
6136,5,0,0.09477971121806739,0.0,0.12858177117000646,7.770115807249783e-05,2,outandin,Woohyuk Choi
5857,5,0,0.09477971121806739,0.0,0.12858177117000646,7.770115807249783e-05,2,incoming,Tran Minh Quan
1245,5,0,0.09477971121806739,0.0,0.12858177117000646,7.770115807249783e-05,2,outandin,David G. C. Hildebrand
5894,5,0,0.09477971121806739,0.0018623032853304522,0.13513301997856741,0.003160311161762363,2,,Ulrik Brandes
3669,5,0,0.09477971121806739,0.0,0.11596480083875042,1.0173114601412972e-05,2,outandin,Marc Treib
1802,5,0,0.09477971121806739,0.0,0.11596480083875042,1.0173114601412972e-05,2,outandin,Florian Reichl
829,5,0,0.09477971121806739,0.0,0.11596480083875042,1.0173114601412972e-05,2,outandin,Charles Meneveau
127,5,0,0.09477971121806739,0.0,0.11596480083875042,1.0173114601412972e-05,2,outandin,Alex Szalay
4356,6,0,0.09477971121806739,3.814126678795915e-05,0.14173475658069495,0.0004805782417678988,1,incoming,Nils Gehlenborg
171,6,0,0.09477971121806739,0.0,0.14294487189835298,0.00037004703763638297,2,incoming,Ali K. Al-Awami
1154,6,0,0.09477971121806739,0.0,0.12860234754561375,0.00014060446809965567,2,incoming,Daniel Haehn
5274,6,0,0.09477971121806739,0.0,0.12860234754561375,0.00014060446809965567,2,outandin,Seymour Knowles-Barley
4130,6,0,0.09477971121806739,0.0,0.12860234754561375,0.00014060446809965567,2,outandin,Mike Roberts 0001
473,6,0,0.09477971121806739,0.0,0.12860234754561375,7.766521216987573e-05,2,outandin,Azalea A. Vo
6594,6,0,0.09477971121806739,0.0,0.12860234754561375,7.766521216987573e-05,2,incoming,Zoya Bylinskii
4643,6,0,0.09477971121806739,0.0,0.12860234754561375,7.766521216987573e-05,2,outandin,Phillip Isola
5302,6,0,0.09477971121806739,0.0,0.12860234754561375,7.766521216987573e-05,2,outandin,Shashank Sunkavalli
453,6,0,0.09477971121806739,0.0,0.12860234754561375,7.766521216987573e-05,2,incoming,Aude Oliva
838,6,0,0.09477971121806739,0.0,0.12860234754561375,7.941651585221457e-05,2,incoming,Chelsea S. Yeh
3607,6,0,0.09477971121806739,0.0,0.12860234754561375,7.941651585221457e-05,2,outandin,Madelaine Boyd
