source,target,type
3397,4106,incoming
3397,3093,incoming
3397,5655,incoming
3397,5175,incoming
3397,1309,incoming
3397,1042,incoming
4106,57,
4106,5253,incoming
4106,4710,incoming
4106,4356,incoming
4106,4097,incoming
4106,1309,incoming
4106,6364,incoming
4106,5301,incoming
4106,1078,incoming
4106,2532,incoming
4106,1042,
6254,6008,
6254,2742,incoming
6254,6525,incoming
6254,5049,incoming
6254,5815,incoming
6254,6018,incoming
6254,2591,incoming
6254,6389,incoming
6254,3131,incoming
6254,6584,incoming
6254,5397,incoming
6254,2333,incoming
6254,5373,incoming
6254,2753,incoming
6254,2337,incoming
6254,6571,incoming
6254,6198,incoming
6254,6186,incoming
6254,2204,incoming
6254,2190,incoming
6254,6506,incoming
6254,1467,incoming
6254,6156,incoming
6254,4161,incoming
6008,2742,
6008,6525,incoming
6008,5049,incoming
6008,5815,incoming
6008,6018,incoming
6008,2591,incoming
6008,6389,incoming
6008,3131,incoming
6008,6584,incoming
6008,5397,incoming
6008,2333,incoming
6008,5373,incoming
6008,6017,incoming
6008,3570,incoming
6008,6332,incoming
6008,4161,
6008,2753,incoming
6008,2337,incoming
6008,6571,incoming
6008,6198,incoming
6008,6186,incoming
6008,2204,incoming
6008,2190,incoming
6008,3494,incoming
6008,6033,incoming
6008,6211,incoming
6008,2785,incoming
6008,6270,incoming
6008,6345,
6008,6587,incoming
6008,1392,incoming
6008,6160,
6008,2744,incoming
6008,6406,incoming
6008,6347,
6008,2851,incoming
6008,5459,incoming
6008,5645,incoming
6008,5338,incoming
6008,5703,incoming
6008,2698,
6008,2317,
6008,1338,
6008,5342,
6008,2351,
6008,851,incoming
6008,3066,incoming
6008,2780,incoming
6008,742,incoming
6008,6549,
6008,841,incoming
6008,6202,incoming
6008,3473,incoming
6008,2202,incoming
6008,6440,incoming
6008,1865,incoming
6008,6232,incoming
6008,4356,incoming
6008,527,incoming
6008,2182,incoming
6008,6506,incoming
6008,1467,incoming
6008,6156,incoming
6008,4147,
6008,6422,
6008,6475,incoming
6008,3469,incoming
6008,3142,incoming
6008,2700,incoming
6008,6163,incoming
6008,5356,
6008,2705,incoming
6008,5396,incoming
6008,5759,incoming
6008,3433,incoming
6008,6176,
6008,1056,incoming
6008,6223,incoming
6008,6526,incoming
6008,6419,incoming
6008,2776,incoming
6008,608,incoming
2742,6525,incoming
2742,5049,incoming
2742,5815,incoming
2742,3494,incoming
2742,6033,incoming
2742,6211,incoming
2742,2785,
2742,6270,
2742,6345,
2742,6427,incoming
2742,2749,incoming
2742,6459,
2742,5338,
2742,2192,incoming
2742,4702,incoming
2742,6290,incoming
2742,2354,incoming
2742,6359,incoming
2742,6549,incoming
2742,1735,
2742,6017,incoming
2742,851,incoming
2742,3066,incoming
2742,2780,incoming
2742,742,incoming
2742,3061,incoming
2742,5343,
2742,3490,incoming
2742,6506,incoming
2742,1467,incoming
2742,6156,incoming
2742,4161,incoming
2742,5759,incoming
2742,3433,incoming
2742,6176,
2742,1056,incoming
6525,5049,incoming
6525,5815,incoming
6525,6017,incoming
6525,3570,incoming
6525,6332,incoming
6525,4161,incoming
5049,5815,incoming
5049,6018,incoming
5049,2591,incoming
5049,6389,incoming
5049,3131,incoming
5049,6584,incoming
5049,5397,incoming
5049,2333,incoming
5049,5373,incoming
5815,2977,incoming
5815,2485,incoming
5815,1439,
5815,4071,incoming
5815,5904,incoming
5815,3127,incoming
5815,3108,
5815,6506,incoming
5815,1467,incoming
5815,6156,incoming
5815,4161,incoming
5815,5759,incoming
5815,3433,incoming
5815,6270,incoming
5815,6176,incoming
5815,1056,incoming
5815,1625,incoming
5815,5880,incoming
5815,1130,
4800,1392,
4800,6287,incoming
4800,6219,incoming
4800,2739,incoming
4800,2073,incoming
4800,6347,
1392,6287,incoming
1392,6219,incoming
1392,2739,incoming
1392,2073,incoming
1392,6347,
1392,5352,incoming
1392,6416,incoming
1392,6587,
1392,2199,incoming
1392,6158,incoming
1392,2313,incoming
1392,6159,incoming
1392,6160,incoming
1392,2744,
1392,6406,
1392,4161,incoming
1392,3081,incoming
1392,6441,incoming
1392,5645,incoming
1392,650,incoming
1392,3490,incoming
1392,2338,incoming
1392,848,incoming
1392,4168,incoming
6287,6219,incoming
6287,2739,incoming
6287,2073,incoming
6287,6347,incoming
6219,2739,incoming
6219,2073,incoming
6219,6347,
6219,3544,incoming
6219,1338,incoming
6219,6426,incoming
6219,5645,incoming
6219,3490,incoming
6219,402,incoming
6219,3081,incoming
6219,527,incoming
6219,2333,incoming
