source,target,type
2,3,outandin
2,19,outandin
2,20,outandin
2,25,outandin
2,29,outandin
3,19,outandin
3,20,outandin
3,25,outandin
3,29,outandin
4,17,outandin
4,24,outandin
4,25,outandin
4,28,outandin
4,60,outandin
4,61,outandin
8,25,outgoing
11,25,incoming
14,49,outandin
14,23,incoming
14,63,incoming
17,24,outandin
17,25,outandin
17,28,outandin
17,60,outandin
17,61,outandin
19,20,
19,21,outgoing
19,25,
19,26,
19,29,outandin
19,33,outandin
19,56,outgoing
20,21,outandin
20,25,
20,26,outgoing
20,29,outandin
20,33,outandin
20,56,outgoing
21,25,incoming
21,26,incoming
21,35,outandin
21,44,incoming
21,56,incoming
23,49,outandin
23,63,incoming
24,25,outandin
24,28,outandin
24,60,outandin
24,61,outandin
25,26,
25,28,outandin
25,29,incoming
25,33,outandin
25,35,incoming
25,44,
25,56,
25,48,outandin
25,52,outgoing
25,58,incoming
25,60,outandin
25,61,outandin
26,35,incoming
26,44,outgoing
26,56,
26,61,outandin
28,60,outandin
28,61,outandin
35,44,incoming
35,56,outandin
44,56,
49,63,outandin
52,56,outgoing
60,61,outandin
