node,centrality,community,density,name,type,betwness,closeness,eign,volatility,anchor_name
11,3,0,0,Dean Thomas,outgoing,0.0,0.4434389140271493,0.19031422748775845,4,Gryffindor
12,3,0,0,Demelza Robins,outandin,0.09558823529411764,0.4434389140271493,0.13962253507939912,0,Gryffindor
14,2,3,0,Draco Malfoy,outgoing,0.0,0.11764705882352941,3.4504835802092696e-06,2,Slytherin
19,3,0,0,Fred Weasley,outgoing,0.003676470588235294,0.4270152505446623,0.16860197535446622,5,Gryffindor
20,2,0,0,George Weasley,outgoing,0.0,0.4117647058823529,0.11492079989489534,5,Gryffindor
21,5,0,0,Ginny Weasley,outgoing,0.03125,0.5012787723785166,0.2862935302375068,4,Gryffindor
23,2,3,0,Gregory Goyle,outgoing,0.0,0.11764705882352941,3.4504835802092696e-06,1,Slytherin
25,12,0,0,Harry James Potter,outgoing,0.32659313725490197,0.7205882352941176,0.4919506869272036,5,Gryffindor
26,7,0,0,Hermione Granger,outgoing,0.04166666666666667,0.5240641711229946,0.36223510647141954,5,Gryffindor
27,1,0,0,Jimmy Peakes,outandin,0.0,0.2956259426847662,0.02429112971251378,0,Gryffindor
29,4,0,0,Katie Bell,outgoing,0.0,0.4611764705882353,0.2666079574563253,3,Gryffindor
31,1,0,0,Lavender Brown,outandin,0.0,0.3493761140819964,0.07161603272656512,1,Gryffindor
32,4,1,0,Leanne,outandin,0.0,0.4611764705882353,0.2666079574563253,0,Gryffindor
35,3,2,0,Luna Lovegood,outgoing,0.001838235294117647,0.4270152505446623,0.1903863677998707,1,Ravenclaw
44,4,0,0,Neville Longbottom,outgoing,0.007352941176470587,0.4611764705882353,0.2401352426287795,5,Gryffindor
56,9,0,0,Ronald Weasley,outgoing,0.14644607843137256,0.5764705882352941,0.4116417858852603,5,Gryffindor
58,3,0,0,Seamus Finnigan,outgoing,0.0,0.4434389140271493,0.1903142274877585,4,Gryffindor
63,2,3,0,Vincent Crabbe,outgoing,0.0,0.11764705882352941,3.4504835802092696e-06,1,Slytherin
