source,target,type
0,98,outgoing
0,169,outandin
0,218,outandin
0,334,outandin
0,393,outandin
0,420,outandin
0,466,outandin
0,547,outandin
0,580,outandin
0,630,outandin
98,82,outandin
98,133,outandin
98,218,outandin
98,224,outandin
98,267,outandin
98,269,outandin
98,287,outandin
98,349,outandin
98,359,outandin
98,364,outandin
98,406,outandin
98,440,outandin
98,465,outandin
98,677,outandin
98,695,incoming
169,60,outgoing
169,103,outandin
169,143,outandin
169,310,outandin
169,354,outandin
169,361,outandin
169,500,outandin
169,543,outandin
169,675,outandin
218,60,outandin
218,194,stable
218,210,outandin
218,243,outgoing
218,324,outgoing
218,457,outandin
218,558,outandin
218,662,outandin
218,686,outandin
334,163,outandin
334,269,stable
334,307,outandin
334,383,outandin
334,471,outandin
334,500,outandin
334,558,outandin
334,602,outandin
334,677,outandin
393,82,outandin
393,103,outandin
393,134,outandin
393,210,outgoing
393,224,incoming
393,361,incoming
393,429,incoming
393,580,outandin
393,670,outandin
420,54,outandin
420,78,outandin
420,226,incoming
420,307,outandin
420,310,outandin
420,327,outandin
420,359,outandin
420,374,outandin
420,465,outgoing
420,471,incoming
420,546,outgoing
420,695,outandin
466,83,incoming
466,352,outandin
466,495,incoming
466,614,outgoing
466,681,outandin
547,93,outandin
547,99,outandin
547,134,outandin
547,197,outandin
547,267,outandin
547,364,outandin
547,440,outandin
547,573,incoming
547,596,outandin
547,677,outandin
547,692,incoming
580,148,outandin
580,180,outandin
580,226,outandin
580,324,outgoing
580,364,outandin
580,543,outandin
580,546,outandin
580,596,outandin
630,360,outandin
630,626,outandin
630,628,outandin
630,634,outandin
630,636,incoming
630,638,outandin
630,642,outandin
630,648,outandin
630,653,outandin
630,659,outandin
630,666,outandin
630,670,outandin
630,679,outandin
1,7,outandin
1,119,incoming
1,149,outandin
1,215,outandin
1,229,outandin
1,252,incoming
1,345,outandin
1,456,outandin
1,479,outandin
1,553,outandin
1,600,outandin
1,605,outandin
1,697,outandin
7,76,outandin
7,133,incoming
7,137,incoming
7,304,outandin
7,320,outandin
7,433,outandin
7,454,outandin
7,517,outandin
7,697,outandin
119,10,outandin
119,40,outandin
119,76,outgoing
119,93,outandin
119,115,outandin
119,203,outandin
119,232,outandin
119,252,outandin
119,422,outandin
119,472,outandin
119,622,outandin
119,640,outandin
119,676,outandin
149,142,outandin
149,203,stable
149,232,outandin
149,252,outandin
149,304,outandin
149,311,outandin
149,321,outandin
149,359,outandin
149,428,outandin
149,608,outandin
149,617,outandin
215,17,incoming
215,26,outandin
215,83,outandin
215,168,outandin
215,183,outandin
215,213,outandin
215,366,outandin
215,431,outgoing
215,452,outandin
215,508,outandin
215,542,outandin
229,125,outandin
229,247,outgoing
229,325,outandin
229,386,outandin
229,560,outandin
229,573,outandin
229,681,incoming
229,696,incoming
229,701,incoming
252,30,outandin
252,46,outandin
252,101,outandin
252,184,outgoing
252,422,outandin
252,475,outandin
252,570,outandin
252,676,outandin
252,679,outandin
345,46,incoming
345,63,outandin
345,203,stable
345,212,outandin
345,232,outandin
345,304,outandin
345,444,outandin
345,479,outandin
345,622,outandin
345,674,outandin
345,693,incoming
