source,target,type
0,3,outandin
0,94,outandin
0,147,incoming
0,166,outandin
0,249,incoming
0,311,outandin
0,562,outandin
0,564,outandin
3,40,outandin
3,57,incoming
3,58,incoming
3,77,outandin
3,91,outandin
3,351,outandin
3,422,outandin
3,444,outandin
3,445,outandin
94,9,outandin
94,33,incoming
94,40,incoming
94,72,outandin
94,154,outandin
94,166,outandin
94,344,outandin
94,476,outandin
94,535,outandin
94,549,outandin
147,40,outandin
147,69,outandin
147,77,incoming
147,144,outandin
147,168,outandin
147,343,outandin
147,356,outandin
147,366,outandin
147,422,outandin
147,442,incoming
147,489,outandin
147,506,outandin
147,515,outandin
166,9,incoming
166,72,outandin
166,85,outandin
166,91,outandin
166,330,outandin
166,422,incoming
166,476,outandin
166,515,outandin
166,535,outandin
249,65,outandin
249,92,outandin
249,152,outandin
249,341,outandin
249,344,outandin
249,422,outandin
249,444,outandin
249,445,outandin
249,535,outandin
311,32,outandin
311,40,outandin
311,69,outandin
311,72,outandin
311,219,outandin
311,227,outandin
311,232,outandin
311,356,outandin
311,383,incoming
311,411,outandin
311,445,outandin
311,515,outandin
311,525,outandin
311,578,outandin
562,33,outandin
562,168,outandin
562,238,outandin
562,257,outandin
562,271,outandin
562,335,outandin
562,343,outandin
562,383,incoming
562,434,outandin
562,469,outandin
562,470,outandin
562,476,outandin
564,8,outandin
564,20,outandin
564,30,outandin
564,65,outandin
564,72,outandin
564,317,outandin
564,396,incoming
564,448,outandin
564,554,outandin
564,572,outandin
1,169,outandin
1,214,outandin
1,258,outandin
1,273,outandin
1,351,outandin
1,375,outandin
1,421,incoming
1,495,outandin
1,521,outandin
1,541,outandin
1,578,outandin
1,579,incoming
169,16,incoming
169,53,outandin
169,175,outandin
169,258,incoming
169,319,outandin
169,326,outandin
169,364,outandin
169,370,outandin
169,407,incoming
169,457,outandin
169,541,outandin
169,594,outandin
214,50,outandin
214,66,outandin
214,111,outandin
214,175,outandin
214,191,outandin
214,255,outandin
214,258,outandin
214,480,outandin
214,505,outandin
214,537,outandin
258,16,outandin
258,38,outandin
258,81,outandin
258,88,outandin
258,135,outandin
258,218,outandin
258,250,outandin
258,253,outandin
258,407,incoming
273,66,outandin
273,73,outandin
273,81,outandin
273,98,incoming
273,299,outandin
273,326,outandin
273,370,incoming
273,537,outandin
273,559,outandin
351,58,outandin
351,65,outandin
351,152,outandin
351,335,incoming
351,356,outandin
351,415,outandin
351,515,outandin
351,525,incoming
351,543,outandin
375,60,outandin
375,86,outandin
375,127,outandin
375,170,outandin
375,368,outandin
375,439,outandin
375,517,outandin
375,521,outandin
375,527,outandin
375,533,outandin
375,545,outandin
375,599,outandin
421,53,outandin
421,60,outandin
421,255,outandin
421,298,outandin
421,319,outandin
421,364,incoming
421,457,outandin
421,521,incoming
421,536,outandin
421,559,outandin
421,571,outandin
421,599,outandin
495,13,outandin
495,31,outandin
495,82,outandin
495,117,outandin
495,138,outandin
495,264,outandin
495,270,outandin
495,293,outandin
495,345,outandin
495,379,outandin
495,390,outandin
495,474,outandin
495,549,outandin
495,585,outandin
521,176,outandin
521,261,incoming
521,278,outandin
521,282,outandin
521,298,outandin
521,345,outandin
521,364,incoming
521,420,outandin
521,566,outandin
521,578,outandin
521,579,outandin
541,46,outandin
541,60,outandin
541,392,outandin
541,406,outandin
541,505,incoming
541,559,outandin
541,578,outandin
541,599,outandin
578,38,incoming
578,73,incoming
578,148,outandin
578,170,outandin
578,364,outandin
578,420,outandin
578,480,incoming
579,60,outandin
579,66,outandin
579,127,outandin
579,148,outandin
579,250,outandin
579,298,incoming
579,407,incoming
579,480,outandin
579,516,outandin
579,523,outandin
2,10,incoming
2,22,outandin
2,67,outandin
2,237,outandin
2,242,outandin
2,325,outandin
2,348,outandin
2,363,outandin
2,409,outandin
2,414,outandin
2,438,outandin
2,453,outandin
2,543,outandin
10,22,outandin
10,84,outandin
10,110,outandin
10,204,outandin
10,216,outandin
10,223,outandin
10,226,outandin
10,237,incoming
10,323,incoming
10,355,outandin
10,429,outandin
10,452,outandin
10,453,outandin
10,477,outandin
10,510,outandin
22,122,outandin
22,171,outandin
22,195,outandin
22,216,outandin
22,222,outandin
22,262,outandin
22,287,outandin
22,409,outandin
22,410,outandin
22,446,outandin
22,510,incoming
22,574,outandin
67,237,outandin
67,299,outandin
67,320,outandin
67,349,outandin
67,438,outandin
67,467,outandin
237,14,incoming
237,35,outandin
237,160,outandin
237,176,outandin
237,178,outandin
237,226,outandin
237,256,outandin
237,268,incoming
237,312,outandin
237,348,outandin
237,399,incoming
237,431,outandin
237,479,outandin
237,496,outandin
242,14,incoming
242,88,outandin
242,171,outandin
242,222,outandin
242,307,outandin
242,399,outandin
242,400,outandin
242,452,outandin
325,39,outandin
325,171,outandin
325,204,outandin
325,225,outandin
325,349,outandin
325,393,outandin
325,429,outandin
325,439,outandin
325,491,outandin
325,531,outandin
348,5,outandin
348,50,outandin
348,198,outandin
348,216,outandin
348,226,outandin
348,400,outandin
348,452,incoming
348,479,outandin
348,543,incoming
363,160,outandin
363,217,outandin
363,305,outandin
363,355,incoming
363,407,outandin
363,438,outandin
363,492,outandin
363,582,outandin
409,35,outandin
409,171,outandin
409,224,outandin
409,225,outandin
409,392,outandin
409,491,outandin
409,530,incoming
414,34,outandin
414,41,outandin
414,84,outandin
414,172,outandin
414,192,incoming
414,493,incoming
414,500,outandin
414,586,outandin
438,226,outandin
438,268,incoming
438,333,outandin
438,355,outandin
438,400,outandin
438,518,outandin
438,538,outandin
453,205,outandin
453,225,outandin
453,410,outandin
453,470,outandin
453,471,outandin
453,496,outandin
453,518,outandin
453,543,outandin
453,572,outandin
453,598,outandin
543,88,outandin
543,226,outandin
543,431,outandin
543,446,outandin
543,530,outandin
543,574,outandin
543,582,outandin
40,33,outandin
40,36,outandin
40,69,outandin
40,91,outandin
40,92,outandin
40,154,outandin
40,356,outandin
40,378,incoming
40,525,outandin
40,532,outandin
40,535,incoming
57,36,outandin
57,58,outandin
57,75,outandin
57,152,incoming
