source,target,type
1,34,outandin
1,83,outandin
1,188,outgoing
1,196,outandin
1,457,outgoing
1,466,outandin
1,482,outandin
1,488,outandin
1,677,incoming
34,11,incoming
34,95,outandin
34,111,outandin
34,113,outandin
34,207,outgoing
34,269,outandin
34,270,outandin
34,357,outandin
34,376,outandin
34,397,outandin
34,451,outandin
34,468,outandin
34,552,outgoing
34,587,outandin
34,643,outandin
34,691,outandin
34,718,outandin
34,724,outandin
34,746,outandin
83,39,outgoing
83,95,outandin
83,191,outandin
83,232,outandin
83,263,outandin
83,341,outandin
83,445,outgoing
83,456,outandin
83,482,outandin
83,704,outandin
83,716,outandin
188,4,outandin
188,86,outandin
188,196,incoming
188,207,outandin
188,353,incoming
188,445,outandin
188,457,incoming
188,609,outandin
188,735,outandin
196,105,outandin
196,131,outandin
196,199,outandin
196,232,outandin
196,237,outandin
196,270,outandin
196,326,outandin
196,443,outandin
196,445,outandin
196,466,outandin
196,677,outandin
457,86,outandin
457,199,outandin
457,466,outandin
457,552,outandin
457,704,outandin
466,4,outandin
466,48,outandin
466,131,outandin
466,232,outandin
466,270,outandin
466,305,outgoing
466,376,outandin
466,482,outandin
466,578,outandin
466,677,outandin
466,692,outandin
482,80,outandin
482,95,outandin
482,145,outandin
482,232,outandin
482,237,outandin
482,253,outandin
482,270,incoming
482,464,outandin
482,488,outandin
482,605,outandin
482,619,outandin
482,692,outandin
488,113,outandin
488,292,incoming
488,590,outandin
488,640,outandin
488,644,outandin
488,671,outandin
488,702,outandin
488,718,outandin
677,80,outandin
677,87,outandin
677,207,outgoing
677,292,incoming
677,305,outandin
677,420,outandin
677,451,outandin
677,594,outandin
677,732,outandin
2,63,outandin
2,312,outgoing
2,350,outandin
2,351,outandin
2,361,outandin
2,378,incoming
2,699,outandin
2,707,outandin
2,722,outandin
63,110,outandin
63,168,outandin
63,180,outgoing
63,276,outandin
63,309,incoming
63,311,outandin
63,378,outgoing
63,485,outandin
63,702,stable
312,108,incoming
312,180,outandin
312,309,outandin
312,313,outandin
312,377,outandin
312,492,outgoing
312,505,outandin
312,578,outandin
312,629,outandin
312,681,outgoing
312,682,outandin
312,721,outandin
312,735,outandin
350,108,outandin
350,180,outandin
350,298,incoming
350,361,outandin
350,401,outandin
350,492,outgoing
350,531,outandin
350,569,outandin
350,571,outandin
350,596,incoming
351,169,outandin
351,262,outandin
351,291,outgoing
351,492,outandin
351,517,incoming
351,558,outandin
351,601,outandin
351,740,outandin
361,276,outgoing
361,309,stable
361,404,outandin
361,432,outandin
361,450,outandin
361,571,outandin
361,596,outandin
361,641,outandin
361,716,outandin
378,96,outandin
378,310,outandin
378,313,outandin
378,365,outandin
378,435,outandin
378,465,outandin
378,569,stable
378,699,outandin
378,702,outandin
378,733,outandin
699,23,outandin
699,96,outandin
699,291,outandin
699,376,outandin
699,404,outgoing
699,432,stable
699,517,incoming
699,540,outandin
699,601,outandin
699,681,outgoing
699,714,outandin
699,740,outandin
707,46,outandin
707,108,outandin
707,136,incoming
707,336,outandin
707,470,outandin
707,492,outandin
707,494,outandin
722,168,outandin
722,194,outandin
722,335,outandin
722,336,outandin
722,485,outandin
722,494,outandin
722,518,outandin
722,540,outandin
