node,centrality,community,density,eign,betwness,closeness,volatility,name,type,anchor_name
343,7,0,0.1479774705581157,0.0275178499251269,0.0010852885360044,0.2976066597294485,0.0,Team_00#343,stable,Team_00
545,7,0,0.1479774705581157,0.0308087010107528,0.0018985054719252,0.2972972972972973,0.0,Team_00#545,stable,Team_00
201,8,0,0.1479774705581157,0.0297010436422725,0.0011348165365888,0.3071965628356606,0.0,Team_00#201,stable,Team_00
4,9,0,0.1479774705581157,0.0354777005419749,0.0026099059694364,0.3120567375886525,0.0,Team_00#4,stable,Team_00
135,9,0,0.1479774705581157,0.0356828895760438,0.0013460934946552,0.3107007061379685,0.0,Team_00#135,stable,Team_00
173,9,0,0.1479774705581157,0.034929652235174,0.0029278900393886,0.3060460139111824,0.0,Team_00#173,stable,Team_00
185,9,0,0.1479774705581157,0.0307650206705688,0.0044803506678353,0.3070316693505099,0.0,Team_00#185,stable,Team_00
218,9,0,0.1479774705581157,0.0305452918168923,0.0025785804716319,0.3080236941303177,0.0,Team_00#218,stable,Team_00
224,9,0,0.1479774705581157,0.0329586697041422,0.0018152512681943,0.3075268817204301,0.0,Team_00#224,stable,Team_00
288,9,0,0.1479774705581157,0.0291414865828852,0.0017828533523477,0.2910941475826972,0.0,Team_00#288,stable,Team_00
303,9,0,0.1479774705581157,0.0296615445250033,0.0028958384807689,0.2962195753495598,0.0,Team_00#303,stable,Team_00
379,9,0,0.1479774705581157,0.0401177491521537,0.0038943312382047,0.3110386079390973,0.0,Team_00#379,stable,Team_00
412,9,0,0.1479774705581157,0.030420963122626,0.0032729213404972,0.310363537710255,0.0,Team_00#412,stable,Team_00
428,9,0,0.1479774705581157,0.0310218906568226,0.0020206060574122,0.2972972972972973,0.0,Team_00#428,stable,Team_00
505,9,0,0.1479774705581157,0.0289201270593832,0.0010451337558316,0.2960662525879917,0.0,Team_00#505,stable,Team_00
573,9,0,0.1479774705581157,0.0356492848618726,0.00546618971219,0.3146314631463146,0.0,Team_00#573,stable,Team_00
688,9,0,0.1479774705581157,0.0451553978726357,0.0029313256445353,0.3120567375886525,0.6666666666666666,Team_00#688,outandin,Team_00
23,10,0,0.1479774705581157,0.0356582572611249,0.001040780639365,0.2934838378655721,0.0,Team_00#23,stable,Team_00
36,10,0,0.1479774705581157,0.0395888418408496,0.0024403688921401,0.311886586695747,0.3333333333333333,Team_00#36,stable,Team_00
137,10,0,0.1479774705581157,0.0283174380068531,0.0051900122323627,0.3125683060109289,0.0,Team_00#137,stable,Team_00
162,10,0,0.1479774705581157,0.0380788114624447,0.0010188293008388,0.294238683127572,0.6666666666666666,Team_00#162,incoming,Team_00
292,10,0,0.1479774705581157,0.0350401531546311,0.0013579396467886,0.2994764397905759,0.0,Team_00#292,stable,Team_00
341,10,0,0.1479774705581157,0.0359557327998027,0.0013830052426781,0.297451898075923,0.0,Team_00#341,stable,Team_00
375,10,0,0.1479774705581157,0.0357309317013061,0.0044445365052232,0.3177777777777777,0.6666666666666666,Team_00#375,stable,Team_00
385,10,0,0.1479774705581157,0.0335217035657007,0.0038651176928194,0.310363537710255,0.0,Team_00#385,stable,Team_00
400,10,0,0.1479774705581157,0.0397730596380659,0.000869263951881,0.2962195753495598,0.3333333333333333,Team_00#400,stable,Team_00
404,10,0,0.1479774705581157,0.0376295528618097,0.0032453973551982,0.3160220994475138,0.0,Team_00#404,stable,Team_00
549,10,0,0.1479774705581157,0.0331579976878255,0.0011777539738659,0.2976066597294485,0.6666666666666666,Team_00#549,outgoing,Team_00
561,10,0,0.1479774705581157,0.0332053194806683,0.0038708232997484,0.3098591549295774,0.0,Team_00#561,stable,Team_00
680,10,0,0.1479774705581157,0.0333391817781257,0.0012558468333041,0.2977615825091098,0.3333333333333333,Team_00#680,incoming,Team_00
152,11,0,0.1479774705581157,0.0428706999266234,0.0010069693107848,0.3058823529411765,0.0,Team_00#152,stable,Team_00
191,11,0,0.1479774705581157,0.0386092599693749,0.0027520035435852,0.2994764397905759,0.0,Team_00#191,stable,Team_00
208,11,0,0.1479774705581157,0.0482995775327566,0.0059427655766861,0.3122270742358078,0.0,Team_00#208,stable,Team_00
285,11,0,0.1479774705581157,0.0465929070737219,0.0025933191287858,0.3132530120481928,0.0,Team_00#285,stable,Team_00
413,11,0,0.1479774705581157,0.0408819380751958,0.0042603255598432,0.3120567375886525,0.0,Team_00#413,stable,Team_00
431,11,0,0.1479774705581157,0.0351987282329516,0.0062580200773774,0.3160220994475138,0.0,Team_00#431,stable,Team_00
503,11,0,0.1479774705581157,0.0395370118270661,0.0038115226153749,0.3093564088696592,0.0,Team_00#503,stable,Team_00
512,11,0,0.1479774705581157,0.0413204606055772,0.0011499213610399,0.2962195753495598,0.0,Team_00#512,stable,Team_00
9,12,0,0.1479774705581157,0.0386333741084404,0.0041252724891558,0.3105320304017372,0.3333333333333333,Team_00#9,outgoing,Team_00
72,12,0,0.1479774705581157,0.0527066512194187,0.0048896759079099,0.3253697383390216,0.0,Team_00#72,stable,Team_00
79,12,0,0.1479774705581157,0.0476920356853725,0.0041428061063841,0.3233465234595817,0.0,Team_00#79,stable,Team_00
159,12,0,0.1479774705581157,0.0421972092219118,0.0035007308415974,0.3233465234595817,0.0,Team_00#159,stable,Team_00
170,12,0,0.1479774705581157,0.0470824967480779,0.0042660802032258,0.3218908272369161,0.0,Team_00#170,stable,Team_00
408,12,0,0.1479774705581157,0.0462885586085716,0.0022512877215202,0.300894266175697,0.0,Team_00#408,stable,Team_00
531,12,0,0.1479774705581157,0.0430424649047609,0.0011307001806149,0.2999475616151023,0.0,Team_00#531,stable,Team_00
