source,target,type
0,18,outandin
0,52,outandin
0,90,outandin
0,108,incoming
0,171,outandin
0,193,outandin
0,317,outandin
0,354,outandin
0,392,outandin
0,481,outgoing
0,537,outandin
0,538,outandin
0,618,incoming
18,61,incoming
18,112,outandin
18,315,outandin
18,360,outgoing
18,383,outandin
18,474,outandin
18,579,outgoing
18,606,outandin
52,9,outandin
52,28,outgoing
52,61,outgoing
52,62,outandin
52,193,outandin
52,360,outgoing
52,383,outandin
52,387,outandin
52,389,outandin
52,423,outandin
52,453,outandin
52,474,outandin
52,579,incoming
90,40,outandin
90,174,outandin
90,427,outgoing
90,453,outandin
90,474,outandin
90,509,incoming
90,513,outandin
90,517,outandin
90,568,outandin
90,581,outandin
108,60,outandin
108,116,outandin
108,121,outandin
108,171,outandin
108,181,outandin
108,193,outgoing
108,227,outandin
108,481,outandin
108,556,outandin
108,579,outgoing
171,112,outgoing
171,154,outandin
171,268,outandin
171,317,outgoing
171,436,outandin
171,453,outandin
171,481,outgoing
171,517,outandin
193,28,incoming
193,265,outandin
193,293,incoming
193,328,outandin
193,346,outandin
193,424,outandin
193,583,outandin
193,618,outandin
317,28,outandin
317,147,outandin
317,233,outgoing
317,265,outandin
317,315,outandin
317,360,outandin
317,389,outandin
317,474,outandin
317,517,outandin
354,81,outandin
354,279,outandin
354,299,outandin
354,301,outandin
354,304,outandin
354,384,outandin
354,415,outandin
354,528,outandin
392,12,outandin
392,82,incoming
392,101,outandin
392,135,outandin
392,148,incoming
392,227,outgoing
392,266,outandin
392,470,outandin
392,504,outandin
392,546,outgoing
481,19,outandin
481,29,stable
481,160,outandin
481,174,outandin
481,181,outandin
481,224,outandin
481,387,outandin
481,436,outandin
481,475,incoming
481,496,outandin
481,534,outandin
481,579,outgoing
481,620,outandin
537,56,outandin
537,174,outandin
537,181,outandin
537,242,outandin
537,265,outandin
537,346,outandin
537,534,outandin
537,618,outandin
538,64,outandin
538,117,outandin
538,250,outandin
538,297,outandin
538,366,outgoing
538,436,outandin
538,495,outgoing
538,560,outandin
538,569,outandin
538,606,outgoing
538,634,outandin
618,19,outandin
618,87,outandin
618,116,outandin
618,147,outandin
618,252,outandin
618,312,outandin
618,378,outandin
618,427,outandin
618,428,outandin
618,436,incoming
618,438,outandin
618,474,outandin
618,496,outandin
618,509,outandin
618,592,outandin
1,135,outandin
1,194,outandin
1,207,outandin
1,277,outandin
1,404,outgoing
1,408,outgoing
1,503,outgoing
1,572,outandin
1,604,outandin
135,27,stable
135,36,outgoing
135,73,outandin
135,79,outandin
135,170,outandin
135,237,outandin
135,288,outandin
135,428,outandin
135,455,outgoing
135,545,outandin
135,573,outandin
194,5,outandin
194,23,outandin
194,41,outandin
194,71,outandin
194,72,outandin
194,201,outandin
194,218,outandin
194,249,outandin
194,404,outgoing
194,408,outgoing
194,561,outandin
207,94,outandin
207,153,outandin
207,298,outandin
207,318,outandin
207,362,outandin
207,470,incoming
207,536,outandin
207,607,outgoing
277,125,outgoing
277,140,outandin
277,155,outandin
277,248,incoming
277,267,outandin
277,272,outandin
277,282,outandin
277,329,incoming
277,390,incoming
277,516,incoming
277,520,incoming
277,530,stable
277,589,outandin
404,9,outandin
404,36,outandin
404,41,outandin
404,72,outandin
404,119,outandin
404,137,outgoing
404,185,outgoing
