source,target,type
1,64,outandin
1,102,outandin
1,129,outandin
1,228,outgoing
1,244,outandin
1,322,incoming
1,388,outandin
1,448,outandin
1,467,outandin
1,500,outandin
1,605,incoming
1,644,outandin
1,709,outandin
64,73,outandin
64,147,outandin
64,265,outandin
64,266,outandin
64,280,outandin
64,325,outandin
64,330,incoming
64,348,outandin
64,351,outandin
64,404,outandin
64,467,outandin
64,517,outandin
64,610,outgoing
102,9,outandin
102,76,outandin
102,330,outandin
102,396,outandin
102,404,outandin
102,482,outandin
102,492,outandin
102,504,outandin
102,530,outandin
102,626,outandin
129,20,outandin
129,106,outandin
129,138,outandin
129,191,outandin
129,336,outandin
129,369,outandin
129,412,incoming
129,496,outandin
129,527,incoming
129,736,incoming
129,743,outandin
228,14,outandin
228,28,outandin
228,244,outandin
228,245,outandin
228,269,outandin
228,382,outandin
228,464,outandin
228,467,incoming
228,581,outandin
228,592,incoming
228,631,outandin
228,703,outandin
244,41,outandin
244,280,outandin
244,349,outandin
244,404,outandin
244,467,incoming
244,492,outandin
244,600,outandin
322,86,outandin
322,257,outandin
322,382,outandin
322,424,outandin
322,482,outandin
322,500,outandin
322,505,outandin
322,584,outandin
322,643,outandin
388,17,outandin
388,55,outandin
388,62,outandin
388,83,outandin
388,242,incoming
388,288,outandin
388,343,outgoing
388,428,outgoing
388,453,incoming
388,631,outandin
388,742,outandin
448,214,outandin
448,284,outandin
448,330,outandin
448,382,outandin
448,433,outgoing
448,471,outgoing
448,482,outandin
448,595,outgoing
448,605,outandin
448,708,outandin
448,716,outandin
448,726,outandin
467,36,outandin
467,121,outandin
467,204,outandin
467,265,outandin
467,297,outandin
467,348,outandin
467,428,outandin
467,492,outandin
467,605,outandin
467,661,outandin
467,720,incoming
500,23,outandin
500,41,stable
500,50,outandin
500,330,outandin
500,336,outandin
500,471,outandin
500,505,outandin
500,703,outandin
605,216,outandin
605,257,outandin
605,309,outandin
605,396,outandin
605,409,outandin
605,520,outandin
605,523,outandin
605,581,stable
605,592,outgoing
605,716,outandin
644,14,outandin
644,115,outandin
644,238,outgoing
644,280,outandin
644,317,outandin
644,348,outandin
644,375,outandin
644,400,outandin
644,482,outandin
644,714,outandin
644,716,outandin
709,10,outandin
709,17,outandin
709,21,outandin
709,155,outandin
709,174,outandin
709,214,outandin
709,216,outandin
709,238,outandin
709,259,outandin
709,266,outandin
709,314,outandin
709,332,outandin
709,433,outandin
709,530,outandin
709,595,outandin
709,610,outgoing
709,664,outandin
3,18,outandin
3,42,incoming
3,56,outandin
3,150,outandin
3,170,incoming
3,187,outandin
3,239,outandin
3,319,outandin
3,481,outandin
3,498,outandin
3,531,outandin
18,11,outgoing
18,42,stable
18,286,outandin
18,301,outandin
18,382,outandin
18,498,outandin
18,502,outandin
18,564,outandin
18,637,incoming
42,34,outandin
42,95,outgoing
42,127,outandin
42,239,outandin
42,289,incoming
42,371,outandin
42,474,outandin
42,523,outandin
42,531,outgoing
42,607,incoming
42,636,outandin
42,716,outandin
56,120,outgoing
56,140,outandin
56,361,outandin
56,422,outandin
56,524,outandin
56,558,outandin
56,694,outgoing
56,697,outandin
56,741,outandin
150,95,incoming
150,187,outandin
150,267,outandin
150,276,incoming
150,293,outandin
150,371,outandin
150,400,outandin
150,531,outandin
150,545,incoming
150,565,outandin
170,185,outgoing
170,293,outandin
170,297,outandin
170,301,outandin
170,356,incoming
170,439,incoming
170,514,outandin
187,95,outgoing
187,118,outandin
187,278,outandin
187,286,outandin
187,293,outandin
187,371,outandin
187,474,outgoing
187,498,incoming
187,599,outandin
187,607,outandin
187,738,outandin
239,77,outandin
239,88,outandin
239,128,outandin
239,289,outgoing
239,293,outandin
239,356,incoming
239,456,outandin
239,484,outandin
239,514,outandin
239,545,incoming
239,640,outgoing
239,649,outandin
239,692,outandin
239,727,outandin
319,101,outgoing
319,118,incoming
319,200,outandin
319,251,outandin
319,481,outandin
319,498,outandin
319,607,incoming
319,637,outandin
319,727,incoming
481,278,incoming
481,286,outgoing
481,397,outandin
481,451,outgoing
481,502,outandin
481,545,outandin
481,562,outandin
