node,centrality,community,density,eign,betwness,closeness,volatility,name,type,anchor_name
283,7,0,0.1536600120992135,0.023375206561044,0.0004337310110242,0.2916256157635468,0.3333333333333333,Team_00#283,outgoing,Team_00
109,8,0,0.1536600120992135,0.0221232463336028,0.0028776095682709,0.3051546391752577,0.3333333333333333,Team_00#109,outgoing,Team_00
344,8,0,0.1536600120992135,0.0253410250634228,0.0014931235475695,0.2994436014162873,0.0,Team_00#344,stable,Team_00
353,8,0,0.1536600120992135,0.0277475939400755,0.0026284739931871,0.321215409658166,0.0,Team_00#353,stable,Team_00
381,8,0,0.1536600120992135,0.0280062850473321,0.0007657408979477,0.298838970217062,0.0,Team_00#381,stable,Team_00
544,8,0,0.1536600120992135,0.024648673799525,0.0016724231120773,0.3018867924528302,0.0,Team_00#544,stable,Team_00
646,8,0,0.1536600120992135,0.0256757998795916,0.0003887325506637,0.2883584997564539,0.3333333333333333,Team_00#646,incoming,Team_00
647,8,0,0.1536600120992135,0.0219961030120976,0.0018603292888338,0.296,0.3333333333333333,Team_00#647,incoming,Team_00
652,8,0,0.1536600120992135,0.0224110231469377,0.0020805923234331,0.306576903158985,0.3333333333333333,Team_00#652,incoming,Team_00
162,9,0,0.1536600120992135,0.0317362487800678,0.002020294959557,0.3164083377872795,0.0,Team_00#162,stable,Team_00
240,9,0,0.1536600120992135,0.0305641868792292,0.0040039610075988,0.3112513144058885,0.6666666666666666,Team_00#240,outgoing,Team_00
295,9,0,0.1536600120992135,0.0311339456130962,0.0017426943046385,0.3008130081300813,0.0,Team_00#295,stable,Team_00
367,9,0,0.1536600120992135,0.0256787652214795,0.0043857886033147,0.3128964059196617,0.0,Team_00#367,stable,Team_00
433,9,0,0.1536600120992135,0.0274560844225144,0.0017134533252892,0.3048403707518022,0.0,Team_00#433,stable,Team_00
445,9,0,0.1536600120992135,0.0259236925749603,0.0025632586262588,0.3026584867075664,0.3333333333333333,Team_00#445,outgoing,Team_00
493,9,0,0.1536600120992135,0.0278893911421324,0.001900548237707,0.3084940072954664,0.0,Team_00#493,stable,Team_00
525,9,0,0.1536600120992135,0.0277545440308282,0.0010319242812513,0.3003551496702181,0.0,Team_00#525,stable,Team_00
568,9,0,0.1536600120992135,0.0263204974683373,0.0008354156521218,0.2955566650024963,0.0,Team_00#568,stable,Team_00
623,9,0,0.1536600120992135,0.0265216604132678,0.0018368613263955,0.2976370035193564,0.3333333333333333,Team_00#623,stable,Team_00
