source,target,type
0,32,outandin
0,52,outandin
0,105,outandin
0,124,outandin
0,131,outandin
0,147,outandin
0,189,outgoing
0,244,outandin
0,335,outandin
0,404,outandin
0,492,outandin
32,20,outandin
32,137,outgoing
32,149,outandin
32,245,outandin
32,262,outandin
32,346,outandin
32,410,outgoing
32,439,outandin
32,666,outandin
32,751,outandin
32,777,outandin
52,18,outandin
52,46,outandin
52,128,outandin
52,224,outandin
52,355,outandin
52,397,outandin
52,460,outandin
52,724,outandin
52,775,outandin
105,13,outgoing
105,46,outandin
105,64,outgoing
105,163,outandin
105,224,outandin
105,386,outandin
105,466,outandin
105,598,outandin
105,621,outandin
105,657,outandin
105,716,outandin
124,147,outandin
124,242,outandin
124,355,outandin
124,466,outandin
124,468,outandin
124,498,outandin
124,561,outgoing
124,724,outandin
131,17,outandin
131,51,outandin
131,102,outandin
131,211,outandin
131,450,outandin
131,574,outandin
131,575,outandin
131,603,outgoing
131,644,outandin
131,724,outandin
131,740,outgoing
147,13,outandin
147,64,outandin
147,88,outandin
147,186,outandin
147,298,outandin
147,355,outandin
147,398,outandin
147,702,outandin
147,711,outandin
147,765,outandin
189,56,outandin
189,60,outandin
189,163,outgoing
189,232,outandin
189,404,outandin
189,492,outandin
189,555,outandin
189,581,outandin
189,618,outgoing
189,630,outandin
189,674,outandin
189,741,outandin
244,26,outandin
244,64,outandin
244,186,outgoing
244,298,outandin
244,397,outandin
244,434,outandin
244,460,outandin
244,493,outandin
244,515,outandin
244,520,outandin
244,545,outandin
244,711,outandin
244,727,outgoing
244,766,outandin
335,46,outandin
335,140,outandin
335,151,outandin
335,424,outandin
335,515,outandin
335,711,outandin
404,9,outandin
404,66,outandin
404,117,outandin
404,163,outgoing
404,186,outandin
404,249,outandin
404,272,outandin
404,311,outandin
404,375,outandin
404,386,outgoing
404,457,outandin
404,460,outandin
404,701,outandin
492,13,outandin
492,18,outgoing
492,195,outandin
492,217,outandin
492,270,outandin
492,285,outandin
492,304,outgoing
492,317,outgoing
492,386,outandin
492,711,outandin
492,724,outandin
2,57,outandin
2,103,outandin
2,257,outandin
2,363,outandin
2,368,outandin
2,383,outandin
2,672,outandin
2,753,outandin
57,138,outandin
57,383,outandin
57,481,outandin
57,491,outandin
57,586,outandin
57,728,outgoing
103,24,outandin
103,42,outandin
103,156,outandin
103,203,outgoing
103,229,outandin
103,233,outgoing
103,340,outandin
103,345,outandin
103,383,outandin
103,396,outgoing
103,624,outandin
103,760,outandin
257,31,outandin
257,53,outandin
257,191,outandin
257,223,outandin
257,301,outandin
257,343,outandin
257,429,outandin
257,461,outandin
257,508,outandin
257,632,outandin
363,65,outandin
363,154,outandin
363,242,outandin
363,279,outandin
363,394,outandin
363,457,outgoing
363,557,outgoing
363,592,outandin
363,630,outandin
363,674,outandin
368,138,outandin
368,233,outgoing
368,239,outandin
368,389,outgoing
368,396,outgoing
368,426,outandin
368,624,outandin
368,728,outandin
368,760,outandin
383,24,outandin
383,138,outandin
383,203,outandin
383,229,outandin
383,739,outgoing
672,159,outandin
672,185,outandin
672,373,outandin
672,600,outandin
672,650,outgoing
672,655,outgoing
672,667,outandin
672,693,outandin
672,746,outandin
672,757,outandin
672,769,outandin
753,84,outandin
753,164,outandin
753,190,outandin
753,203,outandin
753,239,outandin
753,304,outandin
753,389,outandin
753,426,outandin
753,728,outandin
753,760,outandin
3,41,outandin
3,86,outandin
3,127,outgoing
3,214,outandin
3,243,outandin
3,322,outandin
3,421,outandin
3,455,outgoing
3,484,outandin
3,629,outandin
3,643,outandin
41,16,outandin
41,71,outgoing
41,357,outandin
41,420,outandin
41,526,outgoing
41,588,outandin
41,594,outandin
41,643,outandin
41,771,outandin
86,38,outandin
86,45,outandin
86,68,outandin
86,167,outandin
86,198,outandin
86,322,outandin
86,456,outandin
86,484,outandin
86,722,outandin
86,734,outgoing
86,756,outandin
127,16,outandin
127,198,outandin
127,228,outandin
127,264,outandin
127,322,outandin
127,398,outandin
127,741,outandin
127,755,outandin
214,101,outandin
214,195,outandin
214,206,outandin
214,243,outgoing
214,380,outgoing
214,420,outandin
214,421,outandin
214,473,outandin
214,545,outandin
214,558,outandin
214,594,outandin
214,599,outgoing
214,771,outandin
243,21,outgoing
243,255,outandin
243,322,outandin
243,523,outandin
243,560,outandin
243,724,outandin
322,26,outandin
322,72,outandin
322,489,outandin
322,556,outandin
322,560,outandin
322,674,outandin
322,692,outandin
421,19,outandin
421,72,outandin
421,255,outandin
421,456,outandin
421,479,outandin
421,505,outandin
421,524,outandin
421,560,outandin
421,697,outandin
421,722,outgoing
455,45,outandin
455,72,outgoing
455,157,outandin
455,380,outandin
455,456,outgoing
455,484,outandin
455,491,outandin
455,495,outandin
455,505,outgoing
455,648,outandin
455,679,outandin
455,708,outandin
455,722,outandin
455,734,outandin
484,197,outandin
484,264,outandin
484,505,outandin
484,594,outandin
484,670,outandin
629,117,outandin
629,170,outgoing
629,212,outgoing
629,504,outandin
629,568,outandin
629,575,outandin
629,758,outandin
643,16,outgoing
643,38,outandin
643,110,outgoing
643,255,outandin
643,271,outandin
643,420,outandin
643,470,outandin
643,473,outandin
643,721,outandin
643,734,outgoing
643,763,outandin
4,66,outandin
4,117,outandin
4,169,outandin
4,198,outandin
4,206,outandin
4,373,outandin
4,586,outandin
4,762,outandin
66,15,outandin
66,87,outandin
66,134,outgoing
66,135,outandin
66,198,outandin
66,267,outgoing
66,370,outandin
66,401,outgoing
66,448,outandin
66,500,outandin
66,719,outandin
66,735,outandin
117,169,outandin
117,218,outandin
117,331,outgoing
117,405,outandin
117,480,outandin
117,522,outandin
117,580,outgoing
117,601,outandin
117,707,outandin
117,718,outgoing
169,8,outandin
169,29,outgoing
169,67,outandin
169,212,outandin
169,423,outandin
169,480,outandin
169,483,outandin
169,500,outandin
198,8,outandin
198,115,outandin
198,121,outandin
198,200,outandin
198,222,outgoing
198,302,outandin
198,313,outgoing
198,452,outandin
198,478,outgoing
198,499,outandin
206,8,outandin
206,240,outandin
206,329,outandin
206,422,outandin
206,558,outgoing
206,560,outandin
206,599,outandin
206,619,outandin
206,708,outandin
206,722,outandin
206,763,outandin
373,94,outgoing
373,137,outandin
373,200,outandin
373,248,outgoing
373,420,outandin
373,434,outandin
373,458,outandin
373,499,outandin
373,500,outandin
586,15,outandin
586,68,outandin
586,220,outandin
586,251,outandin
586,495,outandin
586,510,outandin
586,538,outandin
586,594,outandin
586,704,outandin
586,759,outandin
762,161,outandin
762,253,outandin
762,255,outandin
762,391,outandin
762,458,outandin
762,472,outandin
762,488,outandin
762,615,outandin
762,639,outandin
762,725,outandin
6,13,outandin
6,26,outandin
6,76,outandin
6,397,outgoing
6,423,outandin
6,424,outandin
6,533,outandin
6,555,outgoing
6,584,outandin
6,600,outandin
6,775,outandin
13,88,outandin
13,175,outandin
13,279,outgoing
13,423,outandin
13,424,outandin
13,498,outandin
13,519,outandin
13,552,outandin
13,604,outandin
