source,target,type
0,71,outandin
0,149,outandin
0,271,outandin
0,340,outandin
0,397,outandin
0,491,outandin
0,497,outandin
0,576,outandin
0,622,outandin
0,658,outandin
71,152,outgoing
71,295,outandin
71,393,outandin
71,440,outandin
71,496,outandin
71,646,outandin
71,743,outandin
71,762,outandin
149,87,outandin
149,194,outandin
149,198,outandin
149,397,outandin
149,549,outandin
149,740,outgoing
271,32,outandin
271,152,outandin
271,354,outandin
271,380,outandin
271,496,outandin
271,552,outandin
271,764,outandin
340,7,outandin
340,289,outandin
340,354,outandin
340,377,outandin
340,410,outandin
340,560,outandin
340,646,outandin
340,696,outandin
397,132,outgoing
397,205,outandin
397,265,outandin
397,421,outandin
397,512,outgoing
397,723,outandin
491,32,outandin
491,114,outandin
491,276,outandin
491,311,outandin
491,424,outandin
491,507,outandin
497,9,outandin
497,265,outandin
497,351,outandin
497,368,outandin
497,410,outandin
497,512,outandin
497,549,outandin
497,601,outandin
497,639,outandin
497,745,outandin
576,126,outgoing
576,141,outgoing
576,287,outandin
576,347,outandin
576,404,outandin
576,421,outandin
576,463,outandin
576,526,outandin
576,609,outandin
576,612,outandin
576,642,outandin
622,7,outandin
622,57,outandin
622,194,outandin
622,219,outandin
622,304,outandin
622,313,outandin
622,396,outandin
622,487,outandin
622,646,outandin
622,755,outandin
658,9,outandin
658,137,outandin
658,217,outandin
658,224,outandin
658,352,outandin
658,447,outandin
658,602,outandin
658,724,outgoing
1,20,outandin
1,64,outandin
1,75,outandin
1,88,outandin
1,95,outandin
1,314,outgoing
1,442,outandin
1,494,outgoing
1,517,outandin
1,592,outandin
1,610,outandin
20,95,outandin
20,139,outandin
20,147,outandin
20,178,outandin
20,367,outandin
20,436,outandin
20,487,outandin
20,494,outandin
20,537,outandin
20,607,outandin
20,667,outandin
20,719,outandin
20,746,outandin
20,770,outandin
64,19,outandin
64,93,outandin
64,102,outandin
64,139,outandin
64,314,outgoing
64,424,outgoing
64,442,outandin
64,459,outandin
64,717,outandin
75,102,outandin
75,139,outandin
75,165,outgoing
75,244,outandin
75,272,outandin
75,307,outandin
75,314,outandin
75,409,outandin
75,431,outandin
75,559,outgoing
75,610,outandin
75,616,outandin
75,752,outandin
88,11,outandin
88,80,outandin
88,147,outandin
88,171,outgoing
88,178,outgoing
88,494,outgoing
88,555,outgoing
88,635,outgoing
88,716,outandin
88,717,outandin
88,752,outandin
88,770,outandin
95,43,outgoing
95,111,outgoing
95,264,outandin
95,367,outandin
95,583,outandin
95,610,outandin
95,635,outandin
95,718,outgoing
95,719,outandin
95,770,outandin
314,15,outandin
314,272,outandin
314,607,outgoing
314,635,outandin
314,719,outandin
314,746,outandin
314,770,outandin
442,21,outandin
442,171,outandin
442,178,outandin
442,436,outandin
442,472,outandin
442,475,outandin
442,510,outandin
442,559,outgoing
442,731,outgoing
442,751,outandin
494,39,outandin
494,281,outandin
494,329,outandin
494,510,outandin
494,555,outandin
494,610,outandin
494,717,outandin
494,751,outandin
517,21,outandin
517,139,outandin
517,150,outandin
517,178,outgoing
517,320,outandin
517,400,outandin
517,487,outgoing
517,544,outandin
517,610,outandin
517,616,outandin
517,635,outandin
517,718,outgoing
517,751,outandin
592,21,outandin
592,121,outandin
592,147,outandin
592,178,outandin
592,244,outandin
592,367,outandin
592,389,outandin
592,459,outandin
592,583,outandin
592,632,outandin
592,718,outandin
592,719,outandin
592,752,outandin
610,21,outandin
610,329,outandin
610,436,outandin
610,559,outandin
610,616,outandin
610,635,outandin
610,752,outandin
2,29,outandin
2,92,outandin
2,101,outandin
2,106,outandin
2,241,outandin
2,347,outandin
2,395,outandin
2,640,outandin
2,674,outandin
2,727,outandin
2,760,outandin
2,761,outandin
2,776,outandin
29,15,outgoing
29,93,outandin
29,142,outandin
29,148,outandin
29,263,outandin
29,355,outandin
29,523,outgoing
29,598,outandin
29,601,outandin
29,741,outandin
29,763,outandin
92,112,outandin
92,135,outandin
92,216,outandin
92,263,outgoing
92,404,outandin
92,454,outandin
92,523,outgoing
92,532,outgoing
92,547,outandin
92,597,outandin
101,35,outandin
101,135,outgoing
101,142,outandin
101,216,outgoing
101,276,outandin
101,339,outgoing
101,418,outandin
101,454,outandin
101,507,outandin
101,597,outandin
101,640,outandin
101,656,outandin
101,717,outandin
106,216,outandin
106,237,outandin
106,281,outandin
106,312,outandin
106,359,outandin
106,454,outandin
106,735,outandin
106,768,outandin
241,35,outandin
241,136,outandin
241,142,outandin
241,162,outandin
241,203,outandin
241,237,outandin
241,312,outandin
241,350,outandin
241,461,outandin
241,500,outandin
241,547,outandin
241,649,outandin
241,677,outandin
241,735,outgoing
347,77,outandin
347,191,outandin
347,298,outandin
347,326,outandin
347,330,outandin
347,421,outandin
347,475,outandin
347,535,outandin
395,118,outandin
395,175,outgoing
395,190,outandin
395,266,outandin
395,371,outandin
395,590,outandin
395,601,outandin
640,81,outandin
640,162,outandin
640,355,outandin
640,370,outandin
640,500,outandin
640,523,outandin
