source,target,type
0,21,outandin
0,136,outandin
0,203,outandin
0,233,outandin
0,287,outandin
0,421,outandin
0,590,outandin
0,628,outandin
0,658,incoming
21,5,outandin
21,44,outandin
21,64,outgoing
21,157,outandin
21,348,outandin
21,364,outandin
21,408,outandin
21,421,outgoing
21,436,outandin
21,538,outandin
21,540,outandin
21,630,outandin
21,658,outandin
21,662,outandin
136,44,outandin
136,138,outgoing
136,247,outandin
136,355,outandin
136,429,outandin
136,431,outandin
136,508,outandin
136,551,outandin
203,28,incoming
203,233,outandin
203,242,outandin
203,245,outandin
203,357,outandin
203,420,outandin
203,421,incoming
203,472,outandin
203,563,outandin
203,608,incoming
233,56,outandin
233,185,incoming
233,319,incoming
233,342,outandin
233,416,outandin
233,420,outandin
233,472,outandin
233,488,outandin
233,579,outandin
233,658,outandin
287,28,outandin
287,44,outandin
287,245,outandin
287,276,outandin
287,356,outandin
287,421,outandin
287,538,incoming
287,544,outandin
421,102,outandin
421,114,outandin
421,153,outandin
421,165,outandin
421,242,outandin
421,353,outandin
421,428,outandin
421,436,outandin
421,449,outandin
421,523,outgoing
590,156,outandin
590,270,outandin
590,284,outandin
590,289,outandin
590,360,outandin
590,578,outandin
590,653,outandin
628,39,outgoing
628,48,outandin
628,85,outandin
628,168,outandin
628,224,outandin
628,245,outandin
628,319,outandin
628,378,outandin
628,538,outandin
628,664,outandin
658,1,outandin
658,98,incoming
658,353,outandin
658,428,outandin
658,432,outandin
658,436,outandin
658,467,outandin
658,542,outandin
658,581,outandin
1,74,outandin
1,138,outgoing
1,242,outandin
1,244,outandin
1,256,outandin
1,275,outgoing
1,301,outandin
1,348,outandin
1,490,outandin
1,544,outandin
74,5,outandin
74,29,outandin
74,152,outandin
74,184,outandin
74,245,outandin
74,319,outgoing
74,341,outandin
74,348,outandin
74,420,incoming
74,523,outandin
74,551,outandin
74,572,outandin
74,653,outandin
138,28,outgoing
138,29,outandin
138,31,outandin
138,39,outandin
138,103,outandin
138,185,outandin
138,276,outandin
138,342,outandin
138,428,outandin
242,5,outandin
242,366,incoming
242,371,outandin
242,416,outandin
242,428,outandin
242,449,outandin
242,542,outandin
242,662,outandin
244,25,stable
244,130,outandin
244,222,outandin
244,256,outgoing
244,379,outandin
244,435,outandin
244,451,outandin
244,584,outandin
244,633,outandin
244,638,outandin
244,659,outandin
244,666,outandin
256,13,outandin
256,95,outandin
256,207,outandin
256,218,outandin
256,326,outandin
256,378,incoming
256,577,outgoing
256,665,outandin
275,56,outandin
275,141,outandin
275,245,outandin
275,357,incoming
275,393,outandin
275,416,outandin
275,420,outandin
275,441,outandin
275,449,outandin
275,467,incoming
301,75,outgoing
301,213,outandin
301,239,outandin
301,286,outandin
301,306,outandin
301,317,outgoing
301,326,outandin
301,435,outandin
301,444,incoming
301,604,incoming
301,633,outandin
348,28,outandin
348,85,outandin
348,319,outgoing
348,432,stable
348,540,outandin
348,580,outandin
348,662,incoming
490,52,outandin
490,62,outandin
490,132,incoming
490,363,outandin
490,398,incoming
490,405,outandin
490,451,outandin
490,464,outandin
490,529,outandin
490,547,outandin
490,640,outandin
544,166,outandin
544,224,outandin
544,227,outandin
544,341,incoming
544,342,outandin
544,353,stable
544,393,outandin
544,436,outandin
544,452,outandin
544,523,outandin
2,48,outandin
2,191,outandin
2,403,outandin
2,484,outandin
2,495,outgoing
2,537,outandin
2,548,outandin
2,572,outandin
2,588,stable
48,56,outandin
48,185,outgoing
48,224,outandin
48,260,outandin
48,373,outandin
48,493,outandin
48,510,outgoing
48,523,outandin
191,20,outandin
191,85,outandin
191,103,incoming
191,140,outandin
191,412,outandin
191,438,outandin
191,485,outandin
191,536,outgoing
191,619,outandin
403,53,outandin
403,133,outandin
403,147,outandin
403,236,outandin
403,313,outgoing
403,401,outandin
403,433,outandin
403,480,stable
403,536,outandin
403,565,outgoing
403,619,outandin
403,633,outandin
484,99,incoming
484,174,incoming
484,186,incoming
484,372,outgoing
484,418,outandin
484,558,outandin
484,588,outandin
484,619,outandin
495,58,outandin
495,99,outandin
495,219,outandin
495,330,outandin
495,548,incoming
495,588,outandin
537,20,outgoing
537,148,outandin
537,339,outandin
537,343,incoming
537,396,outandin
537,491,outandin
548,56,outandin
548,133,outandin
548,211,stable
548,281,stable
548,343,outandin
548,480,outandin
548,551,outandin
548,572,outandin
548,635,outandin
548,646,outandin
548,656,outandin
572,16,outandin
572,31,outgoing
572,105,outandin
572,140,outandin
572,236,outandin
572,296,outandin
572,343,outgoing
572,418,outandin
572,438,outandin
572,486,incoming
572,588,incoming
572,600,outandin
572,619,outandin
588,16,outandin
588,99,outandin
588,286,outandin
588,298,outandin
588,401,outandin
588,437,outgoing
588,486,outgoing
588,619,outandin
588,643,incoming
588,646,outandin
3,12,outandin
3,16,outandin
3,99,outandin
3,146,outgoing
3,192,outandin
3,313,outandin
3,358,outandin
3,372,outgoing
3,387,outandin
3,401,outandin
3,518,outandin
3,577,outandin
3,656,outandin
12,31,outandin
12,58,outandin
12,182,outandin
12,229,outandin
12,399,outandin
12,401,outandin
12,433,outandin
12,438,incoming
12,506,outgoing
12,643,outandin
16,103,outandin
16,133,incoming
16,174,incoming
16,236,outandin
16,381,outandin
16,510,outandin
16,617,outandin
99,58,outandin
99,140,incoming
99,174,incoming
99,298,outandin
99,343,stable
99,437,outgoing
99,438,outgoing
99,536,outandin
99,613,outandin
146,20,incoming
146,29,outandin
146,66,outandin
146,125,outandin
146,133,outandin
146,149,outandin
146,186,incoming
146,401,outgoing
146,409,outandin
146,418,outandin
146,435,outandin
146,471,incoming
146,565,outandin
146,630,outandin
146,635,outandin
192,33,outandin
192,126,incoming
192,135,outandin
192,153,outgoing
192,271,outandin
192,368,outandin
192,410,outandin
192,455,outandin
192,583,incoming
192,625,outandin
192,645,outandin
313,31,outandin
313,147,stable
313,150,outandin
313,281,outandin
313,296,stable
313,401,outandin
313,409,outandin
313,437,outandin
313,530,outandin
313,536,outandin
313,545,outandin
313,565,outandin
358,27,incoming
358,122,outandin
358,137,outandin
358,201,incoming
358,268,outandin
358,330,outandin
358,410,outandin
372,37,outandin
372,103,outgoing
372,169,outgoing
372,296,outandin
372,401,outandin
372,433,outandin
372,437,outandin
372,565,outgoing
372,643,outandin
387,63,outandin
387,222,outandin
387,237,outandin
387,294,outandin
387,333,outandin
387,454,outandin
387,458,outandin
387,522,outandin
387,560,outgoing
387,627,outgoing
401,183,outandin
401,186,outandin
401,412,outandin
401,480,outandin
401,506,incoming
401,515,outandin
401,536,outandin
518,75,outandin
518,108,outandin
518,161,incoming
518,213,outandin
518,444,outandin
518,473,outandin
518,488,outandin
518,533,outandin
518,659,outandin
577,86,outandin
577,95,outandin
577,126,outandin
577,261,outgoing
577,286,outandin
577,378,incoming
577,435,outandin
577,465,outandin
577,561,outgoing
577,573,outandin
577,633,incoming
656,86,outandin
656,140,outandin
656,147,outandin
656,281,outandin
656,433,outandin
656,480,outandin
656,600,outandin
4,69,outandin
4,108,outandin
4,195,incoming
4,226,outandin
4,248,outgoing
4,369,outandin
4,379,outandin
4,456,outandin
4,511,outandin
4,557,outandin
4,581,outandin
69,27,outandin
69,137,outandin
69,168,outandin
69,214,outandin
69,247,outandin
69,314,incoming
69,383,outandin
69,385,outandin
69,430,outandin
69,543,outandin
108,97,outandin
108,207,outandin
108,261,outandin
108,310,outandin
108,473,outandin
108,488,outandin
108,533,outandin
108,542,outandin
108,602,outandin
108,609,outandin
195,6,outandin
195,66,outandin
195,178,outandin
195,268,stable
195,338,outgoing
195,370,outandin
226,94,outandin
226,137,outandin
226,168,outgoing
226,214,outandin
226,240,outgoing
226,361,outandin
226,430,outandin
226,498,outandin
226,601,outandin
226,657,outandin
248,130,outandin
248,201,outandin
248,266,outandin
248,314,outandin
248,361,incoming
248,424,outandin
248,500,outandin
248,614,outandin
369,61,incoming
369,87,outandin
369,112,outandin
369,268,outandin
369,314,outandin
369,424,outandin
369,457,outgoing
369,503,outandin
379,81,outandin
379,345,outandin
379,446,outandin
379,558,outandin
379,574,outandin
379,618,outandin
456,94,outandin
456,112,outandin
456,117,outandin
456,168,outandin
456,201,outandin
456,304,outandin
456,311,outandin
456,315,outandin
456,385,outandin
456,454,outandin
511,31,outandin
511,130,outandin
511,173,outandin
511,201,incoming
511,240,incoming
511,306,outandin
511,315,outandin
511,338,outandin
511,516,outgoing
511,579,outandin
