source,target,type
0,61,outandin
0,94,outandin
0,216,outandin
0,245,outandin
0,256,outgoing
0,273,incoming
0,347,outandin
0,452,outandin
0,556,outandin
61,7,outandin
61,250,outandin
61,252,outandin
61,370,outandin
61,488,outandin
61,542,outandin
61,577,outandin
61,612,outandin
61,617,incoming
94,23,outandin
94,106,outandin
94,113,outandin
94,173,outandin
94,272,outgoing
94,273,outgoing
94,315,incoming
94,425,outandin
94,454,outandin
94,485,outandin
94,499,outandin
216,69,outandin
216,71,outandin
216,149,outandin
216,175,outandin
216,187,outandin
216,256,outandin
216,285,outandin
216,329,outandin
216,368,outandin
216,495,outandin
216,508,outandin
216,556,outandin
216,589,outandin
216,607,outandin
245,27,outgoing
245,160,stable
245,168,incoming
245,175,outandin
245,262,outandin
245,315,outgoing
245,352,outandin
245,376,outandin
245,471,outandin
245,491,outandin
245,589,outandin
245,607,outandin
245,617,incoming
256,125,incoming
256,163,incoming
256,168,outgoing
256,175,outgoing
256,465,outandin
256,485,outgoing
256,509,outandin
256,564,outandin
273,3,outandin
273,7,outandin
273,71,outandin
273,125,outandin
273,172,outandin
273,199,outandin
273,213,outandin
273,297,outandin
273,456,outandin
273,485,outandin
273,542,incoming
273,556,incoming
347,17,outandin
347,102,outandin
347,125,outandin
347,149,stable
347,167,outandin
347,272,stable
347,285,outandin
347,323,outgoing
347,343,outandin
347,376,outandin
347,444,outgoing
347,491,incoming
347,558,outandin
452,23,outgoing
452,107,outandin
452,115,outandin
452,158,outandin
452,193,outandin
452,297,outandin
452,317,outandin
452,366,outandin
556,167,outandin
556,187,outandin
556,199,outandin
556,250,outandin
556,343,outandin
556,475,outandin
556,499,outandin
556,591,outandin
1,3,outgoing
1,190,outgoing
1,280,outandin
1,283,outandin
1,334,outandin
1,420,outandin
1,440,outandin
1,479,outandin
1,500,outandin
1,595,outgoing
3,65,outgoing
3,128,outandin
3,314,outandin
3,355,outandin
3,481,outandin
3,495,outandin
3,526,outgoing
190,118,outandin
190,165,outandin
190,204,outgoing
190,290,incoming
190,331,outandin
190,358,outandin
190,398,outandin
190,480,outandin
190,487,outgoing
190,562,outandin
190,572,outandin
190,622,outandin
280,84,outandin
280,98,outandin
280,131,outandin
280,204,outandin
280,223,outandin
280,243,outandin
280,358,outandin
280,450,outandin
280,487,outandin
280,503,outandin
280,518,stable
280,555,outandin
280,600,outandin
280,619,outandin
283,65,outandin
283,119,outandin
283,128,outgoing
283,408,outandin
283,420,outandin
283,494,outandin
283,512,incoming
283,516,outandin
283,600,outandin
334,15,outandin
334,65,outandin
334,67,outandin
334,112,outandin
334,119,outandin
334,223,outandin
334,325,outandin
334,332,outandin
334,355,outandin
334,358,outandin
334,420,outandin
334,454,stable
334,456,outandin
334,500,incoming
334,619,incoming
420,40,outandin
420,67,outandin
420,112,outandin
420,358,outandin
420,562,outandin
440,26,outandin
440,119,outandin
440,143,outandin
440,205,outandin
440,223,outandin
440,290,outandin
440,314,incoming
440,335,outgoing
440,341,outgoing
440,569,outandin
479,17,outandin
479,68,outandin
479,73,outandin
479,89,stable
479,140,outandin
479,269,incoming
479,286,outandin
479,437,outandin
479,484,incoming
479,525,outandin
500,205,incoming
500,223,outandin
500,241,outandin
500,311,outandin
500,314,outgoing
500,355,incoming
500,358,outandin
500,408,outgoing
500,512,outgoing
500,619,outandin
595,51,outandin
595,98,outgoing
595,118,outandin
595,204,outandin
595,422,outandin
595,450,outgoing
595,454,outandin
595,518,outandin
595,566,outandin
595,605,outandin
595,619,outandin
2,50,incoming
2,101,outgoing
2,192,outandin
2,319,outandin
2,324,outandin
2,496,incoming
2,521,incoming
2,522,incoming
2,525,outandin
2,602,outandin
50,101,outandin
50,107,outandin
50,193,outandin
50,287,outandin
50,319,incoming
50,489,outandin
50,514,outandin
50,529,outandin
50,570,outandin
101,31,outandin
101,129,outandin
101,287,outandin
101,310,outandin
101,319,outandin
101,324,outandin
101,496,outandin
101,543,outandin
101,621,outandin
192,22,outandin
192,33,outandin
192,44,outandin
192,112,outandin
192,135,outandin
192,165,outandin
192,177,incoming
192,359,outgoing
192,375,outandin
192,449,outandin
192,604,outandin
319,115,outgoing
319,139,outandin
319,149,outandin
319,158,outandin
319,224,incoming
319,417,incoming
319,488,outandin
319,496,outgoing
319,514,outgoing
319,588,stable
319,602,outandin
324,34,outandin
324,69,outandin
324,102,outandin
324,115,outgoing
324,174,outandin
324,333,outandin
324,514,outandin
324,521,incoming
324,522,outandin
