source,target,type
1,26,outandin
1,71,outandin
1,113,outandin
1,124,outandin
1,150,outandin
1,234,outandin
1,235,incoming
1,244,outandin
1,260,outandin
1,272,outandin
1,284,outandin
1,424,outandin
1,617,outandin
1,648,outandin
1,659,outandin
1,695,outandin
26,88,outandin
26,113,incoming
26,150,outandin
26,176,outandin
26,315,outandin
26,316,outandin
26,336,outandin
26,372,outandin
26,373,outgoing
26,537,outgoing
26,620,outandin
26,629,outandin
26,688,outandin
71,22,incoming
71,75,incoming
71,104,outandin
71,146,outandin
71,151,outandin
71,176,outandin
71,284,incoming
71,406,stable
71,417,incoming
113,75,outandin
113,316,outandin
113,372,outgoing
113,417,outandin
113,678,outgoing
113,695,outandin
113,741,incoming
124,4,outgoing
124,146,outandin
124,244,outandin
124,272,incoming
124,315,outandin
124,520,outandin
124,586,outandin
124,611,outgoing
124,678,stable
150,160,outandin
150,246,incoming
150,284,outandin
150,373,outandin
150,537,outandin
150,568,outandin
150,620,outandin
150,678,stable
150,735,outandin
234,160,outandin
234,168,outandin
234,213,outandin
234,235,outgoing
234,284,outandin
234,365,outandin
234,415,outgoing
234,586,outandin
234,695,outandin
235,117,outandin
235,160,outandin
235,168,outandin
235,372,incoming
235,406,outandin
235,447,outandin
235,549,outandin
235,562,outandin
235,662,outandin
244,22,outandin
244,75,outandin
244,131,outandin
244,160,outandin
244,568,outandin
244,691,outandin
244,717,outandin
244,721,outandin
244,741,incoming
260,94,outandin
260,227,outandin
260,316,outandin
260,393,incoming
260,537,outandin
260,666,outandin
260,688,outandin
260,691,outandin
260,706,outandin
260,723,outandin
260,741,incoming
272,4,outandin
272,151,outandin
272,160,outandin
272,168,outandin
272,283,outandin
272,284,outandin
272,620,incoming
272,691,outgoing
272,723,outandin
284,4,outandin
284,75,outandin
284,151,outandin
284,266,outandin
284,283,incoming
284,537,outandin
284,700,outandin
424,22,outandin
424,94,outandin
424,241,outandin
424,332,outandin
424,415,outandin
424,417,outandin
424,447,outandin
424,620,outandin
424,700,incoming
424,717,outandin
617,75,outandin
617,332,outandin
617,404,outandin
617,429,outandin
617,435,outandin
617,447,outandin
617,463,outandin
617,549,outgoing
617,586,outgoing
617,611,outandin
617,620,outgoing
617,688,outandin
648,485,outandin
648,626,outandin
648,627,incoming
648,639,incoming
648,640,outgoing
648,653,outandin
648,658,outandin
648,659,outandin
648,662,outandin
648,668,outandin
648,716,outandin
659,459,outandin
659,623,incoming
659,629,stable
659,633,outandin
659,634,stable
659,641,incoming
659,644,outandin
659,646,outandin
659,654,outgoing
659,660,outandin
659,663,outandin
659,717,outandin
695,18,outandin
695,151,outandin
695,246,outgoing
695,404,stable
695,409,incoming
695,537,outandin
695,620,outandin
695,691,stable
695,735,outandin
3,35,outandin
3,247,outandin
3,271,outandin
3,442,outandin
3,471,outandin
3,548,outgoing
3,704,outandin
35,15,outandin
35,106,outgoing
35,334,incoming
35,360,outandin
35,364,incoming
35,366,outandin
35,502,outandin
35,529,incoming
35,594,outandin
35,692,outgoing
247,99,outandin
247,304,outandin
247,310,outandin
247,408,outandin
247,432,outandin
247,550,incoming
