source,target,type
0,106,outandin
0,178,outandin
0,180,outandin
0,276,outandin
0,286,outandin
0,318,outandin
0,499,outandin
0,501,outandin
0,508,outandin
0,706,outandin
0,711,outandin
0,722,outandin
106,7,outandin
106,132,outandin
106,169,outandin
106,179,outandin
106,239,incoming
106,291,outandin
106,557,outandin
106,585,outandin
106,733,outandin
106,748,incoming
106,750,outandin
178,4,outandin
178,28,outandin
178,180,outandin
178,193,outgoing
178,245,outandin
178,246,incoming
178,310,outandin
178,407,outandin
178,507,outandin
178,750,outandin
180,4,outandin
180,87,outandin
180,193,incoming
180,240,outandin
180,286,outandin
180,304,outandin
180,318,outandin
180,339,outandin
180,463,outandin
180,499,outandin
180,566,outandin
180,587,outandin
276,4,outandin
276,9,outandin
276,102,outandin
276,145,incoming
276,241,outandin
276,286,incoming
276,345,outandin
276,347,outandin
276,376,outandin
276,386,outandin
276,429,outandin
276,440,outandin
276,545,outandin
276,553,outandin
276,627,outandin
286,15,outandin
286,44,outandin
286,72,outandin
286,89,outandin
286,133,outandin
286,193,outandin
286,292,outgoing
286,304,outandin
286,407,outandin
286,499,outgoing
286,509,outandin
286,693,outandin
286,712,incoming
318,62,outandin
318,67,outandin
318,90,outandin
318,217,outandin
318,351,outandin
318,400,outgoing
318,464,outandin
318,507,incoming
318,529,outandin
318,587,outandin
318,612,outgoing
499,62,outandin
499,84,outandin
499,155,incoming
499,224,outandin
499,440,outandin
499,459,outandin
499,712,outandin
499,739,outandin
501,4,outandin
501,67,outgoing
501,292,outandin
501,536,outandin
501,732,incoming
508,7,outgoing
508,179,outandin
508,248,incoming
508,351,outandin
508,403,outandin
508,406,outandin
508,451,outgoing
508,458,outandin
508,750,outandin
706,14,outandin
706,54,outandin
706,105,outandin
706,302,incoming
706,400,outandin
706,446,outandin
706,468,outandin
706,536,outandin
706,560,outandin
706,562,outandin
706,626,outandin
706,712,outandin
711,54,outandin
711,72,outandin
711,90,outandin
711,246,outandin
711,257,outandin
711,347,outandin
711,551,outandin
711,553,outandin
711,557,outandin
711,626,outandin
711,724,outgoing
722,227,outandin
722,269,outandin
722,304,outandin
722,339,outandin
722,553,outandin
722,566,incoming
722,587,outandin
722,683,outandin
1,165,outandin
1,335,outgoing
1,408,incoming
1,482,outandin
1,554,outandin
1,598,outandin
1,682,outandin
1,689,outandin
1,713,incoming
165,170,incoming
165,194,outandin
165,219,outandin
165,335,outandin
165,502,outandin
165,548,outandin
165,575,outandin
165,650,outandin
165,694,outandin
165,709,incoming
165,741,outandin
165,750,outandin
335,14,outandin
335,24,incoming
335,75,outgoing
335,116,outandin
335,159,outandin
335,190,outgoing
335,352,outandin
335,408,outandin
335,699,outgoing
335,735,outandin
335,740,outandin
335,741,outandin
408,107,outandin
408,548,outandin
408,575,outandin
408,602,outandin
408,698,outandin
408,735,outandin
408,740,outandin
482,16,outandin
482,24,outandin
482,130,outandin
482,171,outandin
482,486,outandin
482,493,outandin
482,713,incoming
554,22,incoming
554,101,outandin
554,121,outgoing
554,214,outandin
554,361,outandin
554,414,stable
554,462,incoming
554,701,outgoing
598,97,outandin
598,111,outandin
598,144,outandin
598,215,outandin
598,346,outandin
598,393,outandin
598,472,outandin
598,556,incoming
598,572,outandin
598,588,outandin
598,659,outandin
598,749,outandin
682,49,outandin
682,270,outandin
682,481,outandin
682,536,outandin
682,604,outandin
682,648,incoming
682,649,outandin
682,666,outgoing
682,674,outgoing
682,692,stable
682,694,outandin
689,651,outandin
689,656,stable
689,662,outandin
689,669,outandin
689,671,outandin
689,672,outandin
689,673,outandin
689,678,stable
689,681,outandin
689,684,outandin
689,686,outgoing
689,739,outandin
713,16,outandin
713,75,outgoing
713,86,outandin
713,128,outandin
713,269,outandin
713,322,outandin
713,548,outandin
713,579,outandin
713,665,outandin
713,673,outandin
713,698,outandin
713,714,outandin
713,735,incoming
2,25,outandin
2,213,outandin
2,251,outandin
2,280,outandin
2,293,outandin
2,349,outgoing
2,413,outandin
2,447,outandin
2,675,outandin
2,717,outandin
25,64,outandin
25,74,outandin
25,251,outandin
25,277,outandin
25,332,outandin
25,382,outandin
25,447,outandin
25,470,outandin
25,526,outgoing
25,586,outandin
213,52,outandin
213,215,outandin
213,284,outandin
213,288,outandin
213,296,outandin
213,311,outandin
213,330,outgoing
213,634,outandin
251,5,outandin
251,86,outandin
251,215,outandin
251,316,outandin
251,352,outandin
251,363,outandin
251,413,outandin
251,457,outandin
251,602,outandin
251,634,outgoing
251,716,outandin
251,728,outandin
280,39,outandin
280,196,outandin
280,311,outandin
280,330,outandin
280,382,outandin
280,426,outandin
280,514,outgoing
280,642,outandin
280,716,outandin
280,720,outandin
280,734,outandin
293,186,outandin
293,288,outandin
293,296,outandin
293,328,outandin
293,359,outandin
293,376,outandin
293,382,stable
293,470,outandin
293,514,incoming
293,550,outandin
293,634,outandin
349,39,outandin
349,86,outandin
349,225,outandin
349,257,outandin
349,602,outandin
349,717,outandin
349,734,outandin
413,18,incoming
413,288,incoming
413,441,outandin
413,532,outandin
413,589,outandin
413,595,outandin
413,624,outandin
413,630,outandin
413,717,outandin
413,720,outandin
413,726,outandin
447,16,outandin
447,58,stable
447,128,incoming
447,257,outandin
447,263,outandin
447,382,outandin
447,526,outandin
447,529,outandin
447,671,outandin
447,717,outandin
675,46,outandin
675,227,outandin
675,597,outandin
675,650,outgoing
675,659,incoming
675,660,outandin
675,683,outandin
675,684,incoming
675,688,outandin
675,691,outandin
