node,centrality,community,density,eign,betwness,closeness,volatility,name,type,anchor_name
164,7,0,0.1536098310291858,0.0285051222938588,0.0006022044552428,0.298158287705326,0.0,Team_00#164,incoming,Team_00
439,7,0,0.1536098310291858,0.026039748903506,0.0011867220463816,0.2940598919980363,0.0,Team_00#439,incoming,Team_00
539,7,0,0.1536098310291858,0.027236250806106,0.0011078153875922,0.2978617603182496,0.6666666666666666,Team_00#539,outandin,Team_00
54,8,0,0.1536098310291858,0.0354654447688304,0.0009535210661856,0.2909179213210296,0.3333333333333333,Team_00#54,incoming,Team_00
216,8,0,0.1536098310291858,0.0250220091545146,0.0023736594187504,0.2946384653221839,0.3333333333333333,Team_00#216,incoming,Team_00
284,8,0,0.1536098310291858,0.0367185472511689,0.000206282926007,0.2833491012298959,0.3333333333333333,Team_00#284,incoming,Team_00
431,8,0,0.1536098310291858,0.0327872939391913,0.0009966334506171,0.3004012036108325,0.0,Team_00#431,incoming,Team_00
593,8,0,0.1536098310291858,0.0300743745400449,0.0004688869417408,0.2863288718929254,0.0,Team_00#593,incoming,Team_00
1,9,0,0.1536098310291858,0.0378956332770628,0.0005997417147237,0.2956564659427443,0.0,Team_00#1,incoming,Team_00
80,9,0,0.1536098310291858,0.0335268121612994,0.002754842251759,0.2965346534653465,0.0,Team_00#80,incoming,Team_00
422,9,0,0.1536098310291858,0.0287064886930045,0.0062466635882487,0.3146008403361344,0.0,Team_00#422,incoming,Team_00
445,9,0,0.1536098310291858,0.0345423501546374,0.0021751733254221,0.3010050251256281,0.0,Team_00#445,incoming,Team_00
455,9,0,0.1536098310291858,0.0364485169185005,0.0031511990951031,0.3131207527443805,1.0,Team_00#455,incoming,Team_00
488,9,0,0.1536098310291858,0.0353786809726456,0.0016622382164119,0.3042153377348908,0.0,Team_00#488,incoming,Team_00
562,9,0,0.1536098310291858,0.0303511236407619,0.0021041494636425,0.3004012036108325,0.0,Team_00#562,incoming,Team_00
182,10,0,0.1536098310291858,0.0386201789166653,0.0029409136600453,0.310523587350959,0.6666666666666666,Team_00#182,incoming,Team_00
193,10,0,0.1536098310291858,0.0402901926211407,0.001214575408385,0.3060807358201328,0.0,Team_00#193,incoming,Team_00
294,10,0,0.1536098310291858,0.0347452953755385,0.0013377739332672,0.3028311425682508,0.0,Team_00#294,incoming,Team_00
346,10,0,0.1536098310291858,0.0367617695225616,0.0022412783487821,0.304369918699187,0.0,Team_00#346,incoming,Team_00
487,10,0,0.1536098310291858,0.0404185161197554,0.0023788644740805,0.304989816700611,0.0,Team_00#487,incoming,Team_00
513,10,0,0.1536098310291858,0.0434968903642174,0.000857256644418,0.3014594866633115,0.3333333333333333,Team_00#513,outandin,Team_00
557,10,0,0.1536098310291858,0.0426170372138053,0.0013371645160205,0.3082861554297478,0.6666666666666666,Team_00#557,incoming,Team_00
22,11,0,0.1536098310291858,0.0399075638754427,0.0057063346070189,0.3192963752665245,0.0,Team_00#22,incoming,Team_00
105,11,0,0.1536098310291858,0.0467325348065096,0.002669890993319,0.3068647540983606,0.0,Team_00#105,incoming,Team_00
212,11,0,0.1536098310291858,0.0429598907100362,0.0037125967457691,0.3142707240293809,0.0,Team_00#212,incoming,Team_00
224,11,0,0.1536098310291858,0.0424758204319906,0.0021904999824007,0.3053007135575943,0.0,Team_00#224,incoming,Team_00
