source,target,type
0,2,outandin
0,28,outandin
0,50,outandin
0,156,outandin
0,166,outandin
0,320,outandin
0,360,outandin
0,435,outandin
0,440,outgoing
0,472,outandin
0,646,outgoing
0,732,outandin
0,762,outandin
2,3,outandin
2,424,outandin
2,467,outandin
2,472,outandin
2,543,outandin
2,613,outandin
2,674,outandin
2,702,outandin
2,776,outandin
28,8,outandin
28,87,outandin
28,89,outandin
28,110,outandin
28,190,outandin
28,201,outandin
28,229,outandin
28,467,outandin
28,586,outandin
28,602,outandin
28,674,outandin
28,703,outandin
28,767,outandin
50,97,outandin
50,143,outandin
50,176,outgoing
50,200,outandin
50,204,outandin
50,240,outandin
50,406,outandin
50,415,outandin
50,469,outandin
50,511,outandin
50,546,outandin
156,337,outandin
156,358,outandin
156,395,outandin
156,494,outandin
156,544,outandin
156,590,outandin
156,646,outandin
156,658,outandin
156,762,outandin
166,283,outandin
166,323,outandin
166,393,outandin
166,472,outandin
166,611,outandin
166,622,outandin
166,663,outgoing
166,771,outandin
166,777,outandin
320,128,outandin
320,192,outandin
320,256,outandin
320,341,outandin
320,448,outandin
320,463,outandin
320,585,outandin
320,633,outandin
320,675,outandin
320,679,outandin
320,688,outandin
320,774,outandin
360,66,outandin
360,201,outandin
360,346,outandin
360,440,outandin
360,500,outandin
360,543,outandin
360,571,outandin
360,646,outandin
360,658,outandin
360,666,outandin
360,669,outandin
360,705,outandin
360,787,outandin
435,229,outandin
435,245,outandin
435,426,outandin
435,447,outandin
435,463,outandin
435,467,outandin
435,543,outandin
435,586,outandin
435,631,outandin
435,646,outandin
435,658,outandin
435,767,outandin
435,777,outandin
435,787,outandin
440,87,outgoing
440,247,outandin
440,292,outandin
440,304,outandin
440,323,outandin
440,383,outandin
440,387,outandin
440,590,outandin
440,605,outgoing
440,622,outandin
440,663,outandin
440,665,outandin
440,772,outandin
440,776,outandin
472,8,outandin
472,227,outandin
472,235,outandin
472,400,outandin
472,590,outgoing
472,602,outandin
472,641,outandin
472,767,outandin
472,777,outandin
646,120,outandin
646,576,outandin
646,674,outandin
646,783,outandin
646,787,outandin
732,321,outandin
732,346,outandin
732,663,outandin
732,691,outandin
732,697,outandin
732,704,outandin
732,715,outandin
732,722,outandin
732,787,outandin
762,66,outandin
762,165,outandin
762,201,outandin
762,261,outandin
762,383,outandin
762,590,outandin
762,613,outandin
762,622,outandin
762,663,outandin
762,772,outandin
762,776,outandin
1,118,outandin
1,444,outandin
1,526,outandin
1,530,outandin
1,544,outandin
1,562,outgoing
1,642,outandin
1,699,outandin
1,756,outandin
1,760,outandin
118,55,outandin
118,439,outandin
118,487,outandin
118,495,outgoing
118,509,outgoing
118,562,outandin
118,756,outandin
118,778,outandin
444,31,outandin
444,113,outandin
444,204,outandin
444,251,outandin
444,253,outgoing
444,395,outandin
444,469,outandin
444,489,outgoing
444,511,outandin
444,524,outandin
444,751,outandin
526,25,outandin
526,145,outandin
526,202,outandin
526,212,outgoing
526,300,outandin
526,412,outandin
526,468,outgoing
526,510,outandin
526,530,outandin
526,562,outandin
530,55,outandin
530,105,outandin
530,193,outandin
530,212,outandin
530,246,outandin
530,273,outandin
530,294,outandin
530,514,outandin
530,593,outandin
530,677,outandin
530,770,outandin
544,193,outandin
544,224,outandin
544,412,outandin
544,616,outandin
544,644,outandin
544,677,outandin
544,784,outandin
544,791,outandin
562,105,outandin
562,294,outandin
562,389,outandin
562,439,outandin
562,503,outandin
562,557,outandin
562,593,outandin
562,640,outgoing
562,648,outandin
642,74,outandin
642,92,outandin
642,137,outandin
642,198,outandin
642,222,outandin
642,231,outgoing
642,336,outandin
642,379,outandin
642,671,outandin
699,233,outandin
699,689,outandin
699,691,outandin
699,710,outandin
699,718,outandin
699,723,outandin
699,729,outandin
699,734,outandin
699,738,outandin
699,739,outandin
699,744,outandin
699,746,outandin
699,767,outandin
756,129,outandin
756,145,outandin
756,436,outandin
756,468,outandin
756,509,outandin
756,540,outandin
756,623,outandin
756,624,outandin
756,640,outandin
756,644,outandin
756,713,outandin
760,100,outandin
760,273,outandin
760,290,outandin
760,346,outandin
760,362,outandin
760,503,outandin
760,624,outandin
760,641,outandin
3,24,outandin
3,58,outandin
3,85,outgoing
3,99,outandin
3,223,outandin
3,263,outandin
3,292,outandin
3,370,outandin
3,423,outandin
3,448,outandin
3,769,outandin
424,76,outandin
424,245,outandin
424,337,outandin
424,443,outandin
424,479,outandin
424,588,outgoing
424,633,outandin
424,676,outandin
424,767,outandin
467,76,outgoing
467,84,outandin
467,235,outandin
467,245,outandin
467,304,outandin
467,319,outandin
467,358,outgoing
467,494,outandin
467,636,outandin
543,66,outandin
543,76,outandin
543,87,outandin
543,190,outandin
543,227,outandin
543,245,outgoing
543,247,outandin
543,430,outandin
543,602,outandin
543,629,outandin
543,641,outandin
543,663,outandin
613,77,outandin
613,283,outandin
613,428,outandin
613,520,outandin
613,577,outandin
613,588,outandin
613,770,outandin
674,84,outandin
674,89,outandin
674,178,outandin
674,229,outandin
674,245,outandin
674,447,outandin
674,590,outandin
674,622,outandin
674,629,outandin
674,630,outandin
702,43,outandin
702,354,outandin
