node,centrality,community,density,eign,betwness,closeness,volatility,name,type,anchor_name
225,6,0,0.1375291375291375,0.0307141111610885,0.0002088573542404,0.2862669245647969,0.0,User_225,stable,
93,7,0,0.1375291375291375,0.0291146995750883,0.0022158951567944,0.3008130081300813,0.0,User_93,stable,
97,8,0,0.1375291375291375,0.0297032446435921,0.0017290449064281,0.2970396387355745,0.0,User_97,stable,
336,8,0,0.1375291375291375,0.0256223627812866,0.0023722805621812,0.2952618453865336,0.0,User_336,stable,
474,8,0,0.1375291375291375,0.0310656274835043,0.0023786445566834,0.3037455105182144,0.0,User_474,stable,
484,8,0,0.1375291375291375,0.0385857365296984,0.0019375036386067,0.3191374663072776,0.0,User_484,stable,
555,8,0,0.1375291375291375,0.0291317083971441,0.0023912981236507,0.30546955624355,0.0,User_555,stable,
622,8,0,0.1375291375291375,0.0262782964679813,0.0009193015850713,0.2936507936507936,0.3333333333333333,User_622,stable,
45,9,0,0.1375291375291375,0.033358625365799,0.0019228224139864,0.3128964059196617,0.0,User_45,stable,
48,9,0,0.1375291375291375,0.0391045177388035,0.0032372520238656,0.3061013443640124,0.0,User_48,stable,
285,9,0,0.1375291375291375,0.0440061643191265,0.0018538450772007,0.3101100052383447,0.3333333333333333,User_285,stable,
381,9,0,0.1375291375291375,0.0434193760502103,0.0026560746334543,0.3125659978880676,0.0,User_381,stable,
559,9,0,0.1375291375291375,0.0354152104617308,0.0012940455898987,0.3165775401069519,0.0,User_559,stable,
595,9,0,0.1375291375291375,0.0336029869526104,0.0035793379399677,0.3037455105182144,0.0,User_595,stable,
596,9,0,0.1375291375291375,0.0335455840243839,0.0019565468964094,0.3150612027674295,0.0,User_596,stable,
16,10,0,0.1375291375291375,0.0328173228588275,0.0034286495125932,0.3194819212088505,0.0,User_16,stable,
32,10,0,0.1375291375291375,0.0329943282794788,0.0034714051455746,0.3119072708113804,0.0,User_32,stable,
63,10,0,0.1375291375291375,0.0322788570629866,0.0035759292372463,0.3157333333333333,0.6666666666666666,User_63,incoming,
