source,target,type
0,10,outandin
0,49,outandin
0,63,outandin
0,97,incoming
0,215,outandin
0,221,outandin
0,229,outandin
0,232,outandin
0,260,outandin
0,423,outgoing
0,622,outgoing
10,7,outandin
10,63,outandin
10,134,outandin
10,185,outandin
10,257,outandin
10,269,outandin
10,320,outandin
10,336,incoming
10,339,outgoing
10,474,outgoing
10,505,outandin
10,589,outandin
49,33,outandin
49,45,outandin
49,108,outandin
49,224,outandin
49,229,outandin
49,277,incoming
49,298,outandin
49,321,outandin
49,377,incoming
49,394,outandin
49,439,outandin
49,462,incoming
49,497,outandin
49,601,outandin
49,604,outgoing
63,45,outandin
63,132,outandin
63,291,outandin
63,435,outandin
63,473,outandin
63,528,outandin
63,559,outandin
63,622,outandin
97,81,stable
97,178,outgoing
97,217,outandin
97,269,outandin
97,274,outandin
97,501,outandin
97,595,outandin
215,134,stable
215,172,outandin
215,237,incoming
215,347,outandin
215,358,outandin
215,367,outandin
215,410,outgoing
215,501,outandin
215,505,outgoing
215,513,outandin
215,600,outandin
221,15,outandin
221,32,outandin
221,123,incoming
221,181,outandin
221,228,outandin
221,235,outandin
221,247,outandin
221,260,incoming
221,278,outandin
221,430,incoming
221,505,outgoing
229,22,outandin
229,69,outandin
229,85,outandin
229,90,outandin
229,130,outandin
229,183,outandin
229,268,outandin
229,303,outandin
229,359,outandin
229,366,outgoing
229,429,outandin
229,506,outandin
229,532,outandin
229,621,outandin
232,1,outgoing
232,25,outandin
232,72,outandin
232,98,outandin
232,240,incoming
232,251,outandin
232,305,outandin
232,383,outgoing
232,448,outandin
232,531,outandin
232,554,outandin
260,21,outandin
260,45,outandin
260,111,outandin
260,178,outandin
260,185,incoming
260,231,outandin
260,235,incoming
260,378,outandin
260,464,outandin
260,513,outandin
260,537,outandin
423,15,outandin
423,31,outandin
423,81,outgoing
423,178,outandin
423,387,outandin
423,393,outandin
423,413,outgoing
423,528,outandin
423,577,outandin
622,32,incoming
622,171,outandin
622,337,outandin
622,339,outandin
622,347,stable
622,410,outandin
1,8,outgoing
1,59,outgoing
1,64,outandin
1,65,incoming
1,105,incoming
1,236,outandin
1,240,outandin
1,261,incoming
1,358,outgoing
1,461,outandin
1,486,incoming
1,496,outandin
1,504,outandin
1,591,outandin
1,634,outandin
8,3,outandin
8,54,outandin
8,59,outandin
8,169,outandin
8,175,outandin
8,188,outandin
8,251,outgoing
8,332,outandin
8,333,outandin
8,445,outandin
8,569,outandin
8,578,outandin
8,605,outgoing
59,25,incoming
