source,target,type
0,9,outandin
0,18,outgoing
0,98,outandin
0,144,incoming
0,159,outandin
0,186,outandin
0,304,incoming
0,398,outgoing
0,418,outandin
0,656,outandin
0,702,incoming
9,163,outandin
9,169,outandin
9,175,incoming
9,186,outandin
9,306,outgoing
9,460,outandin
9,524,outandin
9,546,outandin
9,621,outandin
18,13,outandin
18,159,incoming
18,163,outandin
18,175,outandin
18,270,outgoing
18,298,outandin
18,501,outgoing
18,621,outgoing
18,682,outandin
18,702,stable
98,144,outandin
98,150,outandin
98,184,outandin
98,224,outandin
98,270,outandin
98,404,outandin
98,501,outgoing
98,553,outandin
98,555,outandin
98,704,outandin
144,33,outandin
144,79,outandin
144,124,outandin
144,186,outandin
144,304,incoming
144,460,outandin
144,515,incoming
144,551,outandin
144,715,outandin
159,105,outandin
159,155,outandin
159,223,outandin
159,270,outgoing
159,306,outandin
159,386,outandin
159,398,outandin
159,492,outandin
159,555,outgoing
159,584,outandin
159,600,outandin
159,704,outandin
186,105,incoming
186,128,outandin
186,335,outandin
186,355,outandin
186,417,outandin
186,424,outandin
186,498,outandin
186,600,outandin
186,606,outandin
304,13,outandin
304,147,outandin
304,217,outandin
304,255,outandin
304,285,outgoing
304,317,incoming
304,355,outandin
304,362,outgoing
304,424,outandin
304,520,outgoing
304,532,outandin
304,586,outandin
304,621,outandin
304,696,outandin
304,702,outandin
398,147,outandin
398,404,outandin
398,492,outandin
398,520,outgoing
398,706,outgoing
398,722,outandin
398,723,outandin
418,29,outandin
418,116,outandin
418,177,outgoing
418,292,outandin
418,293,outandin
418,310,outandin
418,353,outandin
418,385,outandin
418,458,outandin
418,463,outgoing
418,502,outandin
418,608,outandin
656,234,outandin
656,626,outandin
656,629,outandin
656,642,outandin
656,649,outandin
656,651,outandin
656,661,outandin
656,662,outgoing
656,667,outandin
702,224,incoming
702,417,outandin
702,520,outandin
702,545,outandin
702,584,outgoing
702,621,outgoing
3,19,incoming
3,167,stable
3,270,outandin
3,322,outandin
3,432,outandin
3,473,outandin
3,666,outandin
3,703,outandin
3,723,outandin
19,16,outandin
19,72,incoming
19,110,outandin
19,359,outandin
19,455,outandin
19,456,outgoing
19,563,outandin
19,596,outandin
167,41,outandin
167,71,outandin
167,126,outandin
167,127,outandin
167,187,outandin
167,234,outgoing
167,455,incoming
167,560,outandin
167,599,incoming
270,13,outandin
270,124,incoming
270,224,incoming
270,412,outgoing
270,423,outandin
270,501,outandin
270,532,outandin
270,584,outandin
270,598,outandin
322,71,outandin
322,234,outandin
322,255,outgoing
322,348,outandin
322,380,outandin
322,432,outandin
322,473,incoming
322,484,outandin
322,709,outandin
432,38,outandin
432,41,stable
432,72,outgoing
432,237,outandin
432,243,outandin
432,534,outandin
432,694,outgoing
432,703,outandin
432,723,outandin
473,45,outandin
473,71,stable
473,264,outandin
473,271,outgoing
473,392,outandin
473,526,outandin
473,556,outandin
473,657,outandin
473,694,outandin
473,723,incoming
666,626,outandin
666,632,outandin
666,635,outandin
666,636,outandin
666,637,stable
666,638,outandin
666,639,outgoing
666,644,outandin
666,645,outandin
666,659,outandin
666,672,outandin
703,21,outandin
703,40,outandin
703,132,outandin
703,206,outandin
703,329,outgoing
703,456,incoming
703,468,outandin
703,484,outandin
703,505,outandin
703,556,outandin
703,560,outandin
703,650,outandin
723,40,outandin
723,200,outandin
723,206,outandin
723,328,outandin
723,392,outandin
723,444,outandin
723,456,incoming
723,463,outandin
4,81,outandin
4,82,outandin
4,109,outandin
4,313,outandin
4,428,outandin
4,509,outandin
4,513,outandin
4,528,outandin
4,678,outandin
4,685,outandin
4,690,outandin
81,69,outandin
81,121,outandin
81,346,outandin
81,393,outandin
81,425,outandin
81,468,outandin
81,513,outandin
81,685,outandin
82,66,outandin
82,67,outandin
82,95,outandin
82,303,outandin
82,316,outandin
82,405,outgoing
82,406,outandin
82,487,outgoing
82,523,outandin
82,604,outgoing
82,685,outandin
109,41,outandin
109,116,outandin
109,162,incoming
109,275,outandin
109,385,outandin
109,388,outandin
109,463,outandin
109,502,outandin
109,582,outgoing
313,259,outandin
313,302,outandin
313,337,outandin
313,373,outandin
313,413,outandin
313,497,outandin
313,528,outandin
313,590,outgoing
313,591,outandin
428,220,incoming
428,391,incoming
428,408,outandin
428,486,outandin
428,583,outandin
428,695,outandin
428,717,outandin
509,11,outandin
509,58,outandin
509,262,outandin
509,267,outandin
509,312,outandin
509,331,outgoing
509,406,outgoing
509,472,outandin
509,478,outandin
509,496,outandin
509,497,outandin
509,533,outandin
509,580,outandin
509,596,outandin
509,678,outandin
513,48,outandin
513,61,outandin
513,205,outandin
513,331,outandin
513,486,outandin
513,497,outandin
513,500,outandin
513,528,outgoing
513,675,outgoing
513,717,incoming
513,718,outandin
528,69,outandin
528,169,outandin
528,290,outandin
528,327,outgoing
528,382,outandin
528,422,outandin
528,604,outandin
528,621,outandin
528,633,outandin
528,697,outandin
678,95,outandin
678,117,outandin
678,198,outandin
678,237,incoming
678,297,outandin
678,370,outandin
678,449,outandin
678,522,outandin
678,580,outandin
678,687,outandin
685,121,outandin
685,170,outandin
685,184,outandin
685,205,outandin
685,259,outgoing
685,354,outandin
685,382,outandin
685,425,outandin
685,459,outandin
685,521,incoming
690,8,outandin
690,97,outandin
690,130,outandin
690,133,outandin
690,545,outandin
690,596,outandin
690,684,outandin
690,727,outandin
5,11,outandin
5,54,outandin
5,262,outandin
5,290,outandin
5,373,incoming
5,401,outandin
5,488,outandin
5,499,outandin
5,596,outandin
5,633,outandin
11,58,outandin
11,126,outandin
11,133,outandin
11,177,outandin
11,193,incoming
11,198,outandin
11,205,outandin
11,222,outandin
11,290,outandin
11,354,outandin
11,449,outandin
11,604,outandin
54,57,outandin
