node,centrality,community,density,eign,betwness,closeness,volatility,name,type,anchor_name
527,6,0,0.1530054644808743,0.0272279739458432,0.0005123435426845,0.2985375693393847,0.0,User_527,stable,
217,7,0,0.1530054644808743,0.0228010549398508,0.0029134457090502,0.3009659379766141,0.0,User_217,stable,
447,7,0,0.1530054644808743,0.0202821753938793,0.0017452987384788,0.2982367758186398,0.0,User_447,stable,
198,8,0,0.1530054644808743,0.0278815155113811,0.0014645140601774,0.2995951417004048,0.0,User_198,stable,
262,8,0,0.1530054644808743,0.0288386048778368,0.0005966773692909,0.2865440464666021,0.0,User_262,stable,
288,8,0,0.1530054644808743,0.0348253519149874,0.0005094424377524,0.3025038323965253,0.0,User_288,stable,
205,9,0,0.1530054644808743,0.0324496141379591,0.0014784990847628,0.3002028397565923,0.0,User_205,stable,
226,9,0,0.1530054644808743,0.0259462816637415,0.0070185739135571,0.317937701396348,0.0,User_226,stable,
261,9,0,0.1530054644808743,0.0294258310402491,0.0013636260830352,0.306576903158985,0.0,User_261,stable,
639,9,0,0.1530054644808743,0.0297213587358934,0.0038602885079927,0.3152289669861555,1.0,User_639,outandin,
105,10,0,0.1530054644808743,0.0341205641927354,0.0066342555159771,0.3172561629153269,0.25,User_105,stable,
152,10,0,0.1530054644808743,0.0417641100756702,0.001896579853204,0.3127311146328579,0.0,User_152,stable,
161,10,0,0.1530054644808743,0.0349389877773114,0.0008310596647756,0.2936507936507936,0.0,User_161,stable,
186,10,0,0.1530054644808743,0.0411977564395078,0.000759175228632,0.3042137718396711,0.25,User_186,stable,
271,10,0,0.1530054644808743,0.0351916162597333,0.0007493426007155,0.2893450635386119,0.25,User_271,stable,
331,10,0,0.1530054644808743,0.0379904802588799,0.0053683396147908,0.3215643671917436,0.0,User_331,stable,
348,10,0,0.1530054644808743,0.0394821179262834,0.0014923054236793,0.3075324675324675,0.0,User_348,stable,
380,10,0,0.1530054644808743,0.0413151220175453,0.0026155466251256,0.3160704751735184,0.5,User_380,outgoing,
384,10,0,0.1530054644808743,0.033840948128165,0.0022342676131343,0.3104352385946513,0.0,User_384,stable,
397,10,0,0.1530054644808743,0.0391850519792184,0.0020274496668047,0.3117430226434965,0.0,User_397,stable,
406,10,0,0.1530054644808743,0.036737015881608,0.0010485634958846,0.3046834791559444,0.0,User_406,stable,
496,10,0,0.1530054644808743,0.0399778128397391,0.0003384143421226,0.2948207171314741,0.0,User_496,stable,
512,10,0,0.1530054644808743,0.0307399526743251,0.0023300024232722,0.3165775401069519,0.0,User_512,stable,
552,10,0,0.1530054644808743,0.0379054942244519,0.0014988343979173,0.3025038323965253,0.0,User_552,stable,
7,11,0,0.1530054644808743,0.041027758016568,0.0047508951391404,0.3213897937024972,0.0,User_7,stable,
61,11,0,0.1530054644808743,0.0484176748599634,0.0006113698935214,0.3049974240082432,0.0,User_61,stable,
265,11,0,0.1530054644808743,0.0454280678579692,0.002044215355539,0.310761154855643,0.0,User_265,stable,
295,11,0,0.1530054644808743,0.0436078110619681,0.001914774908844,0.3037455105182144,0.0,User_295,stable,
354,11,0,0.1530054644808743,0.043466866205649,0.0037977581387415,0.3091383812010443,0.25,User_354,outgoing,
416,11,0,0.1530054644808743,0.0429026272122779,0.0005689178037264,0.298838970217062,0.0,User_416,stable,
443,11,0,0.1530054644808743,0.0373095995324198,0.0039530314992609,0.3112513144058885,0.0,User_443,stable,
560,11,0,0.1530054644808743,0.0382136055124666,0.006779654251808,0.3245614035087719,0.0,User_560,stable,
565,11,0,0.1530054644808743,0.0561861321409437,0.0042127737210395,0.3307262569832402,0.0,User_565,stable,
596,11,0,0.1530054644808743,0.0350062777964883,0.0054540560409434,0.3142250530785562,0.0,User_596,stable,
137,12,0,0.1530054644808743,0.0543360826164917,0.0067283789550286,0.3238512035010941,0.25,User_137,outgoing,
256,12,0,0.1530054644808743,0.0387604267535135,0.0030908839810331,0.3094615786722425,0.0,User_256,stable,
352,12,0,0.1530054644808743,0.0369826269742139,0.0035432905802004,0.3236741388737015,0.0,User_352,stable,
549,12,0,0.1530054644808743,0.040031123862451,0.0025631381020478,0.3078523140925637,0.0,User_549,stable,
622,12,0,0.1530054644808743,0.0463606514624672,0.0033579250488578,0.3157333333333333,0.25,User_622,stable,
0,13,0,0.1530054644808743,0.0471653200750777,0.0029616600243973,0.3160704751735184,0.0,User_0,stable,
58,13,0,0.1530054644808743,0.0528982590928983,0.0030386043023848,0.3109243697478991,0.0,User_58,stable,
71,13,0,0.1530054644808743,0.0445601779264145,0.0030669969516008,0.3135593220338983,0.0,User_71,stable,
87,13,0,0.1530054644808743,0.0482384978501309,0.0066968500598994,0.3340857787810384,0.0,User_87,stable,
143,13,0,0.1530054644808743,0.0434653650713404,0.0019146442907334,0.3101100052383447,0.0,User_143,stable,
149,13,0,0.1530054644808743,0.0476505222776502,0.0044388630998101,0.3249176728869374,0.0,User_149,stable,
194,13,0,0.1530054644808743,0.0504668073633206,0.0055122182526778,0.3301728945900725,0.25,User_194,stable,
335,13,0,0.1530054644808743,0.044448223616172,0.0045895733336388,0.3224400871459695,0.0,User_335,stable,
340,13,0,0.1530054644808743,0.0486903854769031,0.0037203600769656,0.3316526610644257,0.0,User_340,stable,
393,13,0,0.1530054644808743,0.0430339286571053,0.0028948699248889,0.3203463203463203,0.0,User_393,stable,
497,13,0,0.1530054644808743,0.0463664766673491,0.0042988681499612,0.3229678123295144,0.0,User_497,stable,
