source,target,type
0,132,outgoing
0,217,outandin
0,261,outgoing
0,295,outandin
0,304,outandin
0,324,outandin
0,383,outandin
0,455,outandin
0,497,outandin
0,527,outandin
0,622,outandin
0,645,outandin
0,674,outgoing
0,681,outandin
132,143,outandin
132,161,outandin
132,289,outandin
132,324,outandin
132,341,outandin
132,384,outandin
132,406,outandin
132,410,outandin
132,496,outandin
217,161,outandin
217,198,outandin
217,226,outandin
217,369,outandin
217,384,outandin
217,393,outandin
217,601,outandin
217,645,outandin
261,7,outgoing
261,87,outandin
261,94,outandin
261,134,outandin
261,161,outandin
261,288,outgoing
261,324,outandin
261,340,outandin
261,393,outandin
261,416,outandin
261,496,outandin
261,512,outandin
261,645,outandin
261,712,outandin
295,9,outandin
295,71,outandin
295,313,outandin
295,324,outandin
295,383,outandin
295,497,outandin
295,527,outandin
304,53,outandin
304,71,outandin
304,205,outandin
304,226,outandin
304,237,outandin
304,288,outandin
304,384,outandin
304,443,outandin
304,535,outandin
304,560,outandin
304,565,outandin
304,601,outandin
304,675,outandin
324,152,outandin
324,198,outgoing
324,313,outandin
324,447,outandin
324,565,outandin
383,87,outandin
383,180,outandin
383,226,outandin
383,326,outandin
383,348,outandin
383,396,outandin
383,660,outgoing
383,697,outandin
455,34,outandin
455,155,outandin
455,290,outandin
455,393,outandin
455,454,outandin
455,571,outandin
455,632,outandin
455,740,outandin
497,7,outandin
497,61,outandin
497,143,outandin
497,340,outandin
497,352,outandin
497,586,outandin
497,601,outandin
497,644,outandin
527,149,outandin
527,313,outandin
527,352,outandin
527,370,outandin
527,496,outandin
527,512,outandin
527,705,outandin
622,7,outandin
622,82,outandin
622,112,outandin
622,143,outandin
622,152,outandin
622,265,outandin
622,410,outandin
622,608,outandin
645,143,outandin
645,335,outandin
645,380,outandin
645,384,outandin
645,393,outandin
645,397,outandin
645,410,outandin
645,416,outandin
645,496,outandin
645,674,outgoing
674,7,outgoing
674,9,outandin
674,198,outandin
674,262,outandin
674,335,outandin
674,496,outandin
674,549,outandin
674,675,outandin
681,7,outandin
681,149,outandin
681,331,outandin
681,340,outandin
681,392,outandin
681,397,outandin
681,552,outandin
681,560,outandin
681,660,outandin
2,30,outandin
2,77,outandin
2,100,outandin
2,101,outandin
2,170,outandin
2,184,outandin
2,358,outandin
2,385,outandin
2,541,outandin
2,591,outandin
2,632,outandin
30,49,outandin
30,52,outandin
30,184,outgoing
30,263,outandin
30,305,outandin
30,333,outandin
30,382,outandin
30,445,outandin
30,547,outandin
30,571,outandin
30,648,outandin
30,687,outandin
30,709,outandin
77,8,outgoing
77,126,outandin
77,129,outandin
77,140,outandin
77,246,outandin
77,300,outandin
77,308,outandin
77,391,outandin
77,421,outandin
77,463,outgoing
77,582,outandin
77,594,outgoing
77,644,outandin
100,101,outandin
100,162,outgoing
100,325,outandin
100,346,outandin
100,350,outandin
100,390,outandin
100,430,outandin
100,470,outgoing
100,478,outandin
100,597,outgoing
100,599,outandin
100,734,outandin
101,84,outandin
101,274,outandin
101,333,outandin
101,407,outandin
101,465,outandin
101,474,outandin
101,478,outandin
101,503,outandin
101,511,outandin
101,580,outandin
101,625,outandin
101,637,outandin
101,648,outandin
170,120,outandin
170,136,outandin
170,282,outandin
170,548,outandin
170,635,outandin
170,654,outandin
184,26,outandin
184,128,outandin
184,362,outgoing
184,407,outandin
184,437,outandin
184,454,outandin
184,551,outandin
184,599,outandin
184,614,outandin
358,15,outandin
358,93,outandin
358,407,outandin
358,456,outandin
358,511,outandin
358,621,outandin
358,652,outandin
358,654,outandin
358,687,outandin
358,730,outandin
385,90,outandin
385,183,outandin
385,241,outandin
385,305,outandin
385,333,outandin
385,349,outandin
385,350,outandin
385,603,outandin
385,648,outandin
385,664,outandin
541,55,outandin
541,94,outandin
541,125,outandin
541,168,outandin
541,232,outandin
541,287,outgoing
541,329,outandin
541,343,outandin
541,427,outandin
541,446,outandin
541,666,outandin
541,733,outandin
591,15,outandin
591,34,outandin
591,136,outgoing
591,171,outandin
591,276,outandin
591,378,outandin
591,500,outandin
591,523,outandin
591,658,outandin
632,79,outgoing
632,320,outandin
632,364,outandin
632,395,outgoing
632,590,outandin
632,595,outandin
632,600,outandin
632,736,outandin
632,738,outandin
3,55,outandin
3,94,outandin
3,158,outandin
3,229,outandin
3,232,outandin
3,332,outandin
3,351,outandin
3,371,outandin
3,423,outandin
3,468,outgoing
3,501,outandin
3,533,outandin
3,551,outandin
3,666,outandin
3,717,outandin
55,5,outandin
55,49,outandin
55,65,outandin
55,94,outandin
55,133,outgoing
55,182,outandin
55,195,outandin
55,413,outgoing
55,423,outandin
55,506,outandin
55,536,outgoing
55,587,outandin
55,726,outandin
94,49,outandin
94,283,outgoing
94,343,outandin
94,399,outandin
94,402,outgoing
94,415,outandin
94,537,outandin
94,553,outandin
94,624,outandin
94,685,outandin
94,699,outandin
94,724,outandin
158,151,outandin
158,577,outandin
158,602,outandin
158,723,outandin
158,725,outandin
229,49,outgoing
229,112,outandin
229,134,outgoing
229,168,outandin
229,247,outandin
229,315,outandin
229,351,outandin
229,415,outandin
229,533,outandin
229,537,outandin
232,133,outandin
232,224,outgoing
232,264,outandin
232,423,outandin
232,468,outandin
232,511,outandin
232,553,outandin
332,20,outandin
332,31,outandin
332,249,outandin
332,308,outandin
332,346,outandin
332,537,outandin
332,561,outandin
332,743,outandin
351,197,outandin
351,415,outandin
351,429,outandin
351,473,outgoing
351,508,outandin
351,519,outandin
351,732,outandin
371,5,outandin
371,49,outandin
371,71,outandin
371,95,outandin
371,120,outandin
371,133,outgoing
371,176,outandin
371,218,outandin
371,254,outandin
371,343,outandin
371,456,outandin
371,554,outandin
371,555,outandin
423,152,outandin
423,249,outandin
423,251,outgoing
423,402,outandin
423,426,outandin
423,524,outandin
423,666,outandin
423,668,outandin
468,76,outandin
468,91,outgoing
468,125,outandin
468,246,outandin
468,266,outandin
468,287,outandin
468,506,outandin
468,557,outandin
468,726,outandin
501,5,outandin
501,91,outandin
501,125,outandin
501,133,outandin
501,251,outandin
501,315,outandin
501,343,outandin
501,506,outandin
501,605,outandin
501,666,outandin
501,724,outandin
533,76,outandin
533,370,outandin
533,443,outandin
533,446,outgoing
533,518,outandin
533,554,outandin
533,587,outandin
533,605,outandin
533,724,outandin
551,32,outandin
551,135,outandin
551,183,outandin
551,201,outandin
551,359,outandin
551,430,outandin
551,470,outandin
551,592,outandin
551,730,outandin
666,91,outandin
666,195,outandin
666,305,outandin
666,315,outandin
666,429,outandin
666,510,outandin
717,676,outandin
717,691,outandin
717,696,outandin
717,707,outandin
717,708,outandin
717,709,outandin
717,714,outandin
717,718,outandin
4,38,outgoing
4,128,outgoing
4,200,outandin
4,327,outandin
4,336,outandin
4,471,outgoing
4,528,outandin
4,544,outandin
4,573,outgoing
4,636,outgoing
38,180,outgoing
38,199,outandin
38,255,outandin
38,267,outandin
38,301,outgoing
38,426,outgoing
38,452,outgoing
38,499,outandin
38,509,outgoing
38,588,outandin
128,180,outandin
128,199,outandin
128,202,outandin
128,301,outandin
128,315,outandin
128,336,outandin
128,426,outandin
128,471,outandin
128,568,outandin
200,13,outandin
200,165,outandin
200,215,outandin
200,255,outandin
200,275,outgoing
200,386,outandin
200,399,outandin
200,471,outandin
200,509,outandin
200,528,outandin
200,607,outandin
200,630,outgoing
327,13,outandin
327,180,outandin
327,199,outandin
327,240,outandin
327,255,outgoing
327,301,outandin
327,336,outandin
327,452,outgoing
327,471,outandin
327,528,outandin
327,573,outandin
327,630,outgoing
336,202,outandin
336,386,outandin
336,509,outandin
336,636,outandin
471,168,outandin
471,176,outandin
471,180,outandin
471,202,outandin
471,233,outandin
471,341,outandin
471,386,outandin
471,399,outgoing
471,426,outandin
471,452,outandin
471,528,outgoing
528,13,outgoing
528,202,outandin
528,235,outandin
528,267,outandin
528,275,outandin
528,314,outandin
528,452,outandin
528,568,outandin
528,663,outandin
544,15,outandin
544,53,outandin
544,84,outandin
544,106,outandin
544,135,outandin
544,339,outandin
544,413,outandin
544,697,outandin
573,84,outandin
573,199,outandin
573,255,outgoing
573,305,outandin
573,341,outandin
573,386,outandin
573,399,outandin
573,513,outandin
573,636,outandin
636,81,outandin
636,235,outandin
636,386,outandin
636,426,outandin
636,431,outandin
636,499,outgoing
5,76,outandin
5,139,outandin
5,168,outandin
5,218,outgoing
5,268,outandin
5,283,outandin
5,402,outandin
5,446,outandin
5,463,outandin
5,537,outandin
5,607,outandin
5,726,outandin
76,49,outgoing
76,91,outandin
76,266,outgoing
76,287,outandin
76,415,outandin
76,488,outandin
76,536,outandin
76,553,outandin
76,557,outandin
76,724,outandin
139,272,outandin
139,369,outandin
139,485,outandin
139,488,outandin
139,510,outandin
139,517,outandin
139,556,outandin
139,592,outandin
139,610,outandin
139,708,outandin
168,49,outandin
168,224,outgoing
168,240,outandin
168,283,outandin
168,445,outandin
168,689,outandin
218,125,outgoing
218,445,outandin
218,473,outandin
218,508,outandin
218,519,outgoing
218,553,outandin
218,624,outgoing
218,684,outandin
268,28,outgoing
268,56,outandin
268,192,outandin
268,249,outandin
268,273,outgoing
268,466,outandin
268,561,outgoing
268,577,outandin
268,733,outandin
283,65,outandin
283,224,outandin
283,266,outandin
283,339,outandin
283,341,outandin
283,413,outandin
283,508,outandin
283,554,outgoing
283,724,outandin
283,726,outandin
402,51,outandin
402,251,outandin
402,429,outgoing
402,519,outandin
402,557,outandin
402,676,outandin
402,689,outandin
446,112,outandin
446,270,outandin
446,287,outandin
446,415,outandin
446,456,outandin
446,473,outandin
446,647,outandin
463,141,outandin
463,257,outandin
463,394,outandin
463,438,outandin
463,460,outandin
463,491,outandin
463,535,outandin
463,594,outandin
463,612,outandin
463,656,outandin
463,731,outandin
537,176,outandin
537,195,outandin
537,224,outandin
537,248,outandin
537,262,outandin
537,344,outandin
537,452,outandin
537,508,outandin
537,519,outandin
537,587,outandin
537,624,outandin
607,13,outandin
607,20,outandin
607,21,outandin
607,39,outandin
607,102,outgoing
607,147,outandin
607,165,outandin
607,197,outandin
607,307,outandin
607,314,outandin
607,329,outgoing
607,436,outgoing
607,449,outandin
607,635,outandin
607,649,outandin
607,670,outandin
607,740,outandin
726,49,outandin
726,134,outandin
726,182,outandin
726,234,outandin
726,429,outandin
726,605,outandin
726,620,outandin
726,677,outandin
7,265,outandin
7,328,outandin
7,348,outandin
7,352,outandin
7,536,outandin
7,549,outandin
7,596,outandin
7,671,outandin
265,20,outandin
265,149,outandin
265,152,outandin
265,192,outandin
265,256,outandin
265,331,outandin
265,380,outandin
265,410,outandin
265,565,outandin
265,660,outandin
328,62,outandin
328,117,outandin
328,157,outandin
328,280,outandin
328,392,outandin
328,414,outandin
328,461,outandin
328,577,outandin
328,595,outandin
348,152,outandin
348,248,outandin
348,262,outandin
348,340,outandin
348,406,outgoing
348,512,outandin
348,552,outandin
348,671,outandin
352,19,outandin
352,25,outandin
352,149,outandin
352,161,outandin
352,236,outandin
352,331,outandin
352,384,outandin
352,552,outandin
352,565,outandin
352,576,outandin
352,586,outandin
352,601,outandin
352,660,outandin
352,671,outandin
352,689,outandin
536,134,outandin
536,247,outandin
536,445,outandin
536,553,outandin
536,557,outgoing
536,694,outandin
549,32,outandin
549,71,outandin
549,149,outandin
549,397,outandin
549,557,outandin
549,560,outandin
549,565,outandin
549,654,outandin
549,682,outandin
549,727,outandin
596,9,outandin
596,39,outandin
596,61,outandin
596,82,outandin
596,288,outandin
596,520,outandin
596,552,outandin
671,58,outandin
671,226,outandin
671,406,outandin
671,448,outandin
8,41,outgoing
8,78,outandin
8,171,outandin
8,233,outandin
8,475,outandin
8,505,outandin
8,513,outandin
8,525,outandin
8,608,outandin
8,612,outandin
8,667,outandin
41,78,outandin
41,129,outandin
41,300,outgoing
41,347,outandin
41,421,outandin
41,451,outgoing
41,535,outandin
41,667,outandin
41,741,outandin
78,215,outandin
78,394,outandin
78,472,outandin
78,576,outandin
78,612,outandin
78,655,outandin
78,745,outandin
171,48,outandin
171,178,outandin
171,290,outandin
171,367,outgoing
171,369,outgoing
171,400,outandin
171,436,outgoing
171,503,outandin
171,548,outandin
171,559,outandin
171,592,outgoing
171,609,outandin
233,129,outgoing
233,260,outandin
233,345,outandin
233,347,outandin
233,382,outandin
233,391,outandin
233,438,outgoing
233,667,outgoing
475,126,outgoing
475,140,outandin
475,257,outandin
475,260,outgoing
475,330,outandin
475,337,outandin
475,526,outandin
475,644,outandin
475,656,outandin
475,745,outandin
505,34,outandin
505,50,outandin
505,115,outandin
505,185,outandin
505,318,outgoing
505,320,outandin
505,428,outandin
505,511,outandin
505,626,outandin
505,627,outandin
513,140,outandin
513,191,outandin
513,394,outandin
513,451,outandin
513,576,outgoing
513,609,outandin
513,683,outandin
525,39,outandin
525,167,outgoing
525,260,outandin
525,337,outandin
525,345,outandin
525,347,outandin
525,421,outandin
525,594,outandin
525,609,outandin
525,616,outandin
608,129,outandin
608,165,outandin
608,347,outandin
608,394,outandin
608,438,outandin
608,612,outandin
608,619,outandin
608,655,outandin
612,93,outandin
612,140,outandin
612,260,outandin
612,300,outandin
612,451,outandin
612,535,outandin
612,560,outandin
612,584,outandin
612,667,outandin
612,731,outandin
667,62,outandin
667,472,outandin
667,582,outandin
667,594,outgoing
667,655,outandin
667,688,outandin
667,731,outandin
9,61,outgoing
9,143,outandin
9,149,outandin
9,198,outandin
9,613,outandin
9,623,outandin
9,658,outandin
9,662,outgoing
61,152,outandin
61,161,outandin
61,198,outandin
61,262,outandin
61,340,outandin
61,565,outandin
61,664,outandin
143,149,outandin
143,262,outandin
143,331,outandin
143,406,outandin
143,461,outandin
143,488,outandin
143,565,outandin
143,675,outandin
149,58,outandin
149,71,outgoing
149,205,outandin
149,256,outandin
149,377,outandin
149,416,outandin
149,496,outandin
198,87,outandin
198,147,outandin
198,205,outandin
198,226,outandin
198,392,outandin
198,406,outandin
198,552,outandin
613,11,outandin
613,29,outandin
613,106,outandin
613,183,outandin
613,321,outandin
613,478,outandin
613,526,outandin
613,687,outandin
613,730,outandin
623,40,outandin
623,82,outandin
623,145,outandin
623,196,outandin
623,360,outandin
623,376,outandin
623,403,outandin
623,522,outandin
623,574,outandin
623,584,outandin
658,15,outandin
658,49,outandin
658,51,outandin
658,319,outandin
658,349,outandin
658,382,outandin
658,614,outandin
658,683,outandin
662,26,outandin
662,71,outandin
662,133,outandin
662,313,outandin
662,320,outandin
662,331,outandin
662,335,outandin
662,410,outgoing
662,414,outandin
662,496,outandin
662,552,outandin
662,564,outandin
662,586,outandin
11,115,outandin
11,164,outgoing
11,339,outandin
11,376,outandin
11,461,outandin
11,588,outandin
115,14,outandin
115,34,outandin
115,227,outandin
115,277,outandin
115,364,outgoing
115,412,outandin
115,676,outandin
115,682,outandin
164,204,outandin
164,360,outandin
164,376,outandin
164,404,outandin
164,432,outandin
164,584,outandin
164,604,outandin
339,74,outandin
339,140,outandin
339,148,outandin
339,213,outandin
339,270,outandin
339,377,outandin
339,462,outandin
339,638,outandin
339,641,outandin
376,25,outgoing
376,52,outandin
376,97,outandin
376,242,outandin
376,308,outgoing
376,409,outandin
376,422,outandin
376,504,outandin
376,739,outandin
461,51,outandin
461,93,outandin
461,211,outandin
461,288,outandin
461,306,outandin
461,362,outandin
461,478,outandin
461,547,outandin
461,548,outandin
461,597,outandin
461,629,outandin
461,664,outandin
461,701,outandin
588,25,outgoing
588,321,outandin
588,403,outandin
588,409,outandin
588,428,outandin
588,484,outandin
588,504,outandin
588,584,outgoing
588,718,outandin
588,735,outandin
12,92,outgoing
12,120,outandin
12,144,outandin
12,205,outandin
12,223,outandin
12,263,outandin
12,305,outandin
12,322,outandin
12,370,outgoing
12,379,outandin
12,500,outandin
12,625,outandin
12,723,outandin
92,211,outandin
92,223,outgoing
92,234,outandin
92,241,outandin
92,486,outandin
92,523,outandin
92,641,outandin
92,678,outandin
120,51,outandin
120,79,outandin
120,98,outandin
120,254,outandin
120,282,outgoing
120,474,outandin
120,524,outandin
120,614,outandin
120,625,outandin
120,664,outandin
144,204,outgoing
144,277,outandin
144,284,outandin
144,302,outgoing
144,401,outandin
144,428,outandin
144,477,outandin
144,562,outandin
205,50,outandin
205,443,outandin
205,512,outandin
205,565,outandin
205,675,outandin
223,154,outandin
223,207,outandin
223,274,outandin
223,281,outandin
223,377,outandin
223,430,outandin
223,454,outandin
223,477,outandin
223,638,outandin
263,32,outandin
263,110,outandin
263,201,outandin
263,306,outandin
263,319,outandin
263,449,outandin
263,470,outandin
263,597,outandin
263,629,outandin
263,634,outandin
263,735,outandin
305,135,outandin
305,207,outandin
305,282,outandin
305,359,outandin
305,547,outandin
305,618,outandin
305,641,outandin
305,693,outandin
305,734,outandin
305,736,outandin
322,135,outandin
322,148,outandin
322,254,outandin
322,465,outandin
322,470,outandin
322,603,outandin
322,618,outandin
322,664,outandin
322,727,outandin
370,18,outandin
370,26,outandin
370,98,outandin
370,316,outandin
370,427,outandin
370,507,outandin
370,678,outandin
379,25,outandin
379,153,outandin
379,173,outandin
379,174,outandin
379,397,outandin
379,439,outandin
379,504,outgoing
379,572,outandin
379,643,outandin
500,19,outandin
500,106,outandin
500,154,outandin
500,234,outandin
500,427,outgoing
500,637,outandin
500,648,outandin
500,730,outandin
625,89,outandin
625,237,outandin
625,274,outandin
625,282,outandin
625,350,outandin
625,454,outandin
625,465,outandin
625,473,outandin
625,486,outandin
625,664,outandin
723,117,outandin
723,222,outandin
723,249,outandin
723,434,outandin
723,490,outandin
723,620,outandin
723,687,outandin
723,738,outandin
13,235,outandin
13,237,outandin
13,424,outandin
13,499,outandin
13,509,outandin
13,568,outandin
13,582,outandin
235,341,outandin
235,386,outgoing
235,391,outandin
235,452,outandin
235,499,outgoing
235,509,outandin
237,29,outandin
237,32,outandin
237,154,outandin
237,274,outandin
237,282,outandin
237,321,outandin
237,362,outandin
237,474,outandin
237,618,outandin
237,641,outandin
237,664,outandin
424,21,outandin
424,43,outgoing
424,121,outandin
424,178,outgoing
424,202,outandin
424,412,outandin
424,459,outandin
424,517,outandin
424,555,outandin
424,556,outandin
499,274,outandin
499,301,outandin
499,359,outandin
499,509,outgoing
499,692,outandin
509,199,outandin
509,202,outgoing
509,426,outandin
509,431,outandin
568,202,outandin
568,386,outandin
568,630,outandin
568,660,outandin
582,91,outandin
582,126,outgoing
582,129,outandin
582,167,outandin
582,257,outandin
582,330,outandin
582,472,outandin
582,495,outandin
582,619,outandin
582,745,outandin
14,23,outandin
14,81,outandin
14,175,outandin
14,284,outgoing
14,353,outandin
14,364,outandin
14,419,outandin
14,448,outandin
14,630,outandin
23,126,outandin
23,155,outgoing
23,297,outandin
23,302,outgoing
23,480,outandin
23,602,outandin
23,626,outandin
23,653,outandin
23,682,outandin
23,719,outandin
81,19,outandin
81,50,outandin
81,185,outgoing
81,277,outandin
81,284,outandin
81,469,outgoing
81,600,outandin
81,654,outandin
81,727,outandin
175,122,outandin
175,245,outandin
175,318,outandin
175,353,outandin
175,428,outandin
175,595,outandin
175,602,outandin
284,79,outandin
284,122,outgoing
284,155,outandin
284,260,outandin
284,395,outandin
284,419,outgoing
284,514,outandin
284,593,outandin
284,595,outandin
284,653,outandin
353,19,outandin
353,34,outandin
353,79,outandin
353,152,outandin
353,155,outandin
353,185,outandin
353,477,outandin
353,562,outandin
353,569,outandin
353,653,outandin
364,185,outandin
364,191,outandin
364,197,outandin
364,421,outandin
364,448,outandin
364,569,outandin
364,571,outandin
364,602,outandin
364,627,outandin
364,727,outandin
419,79,outandin
419,80,outandin
419,153,outandin
419,318,outandin
419,401,outandin
419,440,outandin
419,477,outandin
419,508,outandin
419,676,outandin
448,15,outandin
448,73,outandin
448,155,outandin
448,185,outgoing
448,204,outandin
448,320,outandin
448,445,outandin
448,480,outandin
448,600,outandin
448,626,outandin
448,727,outandin
630,275,outandin
630,325,outandin
630,426,outandin
15,98,outandin
15,267,outandin
15,307,outandin
15,507,outandin
15,586,outandin
15,638,outandin
15,664,outandin
15,687,outandin
15,719,outandin
15,721,outandin
98,136,outandin
98,159,outandin
98,213,outandin
98,270,outandin
98,345,outandin
98,349,outandin
98,377,outandin
98,614,outandin
267,133,outandin
267,202,outandin
267,275,outgoing
267,695,outandin
307,16,outandin
307,111,outandin
307,244,outandin
307,405,outandin
307,431,outandin
307,616,outandin
307,649,outandin
307,661,outandin
507,154,outandin
507,183,outandin
507,188,outandin
507,201,outandin
507,211,outandin
507,276,outandin
507,277,outandin
507,454,outandin
507,491,outandin
507,524,outandin
507,697,outandin
586,71,outgoing
586,221,outandin
586,226,outgoing
586,288,outgoing
586,302,outandin
586,380,outandin
586,397,outandin
586,565,outandin
638,16,outandin
638,32,outandin
638,53,outandin
638,274,outandin
638,316,outandin
638,350,outandin
638,430,outandin
638,462,outandin
638,470,outandin
638,524,outandin
638,616,outandin
664,74,outandin
664,138,outandin
664,148,outandin
664,166,outandin
664,234,outandin
664,418,outandin
664,466,outandin
664,511,outandin
664,694,outandin
687,74,outandin
687,84,outandin
687,136,outandin
687,188,outandin
687,197,outandin
687,207,outandin
687,290,outandin
687,462,outandin
687,491,outandin
687,547,outandin
687,654,outandin
719,602,outandin
719,690,outandin
719,692,outandin
719,695,outandin
719,698,outandin
719,701,outandin
719,703,outandin
719,705,outandin
719,710,outandin
721,484,outandin
721,593,outandin
721,691,outandin
721,693,outandin
721,695,outandin
721,698,outandin
721,699,outandin
721,708,outandin
721,709,outandin
721,715,outandin
721,718,outandin
16,21,outandin
16,64,outandin
16,121,outgoing
16,494,outandin
16,510,outgoing
16,538,outandin
16,556,outgoing
16,649,outgoing
16,720,outandin
16,737,outandin
21,43,outandin
21,64,outandin
21,80,outandin
21,178,outandin
21,244,outandin
21,314,outandin
21,517,outandin
21,590,outandin
21,593,outandin
21,713,outandin
21,727,outandin
64,18,outandin
64,91,outandin
64,111,outandin
64,225,outandin
64,264,outandin
64,436,outandin
64,487,outgoing
64,517,outandin
64,556,outandin
64,592,outandin
64,696,outandin
121,20,outandin
121,95,outandin
121,102,outgoing
121,111,outandin
121,244,outgoing
121,264,outandin
121,272,outandin
121,369,outandin
121,661,outandin
121,732,outandin
494,18,outandin
494,95,outandin
494,147,outandin
494,225,outandin
494,400,outandin
494,484,outandin
494,487,outandin
494,556,outandin
494,574,outandin
494,670,outandin
510,244,outandin
510,431,outandin
510,538,outandin
510,737,outandin
510,738,outandin
538,52,outandin
538,147,outandin
538,244,outgoing
538,314,outandin
538,329,outgoing
538,661,outandin
538,737,outandin
538,740,outandin
