source,target,type
0,1,outandin
0,136,incoming
0,242,outandin
0,287,outandin
0,348,outandin
0,357,outandin
0,544,outandin
0,574,outandin
0,577,outandin
1,21,outandin
1,28,outandin
1,56,outandin
1,138,outandin
1,245,outandin
1,277,outandin
1,358,outandin
1,420,outandin
1,435,outandin
136,5,outandin
136,21,outandin
136,48,outandin
136,81,outandin
136,91,outandin
136,98,outandin
136,138,outandin
136,341,incoming
136,436,incoming
136,450,outandin
136,451,outandin
242,85,outandin
242,98,outandin
242,185,outandin
242,233,outandin
242,277,outandin
242,309,outandin
242,357,outandin
242,359,outandin
242,421,outandin
242,472,outandin
242,523,outandin
242,542,outandin
287,44,outandin
287,48,outandin
287,98,outandin
287,275,outandin
287,277,outandin
287,336,outandin
287,432,outandin
287,551,outandin
348,29,outandin
348,56,outandin
348,133,outandin
348,144,outandin
348,245,outandin
348,275,outandin
348,355,outandin
348,398,outandin
348,416,outandin
348,432,incoming
348,436,outandin
348,472,outandin
348,499,outandin
348,553,outandin
348,568,outandin
348,593,outandin
357,21,incoming
357,29,outandin
357,48,outandin
357,64,outandin
357,74,outandin
357,233,outandin
357,277,outandin
357,341,outandin
357,342,outandin
357,416,outandin
357,420,outandin
544,56,outandin
544,60,outandin
544,62,outandin
544,117,outandin
544,319,incoming
544,399,outandin
544,450,outandin
544,479,outandin
544,510,outandin
544,568,outandin
574,13,outandin
574,18,outandin
574,95,outandin
574,177,outandin
574,244,incoming
574,310,outandin
574,464,outandin
574,473,incoming
574,488,outandin
574,518,outandin
577,53,outandin
577,95,outandin
577,207,outandin
577,233,outandin
577,310,outandin
577,322,outandin
577,331,outandin
577,340,outandin
577,367,outandin
577,377,outandin
577,532,outandin
21,144,outandin
21,390,outandin
21,399,outandin
21,428,outandin
21,450,outandin
21,499,outandin
21,510,outandin
21,523,outandin
21,540,outandin
21,553,outandin
28,74,incoming
28,122,outandin
28,124,outandin
28,184,outandin
28,194,outandin
28,233,outandin
28,256,outandin
28,275,outandin
28,319,outandin
28,353,outandin
28,466,outandin
28,551,outandin
28,556,outandin
56,11,outandin
56,96,outandin
56,170,outandin
56,185,outandin
56,233,outandin
56,399,outandin
56,410,outandin
56,416,outandin
138,64,outandin
138,85,outandin
138,144,outandin
138,319,outandin
138,399,outandin
138,409,outandin
138,568,outandin
245,64,outandin
245,85,outandin
245,144,outandin
245,338,outandin
245,393,outandin
245,467,outandin
245,472,outandin
245,542,outandin
245,545,outandin
277,11,incoming
277,85,outandin
277,91,outandin
277,275,outandin
277,341,outandin
277,353,outandin
277,499,incoming
277,568,outandin
358,4,outandin
358,130,outandin
358,228,outandin
358,327,outandin
358,370,outandin
358,380,incoming
358,382,outandin
358,424,outandin
358,426,outandin
358,447,incoming
358,516,outandin
358,527,outandin
420,39,outandin
420,48,outandin
420,144,outandin
420,184,outandin
420,319,outandin
420,523,outandin
420,550,outandin
435,75,outandin
435,194,outandin
435,206,outandin
435,213,outandin
435,312,outandin
435,322,outandin
435,326,outandin
435,331,outandin
435,355,outandin
435,422,outandin
435,543,outandin
435,567,outandin
2,12,outandin
2,133,incoming
2,211,outandin
2,292,incoming
2,296,incoming
2,347,outandin
2,438,outandin
12,43,outandin
12,147,outandin
12,401,outandin
12,409,outandin
12,486,outandin
12,547,outandin
133,3,outandin
133,31,outandin
133,43,outandin
133,99,outandin
133,127,outandin
133,186,outandin
133,191,outandin
133,236,outandin
133,269,outandin
133,283,outandin
133,319,outandin
133,409,outandin
133,558,outandin
211,31,outandin
211,150,outandin
211,192,outandin
211,194,outandin
211,205,outandin
211,292,outandin
211,340,outandin
211,433,outandin
211,485,outandin
211,495,incoming
211,572,outandin
292,3,outandin
292,31,outandin
292,58,outandin
292,113,outandin
292,169,outandin
292,172,outandin
292,412,outandin
292,418,outandin
292,454,outandin
292,471,outandin
296,43,incoming
296,140,outandin
296,281,outandin
296,298,outandin
296,313,outandin
296,347,outandin
296,372,outandin
296,412,outandin
296,418,outandin
296,433,outandin
296,459,outandin
296,482,outandin
347,16,outandin
347,99,outandin
347,150,outandin
347,265,outandin
347,343,outandin
347,392,outandin
347,417,outandin
347,438,outandin
347,448,outandin
347,471,outandin
347,480,outandin
347,558,outandin
347,588,outandin
438,16,outandin
438,20,incoming
438,169,outandin
438,281,outandin
438,433,outandin
438,471,outandin
438,484,outandin
438,495,outandin
438,565,outandin
438,572,outandin
3,20,outandin
3,147,outandin
3,172,outandin
3,186,outandin
3,281,outandin
3,298,incoming
3,313,outandin
3,376,outandin
3,433,incoming
3,480,outandin
20,60,outandin
20,71,outandin
20,121,outandin
20,140,outandin
20,191,outandin
20,224,outandin
20,476,outandin
20,480,outandin
20,572,outandin
20,590,outandin
147,116,outandin
147,197,outandin
147,236,outandin
147,365,outandin
147,401,outandin
147,506,outandin
147,548,outandin
147,572,incoming
172,140,outandin
172,146,outandin
172,150,outandin
172,169,outandin
172,298,outandin
172,437,outandin
172,458,outandin
172,537,outandin
186,16,outandin
186,58,outandin
186,236,outandin
186,269,outandin
186,401,outandin
186,409,outandin
186,484,outandin
186,495,outandin
186,516,outandin
186,548,outandin
281,58,outandin
281,96,outandin
281,169,outandin
281,175,outandin
281,182,outandin
281,372,outandin
281,412,outandin
281,537,outandin
281,588,outandin
298,84,outandin
298,345,outandin
298,401,outandin
298,409,outandin
298,418,outandin
298,427,outandin
298,452,outandin
298,471,incoming
298,536,outandin
313,103,incoming
313,223,outandin
313,269,outandin
313,271,outandin
313,335,outandin
313,377,outandin
313,480,incoming
313,486,outandin
313,506,outandin
313,536,incoming
313,558,outandin
313,565,outandin
376,166,outandin
376,215,outandin
376,231,outandin
376,235,outandin
376,267,outandin
376,274,outandin
376,373,outandin
376,391,outandin
376,403,outandin
376,476,outandin
376,596,outandin
433,265,outandin
433,378,outandin
433,401,outandin
433,486,outandin
433,537,outandin
433,565,incoming
480,131,outandin
480,169,outandin
480,219,outandin
480,236,outandin
480,268,outandin
480,383,outandin
480,506,outandin
480,572,outandin
4,6,outandin
4,93,outandin
4,117,outandin
4,268,outandin
4,315,outandin
4,337,outandin
4,370,outandin
4,382,incoming
4,383,outandin
4,442,incoming
4,516,incoming
6,93,outandin
6,127,outandin
6,178,outandin
6,190,outandin
6,214,outandin
6,320,incoming
6,337,incoming
6,380,outandin
6,382,outandin
6,516,incoming
6,543,outandin
93,130,outandin
93,195,outandin
93,221,outandin
93,226,outandin
93,228,outandin
93,380,outandin
93,387,outandin
93,424,outandin
93,434,outandin
93,579,outandin
117,27,outandin
117,137,outandin
117,195,outandin
117,228,outandin
117,315,outandin
117,361,outandin
117,369,outandin
117,370,outandin
268,173,outandin
268,226,outandin
268,228,outandin
268,430,outandin
268,454,outandin
268,493,outandin
268,500,incoming
268,513,outandin
268,516,outandin
268,518,outandin
315,69,outandin
315,168,outandin
315,202,outandin
315,205,outandin
315,214,outandin
315,226,incoming
315,228,outandin
315,231,outandin
315,338,outandin
315,385,outandin
315,402,outandin
315,447,incoming
315,543,outandin
337,94,outandin
337,130,outandin
337,181,outandin
337,195,outandin
337,226,outandin
337,378,outandin
337,381,outandin
337,383,outandin
337,424,outandin
337,429,outandin
337,442,outandin
370,248,outandin
370,299,outandin
370,311,outandin
370,330,outandin
370,361,outandin
370,369,outandin
370,511,incoming
370,581,outandin
382,27,outandin
382,275,outandin
382,299,outandin
382,369,outandin
382,424,outandin
382,507,outandin
382,579,outandin
382,581,outandin
383,61,outandin
383,67,outandin
383,178,outandin
383,190,outandin
383,314,outandin
383,361,outandin
383,380,outandin
383,424,outandin
383,454,incoming
383,457,outandin
383,543,outandin
383,557,incoming
442,87,outandin
442,137,outandin
442,178,outandin
442,369,outandin
442,424,incoming
442,457,outandin
442,468,outandin
442,507,outandin
442,516,outandin
516,27,incoming
516,69,outandin
516,87,outandin
516,173,outandin
516,282,incoming
516,395,outandin
516,430,outandin
516,456,outandin
5,48,outandin
5,60,outandin
5,98,outandin
5,166,outandin
5,333,outandin
5,366,outandin
5,390,outandin
5,421,outandin
5,436,outandin
5,467,outandin
48,91,outandin
48,118,outandin
48,166,outandin
48,185,incoming
48,193,outandin
48,218,outandin
48,449,outandin
48,538,outandin
60,170,outandin
60,188,outandin
60,221,outandin
60,259,outandin
60,267,outandin
60,293,outandin
60,334,outandin
60,346,outandin
60,359,outandin
60,408,outandin
60,426,outandin
98,29,outandin
98,184,incoming
98,308,incoming
98,353,incoming
98,393,outandin
98,510,outandin
98,587,outandin
166,111,outandin
166,203,outandin
166,342,outandin
166,449,outandin
166,499,outandin
166,510,outandin
166,526,outandin
166,529,outandin
333,152,outandin
333,197,outandin
333,324,outandin
333,483,incoming
333,534,outandin
333,552,outandin
333,560,outandin
366,37,outandin
366,64,outandin
366,74,outandin
366,180,outandin
366,305,outandin
366,390,outandin
366,399,outandin
366,436,outandin
366,450,incoming
366,467,outandin
366,472,outandin
390,11,outandin
390,39,outandin
390,44,incoming
390,85,outandin
390,233,outandin
390,240,outandin
390,258,outandin
390,432,outandin
390,540,outandin
390,551,outandin
421,31,outandin
421,44,outandin
421,189,outandin
421,236,outandin
421,276,outandin
421,467,outandin
436,326,outandin
436,342,outandin
436,378,outandin
436,416,outandin
436,449,outandin
436,510,outandin
467,11,incoming
467,64,outandin
467,185,outandin
467,275,outandin
467,399,outandin
467,449,incoming
467,450,outandin
467,551,incoming
467,553,outandin
127,201,outandin
127,322,outandin
127,397,outandin
127,537,outandin
127,563,outandin
178,112,outandin
178,369,outandin
178,424,outandin
178,430,outandin
178,457,outandin
178,579,incoming
190,72,outandin
190,221,outandin
190,286,outandin
190,484,outandin
190,500,outandin
190,543,outandin
190,547,outandin
