node,centrality,community,density,eign,betwness,closeness,volatility,name,type,anchor_name
29,6,0,0.1364087301587301,0.0226274668031981,0.0005420340426107,0.2875182127246236,0.25,User_29,outgoing,
420,6,0,0.1364087301587301,0.0332244863265809,0.000494807841193,0.2957042957042957,0.0,User_420,stable,
428,6,0,0.1364087301587301,0.0172972599412092,0.0018026015892254,0.2907662082514735,0.5,User_428,outgoing,
540,7,0,0.1364087301587301,0.0297992334978288,0.00196771486914,0.3023493360572012,0.0,User_540,stable,
39,8,0,0.1364087301587301,0.0308928632717941,0.0023769652217719,0.3114150447133088,0.25,User_39,outgoing,
44,8,0,0.1364087301587301,0.0382988648033734,0.0017398847023199,0.3177670424047236,0.25,User_44,outgoing,
118,8,0,0.1364087301587301,0.0311768247576918,0.0017073221582032,0.2995951417004048,0.0,User_118,stable,
166,8,0,0.1364087301587301,0.0399365050968754,0.0024370807239745,0.310272536687631,0.25,User_166,outgoing,
276,8,0,0.1364087301587301,0.0426914682275196,0.001198826228583,0.3073727933541018,0.25,User_276,outgoing,
287,8,0,0.1364087301587301,0.0362525597843522,0.0017633487232118,0.3026584867075664,0.25,User_287,outgoing,
544,8,0,0.1364087301587301,0.0357918099753344,0.0033565217526118,0.3109243697478991,0.0,User_544,stable,
0,9,0,0.1364087301587301,0.0343923765320905,0.0030422557756414,0.3172561629153269,0.0,User_0,stable,
48,9,0,0.1364087301587301,0.0362844695360762,0.0035236906556275,0.321215409658166,0.0,User_48,stable,
91,9,0,0.1364087301587301,0.0402317100404451,0.004295112000408,0.3186221743810549,0.25,User_91,outgoing,
224,9,0,0.1364087301587301,0.0451082464838473,0.0011608842036593,0.308172826652785,0.0,User_224,stable,
416,9,0,0.1364087301587301,0.0385944920278387,0.0022406800455795,0.3160704751735184,0.25,User_416,outgoing,
499,9,0,0.1364087301587301,0.0317026237998927,0.0025958015273215,0.3080124869927159,0.0,User_499,stable,
551,9,0,0.1364087301587301,0.039431197851865,0.0012372701834921,0.3028132992327366,0.25,User_551,outgoing,
608,9,0,0.1364087301587301,0.043953240975671,0.0031609505143821,0.3124010554089709,1.0,User_608,outgoing,
11,10,0,0.1364087301587301,0.0482045099306556,0.0007512941619311,0.3083333333333333,0.0,User_11,stable,
184,10,0,0.1364087301587301,0.0421943197458038,0.0019130148142819,0.3061013443640124,0.0,User_184,stable,
233,10,0,0.1364087301587301,0.0412775486594836,0.002551470145394,0.3070539419087137,0.0,User_233,stable,
242,10,0,0.1364087301587301,0.0463906767307423,0.0031061377365443,0.3256325632563256,0.25,User_242,outgoing,
357,10,0,0.1364087301587301,0.0456732527197345,0.0029148817485094,0.3162393162393162,0.5,User_357,outgoing,
366,10,0,0.1364087301587301,0.0428733476937636,0.0027858605228558,0.3080124869927159,0.0,User_366,stable,
393,10,0,0.1364087301587301,0.0390603929147521,0.003092026195541,0.3182795698924731,0.25,User_393,outgoing,
421,10,0,0.1364087301587301,0.0337131994710913,0.0042471142604857,0.3114150447133088,0.25,User_421,outgoing,
