node,centrality,community,density,eign,betwness,closeness,volatility,name,type,anchor_name
10,7,0,0.1490015360983103,0.0265870117401177,0.000984328721126,0.2971887550200803,0.0,Team_00#10,stable,Team_00
232,7,0,0.1490015360983103,0.0294686325636956,0.0004178893413043,0.2949676133532636,0.0,Team_00#232,stable,Team_00
468,7,0,0.1490015360983103,0.0229381932962985,0.0024611392885844,0.2986881937436932,0.0,Team_00#468,stable,Team_00
187,8,0,0.1490015360983103,0.0257367506884588,0.0020453084533406,0.30546955624355,0.3333333333333333,Team_00#187,outgoing,Team_00
212,8,0,0.1490015360983103,0.0300386273749424,0.0019980936920102,0.3003551496702181,0.0,Team_00#212,stable,Team_00
214,8,0,0.1490015360983103,0.0259346506101839,0.0021522890022832,0.3064182194616977,0.0,Team_00#214,stable,Team_00
582,8,0,0.1490015360983103,0.0327318192956745,0.0023872760224517,0.3040575243965074,0.0,Team_00#582,stable,Team_00
0,9,0,0.1490015360983103,0.0338259693241281,0.004127128950218,0.3152289669861555,0.0,Team_00#0,stable,Team_00
37,9,0,0.1490015360983103,0.0346281979393565,0.0027512939451234,0.3075324675324675,0.0,Team_00#37,stable,Team_00
100,9,0,0.1490015360983103,0.0394722915630056,0.001147967282399,0.3023493360572012,0.0,Team_00#100,stable,Team_00
287,9,0,0.1490015360983103,0.0388571602506428,0.0037508085821677,0.3191374663072776,0.0,Team_00#287,stable,Team_00
333,9,0,0.1490015360983103,0.0392081950064956,0.0010367369920158,0.3040575243965074,0.0,Team_00#333,stable,Team_00
370,9,0,0.1490015360983103,0.0303153131222279,0.0013923275888914,0.3040575243965074,0.0,Team_00#370,stable,Team_00
380,9,0,0.1490015360983103,0.0307586337259644,0.0011833279402917,0.3053120165033522,0.0,Team_00#380,stable,Team_00
578,9,0,0.1490015360983103,0.031618066897205,0.0035009306930038,0.3067357512953368,0.0,Team_00#578,stable,Team_00
64,10,0,0.1490015360983103,0.0443483794565297,0.0032668776815467,0.3172561629153269,0.0,Team_00#64,stable,Team_00
92,10,0,0.1490015360983103,0.0305210324810094,0.004367759967396,0.321215409658166,0.0,Team_00#92,stable,Team_00
166,10,0,0.1490015360983103,0.039406486565571,0.0024662933530709,0.3175965665236051,0.0,Team_00#166,stable,Team_00
298,10,0,0.1490015360983103,0.0309472948772136,0.0076270120572402,0.3122362869198312,0.0,Team_00#298,stable,Team_00
304,10,0,0.1490015360983103,0.0473468843752239,0.0020165743802431,0.3094615786722425,0.0,Team_00#304,stable,Team_00
346,10,0,0.1490015360983103,0.0378074579631717,0.0015624507452351,0.3056272586473929,0.0,Team_00#346,stable,Team_00
372,10,0,0.1490015360983103,0.0373823789583741,0.0040198183344357,0.3147262094630516,0.0,Team_00#372,stable,Team_00
387,10,0,0.1490015360983103,0.0474881218578603,0.003310710703059,0.3125659978880676,0.0,Team_00#387,stable,Team_00
534,10,0,0.1490015360983103,0.034058866890743,0.0047653585100331,0.3270718232044199,0.0,Team_00#534,stable,Team_00
559,10,0,0.1490015360983103,0.034853695788603,0.0038940432950864,0.3224400871459695,0.6666666666666666,Team_00#559,stable,Team_00
9,11,0,0.1490015360983103,0.0343339714580734,0.004079207404198,0.3097854526425955,0.0,Team_00#9,stable,Team_00
55,11,0,0.1490015360983103,0.0453000983350396,0.0012267116799724,0.3037455105182144,0.3333333333333333,Team_00#55,stable,Team_00
174,11,0,0.1490015360983103,0.0465364752931928,0.0029277001789741,0.3229678123295144,0.6666666666666666,Team_00#174,stable,Team_00
220,11,0,0.1490015360983103,0.0442261174226828,0.0034193783662312,0.3099476439790576,0.0,Team_00#220,stable,Team_00
357,11,0,0.1490015360983103,0.0408804384618109,0.0028520813869219,0.3274336283185841,0.0,Team_00#357,stable,Team_00
368,11,0,0.1490015360983103,0.045076236822391,0.0024132305180804,0.3170862346009641,0.0,Team_00#368,stable,Team_00
444,11,0,0.1490015360983103,0.0468751422435326,0.003434076164205,0.3145589798087141,0.3333333333333333,Team_00#444,stable,Team_00
467,11,0,0.1490015360983103,0.0470499297179263,0.0044851235778068,0.3243835616438356,0.0,Team_00#467,stable,Team_00
472,11,0,0.1490015360983103,0.0395508383273793,0.0024498359353587,0.3015792154865002,0.0,Team_00#472,stable,Team_00
545,11,0,0.1490015360983103,0.0403428678873423,0.0046446040861118,0.3181085437936593,0.0,Team_00#545,stable,Team_00
575,11,0,0.1490015360983103,0.0512191636138555,0.0017369929314831,0.3023493360572012,0.6666666666666666,Team_00#575,stable,Team_00
29,12,0,0.1490015360983103,0.0449877580890679,0.0057173551815193,0.3210412147505423,0.0,Team_00#29,stable,Team_00
184,12,0,0.1490015360983103,0.0465793931313669,0.0092272982211628,0.3333333333333333,0.0,Team_00#184,stable,Team_00
277,12,0,0.1490015360983103,0.0527360092949361,0.0029650362094847,0.3147262094630516,0.0,Team_00#277,stable,Team_00
359,12,0,0.1490015360983103,0.0450477894245884,0.0059320266621839,0.3231441048034934,0.0,Team_00#359,stable,Team_00
602,12,0,0.1490015360983103,0.0446351654377716,0.0052040955445471,0.3243835616438356,1.0,Team_00#602,incoming,Team_00
111,13,0,0.1490015360983103,0.0529801472042165,0.0046332424070433,0.3338973491257755,0.0,Team_00#111,stable,Team_00
192,13,0,0.1490015360983103,0.0465826932546771,0.0036063202220643,0.317426273458445,0.0,Team_00#192,stable,Team_00
310,13,0,0.1490015360983103,0.0525243194420821,0.0048272367753619,0.3234972677595628,0.0,Team_00#310,stable,Team_00
340,13,0,0.1490015360983103,0.0552778929034681,0.0034534458600076,0.3128964059196617,0.0,Team_00#340,stable,Team_00
349,13,0,0.1490015360983103,0.0444968955643075,0.0044633177050891,0.3142250530785562,0.0,Team_00#349,stable,Team_00
