source,target,type
0,282,outgoing
0,338,outandin
0,379,outandin
0,380,outandin
0,439,outandin
0,513,outandin
0,531,outandin
0,541,outandin
282,11,outandin
282,74,outandin
282,149,outandin
282,156,outandin
282,169,outandin
282,187,outandin
282,215,outandin
282,318,outandin
282,524,outandin
282,531,outandin
282,594,outandin
338,191,outandin
338,217,outandin
338,261,outandin
338,358,outandin
338,524,outandin
338,565,outandin
338,567,outandin
338,620,outandin
338,702,outandin
379,15,outandin
379,151,outandin
379,207,outgoing
379,368,outgoing
379,478,outandin
379,493,outandin
379,541,outgoing
379,620,outandin
379,651,outandin
379,658,outandin
379,667,outgoing
379,703,outandin
380,28,outgoing
380,53,outandin
380,108,outandin
380,130,outandin
380,143,outandin
380,149,outandin
380,348,outandin
380,478,outandin
380,479,outandin
380,485,outandin
380,509,outandin
380,626,outandin
380,632,outandin
380,702,outandin
439,62,outandin
439,99,outandin
439,313,outandin
439,323,outandin
439,412,outandin
439,428,outandin
439,475,outandin
439,527,outandin
439,554,outandin
439,587,outandin
513,15,outandin
513,95,outandin
513,113,outgoing
513,143,outandin
513,187,outandin
513,368,outandin
513,384,outandin
513,597,outandin
513,600,outandin
513,605,outgoing
513,632,outandin
531,149,outandin
531,217,outandin
531,218,outandin
531,382,outandin
531,474,outandin
531,690,outandin
531,702,outandin
541,28,outandin
541,151,outgoing
541,155,outandin
541,169,outandin
541,262,outandin
541,318,outandin
541,368,outandin
541,489,outandin
541,509,outandin
541,605,outandin
4,31,outandin
4,142,outandin
4,234,outandin
4,356,outandin
4,445,outandin
4,452,outandin
4,621,outandin
4,706,outandin
31,11,outandin
31,142,outandin
31,146,outgoing
31,156,outandin
31,253,outandin
31,260,outandin
31,363,outandin
31,404,outandin
31,478,outandin
31,651,outandin
31,673,outandin
142,128,outandin
142,135,outandin
142,146,outandin
142,163,outandin
142,232,outandin
142,285,outandin
142,322,outandin
142,384,outandin
142,402,outandin
142,486,outandin
142,681,outandin
234,5,outandin
234,13,outandin
234,19,outandin
234,24,outandin
234,148,outandin
234,160,outandin
234,179,outgoing
234,253,outandin
234,288,outandin
234,389,outandin
234,406,outandin
234,462,outandin
234,473,outandin
234,551,outandin
234,651,outandin
356,5,outandin
356,163,outandin
356,179,outandin
356,288,outandin
356,328,outandin
356,352,outandin
356,452,outandin
356,540,outgoing
445,57,outandin
445,60,outandin
445,232,outgoing
445,248,outandin
445,385,outandin
445,458,outandin
445,459,outandin
445,472,outandin
445,556,outandin
445,602,outandin
445,624,outandin
452,73,outandin
452,160,outandin
452,197,outandin
452,247,outgoing
452,288,outandin
452,402,outgoing
452,425,outandin
452,473,outandin
452,583,outandin
452,704,outandin
621,13,outgoing
621,253,outgoing
621,268,outandin
621,288,outandin
621,336,outandin
621,398,outandin
621,581,outandin
621,595,outandin
621,640,outandin
621,695,outandin
706,101,outandin
706,114,outandin
706,156,outandin
706,240,outandin
706,247,outandin
706,268,outandin
706,275,outandin
706,398,outandin
706,411,outandin
706,649,outandin
706,651,outandin
5,11,outandin
5,36,outandin
5,46,outandin
5,160,outgoing
5,246,outandin
5,275,outandin
5,308,outandin
5,425,outandin
5,434,outandin
5,457,outandin
5,514,outandin
5,533,outandin
5,615,outandin
5,658,outandin
11,158,outandin
11,164,outandin
11,246,outandin
11,285,outandin
11,293,outandin
11,345,outandin
11,372,outandin
11,529,outandin
11,533,outandin
11,595,outandin
11,651,outandin
11,658,outandin
36,135,outandin
36,148,outandin
36,163,outgoing
36,164,outandin
36,285,outandin
36,389,outandin
36,398,outandin
36,406,outandin
36,441,outandin
36,473,outandin
36,615,outandin
36,651,outandin
36,673,outgoing
36,712,outandin
46,13,outandin
46,62,outandin
46,180,outandin
46,210,outandin
46,244,outandin
46,250,outandin
46,292,outandin
46,342,outandin
46,359,outandin
46,412,outandin
46,510,outandin
46,549,outandin
46,587,outandin
46,650,outandin
46,680,outandin
160,221,outandin
160,233,outandin
