source,target,type
0,48,outandin
0,86,outandin
0,122,outandin
0,242,outandin
0,311,outandin
0,353,outandin
0,365,outandin
0,385,incoming
0,402,outandin
48,78,outandin
48,273,outandin
48,309,outandin
48,339,outandin
48,353,outandin
48,428,outandin
48,534,outandin
48,539,outandin
48,553,outandin
86,83,outandin
86,92,outandin
86,156,outandin
86,190,outandin
86,253,outandin
86,256,outandin
86,257,outandin
86,430,outandin
122,5,outandin
122,29,outandin
122,149,outandin
122,203,outandin
122,242,outandin
122,257,outandin
122,262,outandin
122,306,outandin
122,309,outandin
122,355,outandin
122,382,outandin
122,416,outandin
122,419,outandin
122,455,outandin
122,505,outandin
122,529,outandin
122,548,outandin
242,2,outandin
242,9,outandin
242,15,outandin
242,237,outandin
242,303,outandin
242,336,outandin
242,337,outandin
242,356,outandin
242,530,outandin
242,593,outandin
311,59,outandin
311,203,outandin
311,240,outandin
311,273,outandin
311,281,outandin
311,402,outandin
311,417,outandin
311,428,outandin
311,455,outandin
311,594,outandin
311,599,outandin
353,19,incoming
353,29,incoming
353,42,outandin
353,176,outandin
353,365,outandin
353,367,outandin
353,385,outandin
353,428,outandin
353,529,outandin
365,5,outandin
365,30,outandin
365,64,outandin
365,131,outandin
365,199,outandin
365,347,outandin
365,441,outandin
365,529,outandin
365,532,outandin
365,565,outandin
365,599,outandin
385,15,outandin
385,76,outandin
385,202,outandin
385,266,outandin
385,339,outandin
385,417,outandin
385,428,outandin
385,455,outandin
385,529,outandin
385,587,incoming
402,41,outandin
402,356,incoming
402,410,outandin
402,455,outandin
402,461,outandin
402,534,outandin
402,562,outandin
402,587,outandin
1,17,outandin
1,22,outandin
1,64,outandin
1,92,outandin
1,139,incoming
1,212,incoming
1,283,outandin
1,435,outandin
1,439,incoming
1,473,outandin
1,521,outandin
1,556,outandin
17,8,incoming
17,28,outandin
17,59,incoming
17,130,outandin
17,135,outandin
17,308,outandin
17,436,outandin
17,465,outandin
17,500,outandin
17,516,outandin
17,552,outandin
17,575,outandin
22,65,outandin
22,210,outandin
22,371,outandin
22,396,outandin
22,408,outandin
22,430,outandin
22,503,outandin
22,509,outandin
22,547,outandin
64,110,outandin
64,139,outandin
64,192,outandin
64,212,outandin
64,256,outandin
64,283,outandin
64,290,outandin
64,294,outandin
64,396,outandin
64,428,outandin
64,452,outandin
64,566,outandin
92,137,outandin
92,342,outandin
92,429,outandin
92,458,outandin
92,473,outandin
92,547,outandin
92,570,outandin
92,579,outandin
139,110,outandin
139,133,outandin
139,210,outandin
139,244,incoming
139,366,outandin
139,396,incoming
139,430,outandin
139,459,outandin
212,27,outandin
212,121,outandin
212,143,outandin
212,256,incoming
212,332,incoming
212,429,outandin
212,430,outandin
212,521,outandin
212,563,outandin
212,566,outandin
212,596,outandin
283,27,incoming
283,36,outandin
283,37,outandin
283,133,incoming
283,253,outandin
283,347,outandin
283,358,outandin
283,566,outandin
283,571,outandin
435,91,outandin
435,100,incoming
435,176,outandin
435,300,outandin
435,304,outandin
435,323,outandin
435,555,outandin
435,592,outandin
439,77,outandin
439,192,outandin
439,210,outandin
439,437,outandin
439,504,outandin
439,514,outandin
439,556,incoming
473,137,outandin
473,140,outandin
473,156,outandin
473,210,incoming
473,298,outandin
473,396,outandin
473,430,outandin
473,459,outandin
473,504,incoming
473,563,outandin
473,566,outandin
521,27,incoming
521,65,outandin
521,110,outandin
521,156,outandin
521,210,outandin
521,224,outandin
521,244,outandin
521,281,outandin
521,331,outandin
521,366,incoming
521,375,outandin
521,429,incoming
521,430,outandin
521,503,outandin
521,504,outandin
521,547,outandin
521,566,outandin
556,137,outandin
556,208,outandin
556,256,outandin
556,363,outandin
556,366,outandin
556,397,incoming
556,539,outandin
556,564,outandin
2,19,outandin
2,41,outandin
2,280,outandin
2,286,outandin
2,335,outandin
2,359,outandin
2,415,outandin
2,416,outandin
19,10,outandin
19,42,outandin
19,69,incoming
19,94,outandin
19,134,outandin
19,136,outandin
19,193,outandin
19,213,outandin
19,280,incoming
19,371,outandin
19,416,outandin
19,417,outandin
19,442,outandin
41,10,outandin
41,25,outandin
41,180,incoming
41,286,outandin
41,317,outandin
41,339,outandin
41,449,outandin
41,511,outandin
41,548,outandin
41,570,outandin
280,42,outandin
280,155,outandin
280,179,outandin
280,282,outandin
280,309,outandin
280,361,outandin
280,417,outandin
280,449,outandin
280,505,outandin
280,511,outandin
286,29,incoming
286,42,outandin
286,69,outandin
286,73,outandin
286,317,outandin
286,387,outandin
286,417,outandin
286,535,outandin
286,594,outandin
335,160,outandin
335,219,outandin
335,223,outandin
335,287,outandin
335,302,outandin
335,362,outandin
335,383,outandin
335,552,outandin
335,595,outandin
359,51,outandin
359,74,outandin
359,103,outandin
359,263,outandin
359,300,outandin
359,372,outandin
359,384,outandin
359,400,outandin
359,472,outandin
359,485,outandin
359,541,outandin
415,18,outandin
415,25,outandin
415,317,outandin
415,336,outandin
415,368,outandin
415,449,outandin
415,511,outandin
415,561,outandin
416,15,outandin
416,29,outandin
416,51,outandin
416,118,outandin
416,317,outandin
416,376,outandin
416,496,outandin
416,505,outandin
3,6,outandin
3,35,outandin
3,115,outandin
3,116,outandin
3,172,outandin
3,200,outandin
3,322,outandin
3,340,outandin
3,540,outandin
3,598,outandin
6,35,outandin
6,74,outandin
6,115,outandin
6,196,outandin
6,204,outandin
6,233,outandin
6,262,outandin
6,285,incoming
6,294,outandin
6,312,outandin
6,372,outandin
6,450,incoming
35,51,outandin
35,196,outandin
35,248,outandin
35,257,outandin
35,299,outandin
