node,centrality,community,density,eign,betwness,closeness,volatility,name,type,anchor_name
134,7,0,0.1470121628767847,0.0214469454646538,0.0015100814497966,0.2957042957042957,0.0,Team_00#134,stable,Team_00
197,7,0,0.1470121628767847,0.0183875561476336,0.0020128702961646,0.3006602336211275,0.3333333333333333,Team_00#197,stable,Team_00
27,8,0,0.1470121628767847,0.0412628177819053,0.0004727210961747,0.293069306930693,0.0,Team_00#27,stable,Team_00
36,8,0,0.1470121628767847,0.0295719562823837,0.0018551875086092,0.306576903158985,0.6666666666666666,Team_00#36,outgoing,Team_00
248,8,0,0.1470121628767847,0.0346371644597703,0.0006692725245256,0.2970396387355745,0.0,Team_00#248,stable,Team_00
337,8,0,0.1470121628767847,0.0248204427562213,0.001873991932827,0.3020408163265306,0.0,Team_00#337,stable,Team_00
444,8,0,0.1470121628767847,0.0286976931446219,0.0005373130805863,0.2886396879570941,0.0,Team_00#444,stable,Team_00
607,8,0,0.1470121628767847,0.0329706538021846,0.0006781933986649,0.2917693445046821,0.3333333333333333,Team_00#607,stable,Team_00
6,9,0,0.1470121628767847,0.0341142469815497,0.0009166547326389,0.301119023397762,0.0,Team_00#6,stable,Team_00
77,9,0,0.1470121628767847,0.0268571538334497,0.0016509634245554,0.3049974240082432,0.3333333333333333,Team_00#77,stable,Team_00
118,9,0,0.1470121628767847,0.0270440904870679,0.0018499324448756,0.3018867924528302,0.0,Team_00#118,stable,Team_00
240,9,0,0.1470121628767847,0.0348314116842458,0.0016329542503205,0.3002028397565923,0.0,Team_00#240,stable,Team_00
244,9,0,0.1470121628767847,0.0275754627126862,0.0008949106201656,0.2983870967741935,0.0,Team_00#244,stable,Team_00
276,9,0,0.1470121628767847,0.0302791498294068,0.0017981970893438,0.3009659379766141,0.0,Team_00#276,stable,Team_00
356,9,0,0.1470121628767847,0.0291647195937991,0.0030484254711709,0.3084940072954664,0.0,Team_00#356,stable,Team_00
500,9,0,0.1470121628767847,0.0268697347915474,0.0055738419462114,0.3194819212088505,0.0,Team_00#500,stable,Team_00
528,9,0,0.1470121628767847,0.0276647091994322,0.00508466943425,0.3140583554376658,0.0,Team_00#528,stable,Team_00
262,10,0,0.1470121628767847,0.0312617817371244,0.0045024764799285,0.310761154855643,0.0,Team_00#262,stable,Team_00
302,10,0,0.1470121628767847,0.0301158292760482,0.003391997538886,0.3148936170212766,0.0,Team_00#302,stable,Team_00
471,10,0,0.1470121628767847,0.0302794032100507,0.0037464627229447,0.3249176728869374,0.0,Team_00#471,stable,Team_00
477,10,0,0.1470121628767847,0.0300148721767853,0.0044306820684793,0.3162393162393162,0.0,Team_00#477,stable,Team_00
485,10,0,0.1470121628767847,0.0300123297893424,0.0033906359225005,0.3101100052383447,0.0,Team_00#485,stable,Team_00
539,10,0,0.1470121628767847,0.0371315793941498,0.0015964319072545,0.3061013443640124,0.3333333333333333,Team_00#539,stable,Team_00
603,10,0,0.1470121628767847,0.0296354939101483,0.0028493994593322,0.310598111227702,0.3333333333333333,Team_00#603,stable,Team_00
637,10,0,0.1470121628767847,0.0330773926309234,0.0016981887096583,0.3026584867075664,0.6666666666666666,Team_00#637,outgoing,Team_00
39,11,0,0.1470121628767847,0.0356565171451828,0.0015637097921482,0.3057851239669421,0.0,Team_00#39,stable,Team_00
68,11,0,0.1470121628767847,0.0409350824680624,0.002302010019531,0.3042137718396711,0.0,Team_00#68,stable,Team_00
84,11,0,0.1470121628767847,0.0294253839217965,0.0010792580406478,0.2940884252359662,0.0,Team_00#84,stable,Team_00
89,11,0,0.1470121628767847,0.0370423556099768,0.0021622900705538,0.3083333333333333,0.0,Team_00#89,stable,Team_00
101,11,0,0.1470121628767847,0.0390464605382358,0.0024844860478322,0.310761154855643,0.0,Team_00#101,stable,Team_00
132,11,0,0.1470121628767847,0.0452232815708104,0.0004513299979668,0.2977867203219316,0.0,Team_00#132,stable,Team_00
151,11,0,0.1470121628767847,0.0394785012049125,0.0062603501149286,0.3249176728869374,0.0,Team_00#151,stable,Team_00
266,11,0,0.1470121628767847,0.0377078238564167,0.0043881477604088,0.3170862346009641,0.0,Team_00#266,stable,Team_00
284,11,0,0.1470121628767847,0.0395750429079655,0.0062602579593396,0.3242059145673603,0.0,Team_00#284,stable,Team_00
296,11,0,0.1470121628767847,0.0414819096927315,0.00232599500918,0.30546955624355,0.6666666666666666,Team_00#296,stable,Team_00
556,11,0,0.1470121628767847,0.0363498226210142,0.00338223287795,0.3159018143009605,0.0,Team_00#556,stable,Team_00
582,11,0,0.1470121628767847,0.0397277141769428,0.0029354795550631,0.3231441048034934,0.0,Team_00#582,stable,Team_00
597,11,0,0.1470121628767847,0.0412331917013262,0.0027034015733539,0.3184507799892415,0.0,Team_00#597,stable,Team_00
639,11,0,0.1470121628767847,0.0351222515560897,0.0040471183670903,0.3120716921454929,0.3333333333333333,Team_00#639,stable,Team_00
113,12,0,0.1470121628767847,0.0387542409052294,0.0044644770433529,0.3242059145673603,0.0,Team_00#113,stable,Team_00
206,12,0,0.1470121628767847,0.0389459845255864,0.0039871489784295,0.3142250530785562,0.0,Team_00#206,stable,Team_00
283,12,0,0.1470121628767847,0.0395576833940281,0.0035689134702866,0.3234972677595628,0.3333333333333333,Team_00#283,outgoing,Team_00
395,12,0,0.1470121628767847,0.0429251508856678,0.0007554233699584,0.2998986828774063,0.0,Team_00#395,stable,Team_00
535,12,0,0.1470121628767847,0.0389387442401534,0.0015732049781786,0.2994436014162873,0.0,Team_00#535,stable,Team_00
545,12,0,0.1470121628767847,0.0411879678479499,0.0023146868088267,0.309299895506792,0.0,Team_00#545,stable,Team_00
546,12,0,0.1470121628767847,0.0390208188801659,0.0030494272531358,0.3194819212088505,0.0,Team_00#546,stable,Team_00
613,12,0,0.1470121628767847,0.0420452722641131,0.0029345454757904,0.3099476439790576,0.6666666666666666,Team_00#613,outgoing,Team_00
71,13,0,0.1470121628767847,0.0425231672521904,0.0040660799793662,0.3153969099627065,0.3333333333333333,Team_00#71,stable,Team_00
186,13,0,0.1470121628767847,0.0426333754594831,0.0042197528734287,0.3227917121046892,0.0,Team_00#186,stable,Team_00
317,13,0,0.1470121628767847,0.0404205024245034,0.0053083012063443,0.317937701396348,0.0,Team_00#317,stable,Team_00
514,13,0,0.1470121628767847,0.039029799265306,0.0041308633929847,0.3206933911159263,0.0,Team_00#514,stable,Team_00
536,13,0,0.1470121628767847,0.0533085550668429,0.0027535053391151,0.3057851239669421,0.0,Team_00#536,stable,Team_00
115,14,0,0.1470121628767847,0.0437682781186944,0.005498417361365,0.3226158038147139,0.0,Team_00#115,stable,Team_00
271,14,0,0.1470121628767847,0.0487922159553078,0.003421654121376,0.3189655172413793,0.0,Team_00#271,stable,Team_00
328,14,0,0.1470121628767847,0.0479142818023775,0.0091844753000245,0.3314669652855543,0.0,Team_00#328,stable,Team_00
481,14,0,0.1470121628767847,0.0513259432095446,0.0024481980853995,0.3210412147505423,0.0,Team_00#481,stable,Team_00
642,14,0,0.1470121628767847,0.0499606524761924,0.0029791774104321,0.3245614035087719,0.3333333333333333,Team_00#642,stable,Team_00
651,14,0,0.1470121628767847,0.041935306274201,0.0024587166544369,0.3099476439790576,0.3333333333333333,Team_00#651,incoming,Team_00
83,15,0,0.1470121628767847,0.0509541252381843,0.0088479420170508,0.3301728945900725,0.0,Team_00#83,stable,Team_00
289,15,0,0.1470121628767847,0.0460820921020879,0.006288614618166,0.3227917121046892,0.0,Team_00#289,stable,Team_00
586,15,0,0.1470121628767847,0.0552400125821049,0.0010575111267261,0.3132275132275132,0.6666666666666666,Team_00#586,stable,Team_00
657,15,0,0.1470121628767847,0.0482112641342175,0.0025322819923109,0.3073727933541018,0.6666666666666666,Team_00#657,incoming,Team_00
473,6,1,0.1727140783744557,0.0315490658022422,0.000785341978176,0.2935052057511155,0.0,Team_01#473,stable,Team_01
246,8,1,0.1727140783744557,0.0238088502976682,0.0017127290560377,0.3015792154865002,0.0,Team_01#246,stable,Team_01
463,8,1,0.1727140783744557,0.0319748644157554,0.0004704046262837,0.2974874371859296,0.0,Team_01#463,stable,Team_01
7,9,1,0.1727140783744557,0.0276870244113419,0.0013252621634795,0.2903384011770475,0.3333333333333333,Team_01#7,stable,Team_01
19,9,1,0.1727140783744557,0.0267256719887153,0.0016034932502362,0.2994436014162873,0.0,Team_01#19,stable,Team_01
59,9,1,0.1727140783744557,0.0269206194175968,0.0023436638390777,0.2977867203219316,0.0,Team_01#59,stable,Team_01
136,9,1,0.1727140783744557,0.0300477369476959,0.0023176339938109,0.3031233998975934,0.0,Team_01#136,stable,Team_01
333,9,1,0.1727140783744557,0.0274423654999493,0.0036145144950208,0.3059431524547804,0.0,Team_01#333,stable,Team_01
347,9,1,0.1727140783744557,0.0288779046310833,0.0045675743706227,0.301119023397762,0.0,Team_01#347,stable,Team_01
654,9,1,0.1727140783744557,0.027449206296589,0.0032388121770675,0.3040575243965074,0.3333333333333333,Team_01#654,incoming,Team_01
662,9,1,0.1727140783744557,0.0299891165376593,0.0015866526370992,0.2909090909090909,0.3333333333333333,Team_01#662,incoming,Team_01
20,10,1,0.1727140783744557,0.0303964469158531,0.0029907866331733,0.3028132992327366,0.0,Team_01#20,stable,Team_01
116,10,1,0.1727140783744557,0.0383302122053309,0.0018642504464852,0.3040575243965074,0.0,Team_01#116,stable,Team_01
177,10,1,0.1727140783744557,0.0300426722415048,0.0031874516047864,0.3072132848988064,0.0,Team_01#177,stable,Team_01
274,10,1,0.1727140783744557,0.0281820749439459,0.0035543690809585,0.3021949974476773,0.0,Team_01#274,stable,Team_01
281,10,1,0.1727140783744557,0.0314347643530398,0.003038285879569,0.3101100052383447,0.0,Team_01#281,stable,Team_01
389,10,1,0.1727140783744557,0.0333272787639487,0.0039618419712386,0.311578947368421,0.3333333333333333,Team_01#389,stable,Team_01
419,10,1,0.1727140783744557,0.0326989387499695,0.0027692021473578,0.3020408163265306,0.0,Team_01#419,stable,Team_01
467,10,1,0.1727140783744557,0.0358829443797202,0.0037452247314362,0.3089770354906054,0.0,Team_01#467,stable,Team_01
508,10,1,0.1727140783744557,0.0396489110005043,0.0046609675548489,0.3283416528008874,0.3333333333333333,Team_01#508,stable,Team_01
623,10,1,0.1727140783744557,0.038534742608139,0.0011386406296201,0.2951146560319043,0.3333333333333333,Team_01#623,stable,Team_01
663,10,1,0.1727140783744557,0.0329174754472978,0.0056175880867952,0.3157333333333333,0.3333333333333333,Team_01#663,incoming,Team_01
53,11,1,0.1727140783744557,0.0390458730533931,0.0039677781594905,0.3191374663072776,0.0,Team_01#53,stable,Team_01
99,11,1,0.1727140783744557,0.0386315721098186,0.0034633495052772,0.3119072708113804,0.0,Team_01#99,stable,Team_01
155,11,1,0.1727140783744557,0.0422580642337008,0.0024209621538765,0.3017329255861365,0.0,Team_01#155,stable,Team_01
238,11,1,0.1727140783744557,0.0411669315018362,0.0024898253879072,0.310272536687631,0.0,Team_01#238,stable,Team_01
329,11,1,0.1727140783744557,0.0387421897940852,0.0029722370113191,0.3049974240082432,0.3333333333333333,Team_01#329,stable,Team_01
362,11,1,0.1727140783744557,0.037145343896568,0.0057734355155483,0.3120716921454929,0.0,Team_01#362,stable,Team_01
405,11,1,0.1727140783744557,0.0307738019199861,0.0016700935939428,0.3006602336211275,0.0,Team_01#405,stable,Team_01
490,11,1,0.1727140783744557,0.0400158255319979,0.0045461404281685,0.3167469234884965,0.0,Team_01#490,stable,Team_01
509,11,1,0.1727140783744557,0.0308406304094603,0.0034563126170473,0.2958520739630185,0.0,Team_01#509,stable,Team_01
560,11,1,0.1727140783744557,0.0299192777152546,0.0023845630236404,0.2973380210949272,0.0,Team_01#560,stable,Team_01
18,12,1,0.1727140783744557,0.0394206705407866,0.0045529609667975,0.3175965665236051,0.0,Team_01#18,stable,Team_01
50,12,1,0.1727140783744557,0.0347737059543614,0.0052590766080833,0.3110877561744614,0.0,Team_01#50,stable,Team_01
67,12,1,0.1727140783744557,0.0400214828329658,0.0055295729148471,0.3104352385946513,0.0,Team_01#67,stable,Team_01
147,12,1,0.1727140783744557,0.0435826120956092,0.0027503901848142,0.308172826652785,0.0,Team_01#147,stable,Team_01
179,12,1,0.1727140783744557,0.0398537363397738,0.0022080333369237,0.2986881937436932,0.0,Team_01#179,stable,Team_01
286,12,1,0.1727140783744557,0.03834067281871,0.0050514929366247,0.3198271204754186,0.0,Team_01#286,stable,Team_01
375,12,1,0.1727140783744557,0.0378912966370043,0.0035333886574377,0.3029682702149437,0.0,Team_01#375,stable,Team_01
382,12,1,0.1727140783744557,0.0364953648602563,0.0054835704037348,0.3101100052383447,0.0,Team_01#382,stable,Team_01
526,12,1,0.1727140783744557,0.0384735646397612,0.0089250505979799,0.3327712197863968,0.0,Team_01#526,stable,Team_01
569,12,1,0.1727140783744557,0.0419198039245961,0.0051592361368844,0.3164083377872795,0.0,Team_01#569,stable,Team_01
148,13,1,0.1727140783744557,0.0477567396886897,0.0080268015552886,0.3181085437936593,0.0,Team_01#148,stable,Team_01
343,13,1,0.1727140783744557,0.0415004242642199,0.006715504356706,0.3352208380520951,0.0,Team_01#343,stable,Team_01
393,13,1,0.1727140783744557,0.0424037962907615,0.0050582371608219,0.3130618720253834,0.0,Team_01#393,stable,Team_01
458,13,1,0.1727140783744557,0.0433803249826433,0.0076221919250099,0.3243835616438356,0.0,Team_01#458,stable,Team_01
198,14,1,0.1727140783744557,0.0411284136086429,0.0086976455141228,0.3250961010433827,0.0,Team_01#198,stable,Team_01
390,14,1,0.1727140783744557,0.0395638566034473,0.0067025205244769,0.3219140837411637,0.6666666666666666,Team_01#390,outgoing,Team_01
418,14,1,0.1727140783744557,0.0412684727078737,0.0024674070397625,0.310761154855643,0.0,Team_01#418,stable,Team_01
492,14,1,0.1727140783744557,0.0430973416762941,0.0046222198435552,0.3208672086720867,0.0,Team_01#492,stable,Team_01
529,14,1,0.1727140783744557,0.0439326729741565,0.004286645648561,0.3088158581116327,0.0,Team_01#529,stable,Team_01
25,15,1,0.1727140783744557,0.0473388757164113,0.0068784795986914,0.3169164882226981,0.0,Team_01#25,stable,Team_01
127,17,1,0.1727140783744557,0.0574879188950146,0.0148560784468239,0.3392550143266475,0.0,Team_01#127,stable,Team_01
64,7,2,0.1512427287149656,0.0324846004916824,0.0007729896838405,0.2868217054263566,0.0,Team_02#64,stable,Team_02
111,7,2,0.1512427287149656,0.0212286155394935,0.0010409428355197,0.2862669245647969,0.0,Team_02#111,stable,Team_02
145,7,2,0.1512427287149656,0.0298285606666283,0.0010761725656023,0.2926347009391992,0.0,Team_02#145,stable,Team_02
491,7,2,0.1512427287149656,0.0272048127057896,0.0002466598952644,0.2859903381642512,0.0,Team_02#491,stable,Team_02
649,7,2,0.1512427287149656,0.023737908364117,0.0011828695369167,0.2910521140609636,0.3333333333333333,Team_02#649,incoming,Team_02
387,8,2,0.1512427287149656,0.0282734193922079,0.0010992702172157,0.2964446670005007,0.0,Team_02#387,stable,Team_02
442,8,2,0.1512427287149656,0.0466740096324991,0.0002862555756929,0.2983870967741935,0.0,Team_02#442,stable,Team_02
570,8,2,0.1512427287149656,0.0341581801704257,0.0022816143426089,0.3064182194616977,0.0,Team_02#570,stable,Team_02
8,9,2,0.1512427287149656,0.0417787404532549,0.0024460517193985,0.3101100052383447,0.0,Team_02#8,stable,Team_02
26,9,2,0.1512427287149656,0.0408838954645872,0.0051503006770698,0.3170862346009641,0.0,Team_02#26,stable,Team_02
377,9,2,0.1512427287149656,0.038495633130704,0.0015486918176299,0.3023493360572012,0.0,Team_02#377,stable,Team_02
469,9,2,0.1512427287149656,0.0276251521888683,0.0020691474150936,0.2994436014162873,0.0,Team_02#469,stable,Team_02
510,9,2,0.1512427287149656,0.0353742101886061,0.0043851572114542,0.3083333333333333,0.3333333333333333,Team_02#510,outgoing,Team_02
594,9,2,0.1512427287149656,0.0326388994903355,0.0037800475303713,0.3009659379766141,0.6666666666666666,Team_02#594,outgoing,Team_02
652,9,2,0.1512427287149656,0.0296364721446335,0.0027570044630836,0.2991409802930773,0.3333333333333333,Team_02#652,incoming,Team_02
82,10,2,0.1512427287149656,0.0515989420170288,0.0036105097527292,0.3187937533656435,0.0,Team_02#82,stable,Team_02
97,10,2,0.1512427287149656,0.0357977050306273,0.00268903423088,0.3064182194616977,0.0,Team_02#97,stable,Team_02
146,10,2,0.1512427287149656,0.04283814186429,0.0032849360792339,0.3181085437936593,0.0,Team_02#146,stable,Team_02
211,10,2,0.1512427287149656,0.0383005805969935,0.0021576500245489,0.3073727933541018,0.0,Team_02#211,stable,Team_02
288,10,2,0.1512427287149656,0.042620552767195,0.0017686114989654,0.3072132848988064,0.3333333333333333,Team_02#288,stable,Team_02
295,10,2,0.1512427287149656,0.0353932573127344,0.0036419465375527,0.309623430962343,0.0,Team_02#295,stable,Team_02
457,10,2,0.1512427287149656,0.039298098254487,0.0022928697684273,0.3128964059196617,0.3333333333333333,Team_02#457,stable,Team_02
505,10,2,0.1512427287149656,0.038317404299587,0.0010813046091038,0.3031233998975934,0.0,Team_02#505,stable,Team_02
