source,target,type
0,2,outandin
0,67,outandin
0,70,outandin
0,240,outandin
0,243,outgoing
0,300,outandin
0,346,outgoing
0,427,outandin
0,465,outandin
0,481,outandin
0,527,outandin
0,572,outandin
0,639,outandin
2,66,outandin
2,99,outandin
2,202,outgoing
2,239,outandin
2,243,outandin
2,333,outandin
2,471,outandin
2,508,outandin
2,627,outandin
67,32,outgoing
67,49,outgoing
67,97,outandin
67,108,outandin
67,199,outandin
67,356,outandin
67,368,outandin
67,523,outandin
70,15,outandin
70,41,outandin
70,114,outandin
70,202,outandin
70,299,outandin
70,346,outandin
70,416,outandin
70,433,outandin
70,471,outandin
70,572,outgoing
70,631,outandin
70,683,outandin
240,97,outandin
240,181,outandin
240,210,outandin
240,295,outandin
240,412,outandin
240,474,outgoing
240,560,outandin
240,614,outgoing
240,641,outandin
243,23,outandin
243,45,outandin
243,66,outandin
243,114,outandin
243,412,outandin
243,416,outandin
243,427,outgoing
243,491,outandin
243,581,outandin
243,591,outandin
243,651,outandin
300,98,outandin
300,144,outandin
300,285,outandin
300,295,outandin
300,321,outandin
300,475,outandin
300,582,outandin
346,34,outandin
346,85,outandin
346,99,outandin
346,110,outandin
346,433,outgoing
346,481,outandin
346,501,outandin
346,559,outandin
346,639,outandin
346,648,outandin
346,683,outandin
427,15,outandin
427,85,outgoing
427,144,outandin
427,284,outandin
427,316,outandin
427,419,outandin
427,508,outandin
427,558,outandin
427,560,outgoing
427,680,outgoing
465,34,outandin
465,98,outandin
465,128,outandin
465,280,outandin
465,364,outandin
465,475,outandin
465,527,outandin
465,538,outandin
465,615,outandin
481,85,outandin
481,189,outandin
481,284,outandin
481,332,outandin
481,445,outandin
481,496,outandin
481,527,outandin
481,555,outgoing
481,606,outandin
481,615,outandin
481,631,outandin
481,683,outgoing
527,85,outandin
527,169,outgoing
527,179,outandin
527,474,outandin
527,555,outandin
527,615,outandin
527,641,outandin
527,648,outandin
572,44,outandin
572,114,outandin
572,249,outandin
572,321,outandin
572,548,outandin
572,582,outgoing
572,592,outandin
639,33,outandin
639,176,outandin
639,284,outandin
639,321,outandin
639,416,outgoing
639,433,outandin
639,508,outandin
639,546,outandin
66,45,outandin
66,74,outandin
66,85,outgoing
66,99,outandin
66,169,outandin
66,249,outandin
66,277,outandin
66,364,outandin
66,471,outgoing
66,508,outandin
66,580,outandin
66,680,outandin
99,33,outandin
99,34,outgoing
99,38,outandin
99,50,outandin
99,85,outandin
99,178,outandin
99,285,outandin
99,295,outandin
99,415,outandin
99,419,outandin
99,526,outandin
99,649,outandin
202,45,outandin
202,115,outandin
202,125,outandin
202,144,outandin
202,151,outandin
202,169,outandin
202,501,outandin
202,533,outandin
202,555,outandin
202,680,outandin
239,33,outandin
239,34,outandin
239,45,outandin
239,85,outandin
239,142,outandin
239,178,outandin
239,284,outandin
239,295,outandin
239,321,outgoing
239,412,outandin
239,432,outandin
239,433,outandin
239,508,outandin
239,546,outandin
239,615,outandin
333,35,outandin
333,47,outgoing
333,86,outandin
333,309,outandin
333,374,outandin
333,379,outandin
333,431,outandin
333,503,outandin
333,573,outandin
333,714,outandin
471,82,outandin
471,178,outandin
471,284,outgoing
471,295,outandin
471,363,outandin
471,475,outandin
471,649,outgoing
471,664,outandin
508,174,outandin
508,351,outandin
508,538,outgoing
508,592,outgoing
508,649,outgoing
508,664,outandin
627,29,outgoing
627,59,outandin
627,193,outandin
627,204,outgoing
627,218,outandin
627,265,outgoing
627,482,outandin
627,536,outandin
627,565,outandin
627,621,outandin
627,698,outandin
627,703,outandin
3,82,outandin
3,93,outandin
3,132,outandin
3,355,outgoing
3,359,outandin
3,450,outandin
3,520,outandin
3,557,outgoing
3,704,outandin
82,201,outandin
82,269,outandin
82,359,outandin
82,360,outandin
82,365,outandin
82,376,outandin
82,383,outandin
82,709,outandin
93,5,outandin
93,64,outgoing
93,125,outandin
93,127,outandin
93,225,outandin
93,269,outandin
93,278,outgoing
93,378,outandin
93,630,outandin
132,40,outandin
132,135,outandin
132,215,outandin
132,267,outandin
132,298,outgoing
132,341,outandin
132,352,outandin
132,384,outandin
132,625,outandin
132,702,outandin
355,159,outandin
355,173,outandin
355,219,outandin
355,378,outandin
355,450,outandin
355,460,outandin
355,563,outandin
355,630,outandin
355,633,outandin
355,635,outandin
359,44,outandin
359,159,outandin
359,248,outandin
359,365,outandin
359,420,outandin
359,506,outandin
359,520,outandin
359,628,outandin
359,635,outandin
359,704,outandin
450,87,outandin
450,127,outgoing
450,259,outandin
450,348,outgoing
450,573,outandin
450,626,outandin
450,670,outandin
520,84,outandin
520,172,outandin
520,173,outgoing
520,607,outandin
520,659,outandin
520,670,outandin
520,704,outandin
557,44,outandin
557,84,outgoing
557,172,outandin
557,219,outandin
557,286,outandin
557,305,outandin
557,420,outandin
557,517,outgoing
557,586,outandin
557,602,outandin
557,635,outandin
557,686,outandin
704,19,outandin
704,84,outandin
704,225,outandin
704,259,outandin
704,278,outandin
704,350,outandin
704,357,outandin
704,534,outandin
704,649,outandin
704,670,outandin
704,684,outandin
4,40,outgoing
4,47,outandin
4,87,outandin
4,201,outandin
4,256,outandin
4,320,outgoing
4,424,outandin
4,541,outandin
4,576,outgoing
4,637,outandin
40,9,outandin
40,11,outandin
40,42,outandin
40,135,outandin
40,257,outandin
40,298,outgoing
40,356,outgoing
40,458,outandin
40,585,outandin
40,637,outandin
40,717,outandin
47,120,outandin
47,140,outandin
47,190,outandin
47,205,outandin
47,319,outandin
