source,target,type
0,5,outandin
0,134,outandin
0,174,outgoing
0,177,outandin
0,326,outandin
0,409,outandin
0,458,outandin
0,521,outandin
5,159,outgoing
5,222,outandin
5,286,outandin
5,326,outandin
5,409,outandin
5,422,outandin
5,435,incoming
5,472,outandin
5,527,incoming
5,568,outandin
5,642,outandin
134,71,incoming
134,96,outandin
134,180,outandin
134,288,outandin
134,346,outandin
134,379,outandin
134,491,outandin
134,546,incoming
134,566,outandin
134,569,outandin
134,658,incoming
174,9,outandin
174,22,outandin
174,49,outandin
174,114,incoming
174,159,outandin
174,238,outgoing
174,279,outandin
174,384,outandin
174,409,outandin
174,446,outandin
174,568,outandin
174,650,incoming
174,666,outandin
177,31,outandin
177,72,outandin
177,141,outandin
177,195,incoming
177,244,outandin
177,255,outandin
177,315,outandin
177,377,outandin
177,385,outandin
177,480,outandin
326,159,incoming
326,165,outandin
326,203,outandin
326,226,outandin
326,308,incoming
326,559,outgoing
409,114,outandin
409,127,outandin
409,168,outandin
409,279,outandin
409,308,incoming
409,389,outandin
409,429,outandin
409,443,outandin
409,631,outandin
458,19,outandin
458,22,outandin
458,167,stable
458,168,outandin
458,308,outandin
458,320,outandin
458,347,outandin
458,356,outandin
458,357,outandin
458,485,incoming
458,521,outandin
458,552,outandin
458,601,outandin
521,22,outandin
521,64,outandin
521,136,outandin
521,168,outandin
521,400,outandin
521,552,outandin
521,567,outgoing
1,45,incoming
1,69,outandin
1,94,outandin
1,108,outandin
1,125,outgoing
1,268,outandin
1,270,outgoing
1,339,outgoing
1,361,outandin
1,554,outgoing
1,662,outandin
45,85,outandin
45,95,outandin
45,108,outandin
45,340,outgoing
45,343,outandin
45,378,outandin
45,394,outandin
45,487,outandin
45,532,incoming
45,577,outandin
69,26,outandin
69,89,outandin
69,125,outandin
69,189,outandin
69,193,incoming
69,246,outandin
69,304,outandin
69,327,outandin
69,394,outandin
69,503,outandin
94,62,outandin
94,122,outandin
94,187,outgoing
94,281,outandin
94,311,outandin
94,362,outandin
94,404,outandin
94,420,outandin
94,468,outandin
94,496,outandin
94,506,outandin
108,20,outgoing
108,146,outandin
108,235,outandin
108,281,outandin
108,304,outandin
108,427,outandin
108,532,outandin
108,557,outandin
125,95,outandin
125,115,outgoing
125,239,outandin
125,336,outandin
125,492,outandin
125,647,outandin
268,9,outandin
268,14,outandin
268,61,outandin
268,77,outandin
268,111,outandin
268,140,outgoing
268,166,outandin
268,245,incoming
