source,target,type
0,68,incoming
0,101,outgoing
0,115,outandin
0,155,outgoing
0,169,outandin
0,207,outandin
0,264,outandin
0,345,outandin
0,415,outandin
0,468,outandin
0,526,outandin
68,90,outgoing
68,115,incoming
68,120,outandin
68,155,outandin
68,199,incoming
68,272,outandin
68,353,outgoing
68,394,outandin
68,410,outandin
68,450,outandin
68,467,outandin
68,468,outandin
68,564,incoming
101,25,outandin
101,30,outandin
101,45,outandin
101,90,outgoing
101,151,outandin
101,199,incoming
101,241,outandin
101,468,outandin
101,469,outandin
101,559,incoming
101,568,outandin
115,117,outandin
115,172,outandin
115,207,outandin
115,227,outandin
115,338,outandin
115,353,outgoing
115,452,outgoing
115,469,outandin
115,527,outandin
115,606,outandin
155,46,outandin
155,169,outandin
155,207,outandin
155,415,outandin
155,450,outgoing
155,495,outandin
155,558,outandin
155,564,outgoing
155,597,outandin
169,146,outandin
169,187,outandin
169,207,outandin
169,220,outandin
169,259,outandin
169,285,outandin
169,407,outandin
169,521,outandin
169,573,incoming
207,15,outandin
207,199,outandin
207,233,outgoing
207,257,outandin
207,285,outgoing
207,344,outandin
207,353,stable
207,450,outandin
207,501,outandin
264,117,outandin
264,120,outandin
264,132,outandin
264,139,outgoing
264,252,outandin
264,376,outandin
264,434,outandin
264,501,outandin
264,598,outandin
264,608,outandin
345,70,outgoing
345,71,outandin
345,88,outandin
345,104,outandin
345,163,outandin
345,218,outandin
345,327,outandin
345,532,outandin
345,538,incoming
415,46,incoming
415,132,outandin
415,325,outandin
415,344,outandin
415,354,outandin
415,414,outandin
415,468,outgoing
415,484,outandin
415,621,outandin
468,19,outandin
468,54,outandin
468,276,outandin
468,376,outandin
468,484,outandin
468,570,stable
468,602,outandin
526,97,outgoing
526,138,outandin
526,189,outandin
526,208,outandin
526,250,outandin
526,288,outandin
526,296,outandin
526,308,outandin
526,312,outandin
526,325,outandin
526,531,incoming
526,550,outandin
1,24,outandin
1,57,incoming
1,117,outandin
1,204,outandin
1,337,outandin
1,349,outandin
1,399,outandin
1,470,outandin
1,479,outandin
1,630,outandin
24,15,outandin
24,89,outandin
24,204,outandin
24,259,outgoing
24,292,outgoing
24,366,outandin
24,384,stable
24,385,outandin
24,460,outandin
24,472,incoming
24,479,outandin
24,509,outgoing
57,13,outandin
57,136,outgoing
57,178,outandin
57,259,stable
57,286,outandin
57,366,outandin
57,470,outgoing
57,568,outandin
117,19,outandin
117,100,outandin
117,120,outandin
117,151,outgoing
117,241,outandin
117,248,outandin
117,287,outandin
117,293,outandin
117,560,outandin
117,570,incoming
117,602,outandin
117,628,outandin
117,635,outandin
204,13,incoming
204,20,outandin
204,43,outandin
204,78,outandin
204,219,stable
204,441,incoming
204,448,outandin
204,470,outandin
204,545,outandin
204,607,outandin
337,11,outandin
337,47,outgoing
337,236,outandin
337,291,outandin
337,384,outandin
337,435,outandin
337,441,outandin
337,448,outandin
337,483,outgoing
337,513,outandin
337,545,incoming
349,61,outandin
349,63,outandin
349,86,outandin
349,150,outandin
349,175,outandin
349,254,outandin
349,352,outandin
349,379,outandin
349,423,outandin
349,461,outandin
349,480,outgoing
349,497,outgoing
349,555,outgoing
349,583,outandin
349,630,outandin
399,47,outgoing
399,126,outandin
399,236,outgoing
399,259,outandin
399,286,outandin
399,330,outandin
399,365,outandin
399,384,outandin
399,514,outandin
399,525,outandin
470,47,outandin
