source,target,type
0,5,outandin
0,83,outandin
0,142,outandin
0,187,outandin
0,231,outandin
0,237,outandin
0,480,outandin
0,524,outandin
0,568,outandin
0,577,outandin
0,616,outandin
5,46,outandin
5,80,outandin
5,109,outandin
5,153,outandin
5,182,outandin
5,308,outandin
5,454,outandin
5,469,outandin
5,471,outandin
5,535,outandin
5,659,outandin
83,109,outandin
83,154,outgoing
83,172,outandin
83,234,outgoing
83,245,outgoing
83,426,outandin
83,480,outandin
83,514,outgoing
83,659,outandin
83,696,outandin
142,34,outgoing
142,42,outgoing
142,56,outgoing
142,82,outandin
142,124,outandin
142,129,outgoing
142,154,outgoing
142,186,outandin
142,213,outandin
142,237,outandin
142,282,outandin
142,616,outandin
142,663,outandin
187,63,outandin
187,153,outandin
187,231,outandin
187,429,outandin
187,463,outandin
187,524,outandin
187,535,outandin
187,645,outandin
187,663,outandin
187,690,outandin
187,710,outandin
187,717,outandin
231,44,outandin
231,117,outandin
231,203,outandin
231,282,outandin
231,463,outandin
231,514,outandin
231,535,outandin
237,42,outandin
237,56,outandin
237,209,outandin
237,234,outandin
237,285,outandin
237,506,outandin
237,636,outandin
237,690,outandin
480,44,outandin
480,82,outgoing
480,124,outandin
480,236,outandin
480,365,outandin
480,512,outandin
480,514,outandin
480,568,outandin
480,684,outandin
524,23,outandin
524,41,outandin
524,153,outandin
524,182,outandin
524,251,outandin
524,441,outandin
524,514,outandin
524,535,outgoing
524,568,outandin
524,617,outandin
568,10,outandin
568,44,outandin
568,90,outandin
568,230,outandin
568,365,outandin
568,426,outandin
568,477,outandin
568,510,outandin
568,605,outandin
568,659,outandin
568,664,outandin
568,696,outandin
577,42,outandin
577,213,outgoing
577,285,outandin
577,406,outgoing
577,426,outandin
577,497,outandin
577,535,outandin
577,632,outandin
577,663,outandin
577,685,outandin
577,696,outandin
616,82,outandin
616,234,outandin
616,366,outandin
616,463,outandin
616,520,outandin
616,659,outandin
616,663,outandin
616,684,outandin
1,3,outandin
1,88,outandin
1,89,outandin
1,254,outandin
1,316,outgoing
1,331,outandin
1,343,outandin
1,353,outandin
1,637,outgoing
1,660,outandin
1,702,outandin
3,11,outandin
3,89,outandin
3,330,outandin
3,338,outandin
3,390,outandin
3,459,outandin
3,652,outandin
3,674,outandin
3,690,outandin
88,11,outandin
88,35,outandin
88,49,outgoing
88,89,outandin
88,192,outandin
88,269,outandin
88,383,outgoing
88,623,outandin
88,645,outandin
88,668,outandin
89,167,outandin
89,171,outandin
89,203,outandin
89,385,outandin
89,393,outandin
89,509,outandin
89,620,outandin
89,704,outandin
89,709,outandin
254,25,outandin
254,124,outandin
254,175,outandin
254,200,outandin
254,245,outandin
254,285,outandin
254,366,outandin
254,413,outandin
254,454,outandin
254,469,outandin
254,497,outandin
254,710,outandin
316,49,outandin
316,159,outandin
316,167,outandin
316,219,outandin
316,251,outandin
316,281,outandin
316,385,outandin
316,390,outandin
316,489,outandin
316,665,outgoing
331,49,outgoing
331,117,outandin
331,277,outandin
331,298,outandin
331,562,outandin
331,569,outandin
331,629,outandin
331,674,outandin
331,702,outandin
343,35,outgoing
343,186,outandin
343,251,outandin
343,258,outandin
343,300,outandin
343,391,outandin
343,445,outandin
343,667,outandin
343,704,outandin
353,49,outandin
353,145,outandin
353,179,outandin
353,298,outgoing
353,330,outandin
353,445,outandin
353,459,outandin
353,581,outandin
353,591,outandin
353,633,outandin
353,691,outandin
637,197,outandin
637,203,outandin
637,221,outandin
637,330,outandin
637,620,outandin
637,623,outandin
660,6,outandin
660,197,outandin
660,242,outandin
660,354,outgoing
660,362,outgoing
660,368,outandin
660,377,outandin
660,393,outandin
660,633,outandin
660,665,outandin
702,117,outandin
702,145,outandin
702,167,outandin
702,298,outandin
702,300,outandin
702,354,outandin
702,445,outandin
702,454,outandin
702,509,outandin
2,168,outandin
2,170,outandin
2,291,outgoing
2,400,outandin
2,415,outgoing
2,431,outandin
2,451,outandin
2,528,outandin
2,609,outandin
2,610,outandin
2,693,outandin
168,15,outandin
168,107,outandin
168,137,outandin
168,190,outandin
168,288,outandin
168,360,outandin
168,369,outandin
168,370,outgoing
168,372,outandin
168,578,outgoing
168,591,outandin
168,610,outandin
168,626,outandin
170,15,outandin
170,190,outandin
170,241,outandin
170,284,outandin
170,304,outandin
170,379,outandin
170,382,outandin
170,462,outandin
170,556,outandin
170,589,outandin
170,609,outandin
170,610,outgoing
170,714,outandin
291,14,outandin
291,15,outandin
291,93,outandin
291,370,outandin
291,419,outandin
291,515,outgoing
291,556,outandin
291,578,outandin
291,626,outandin
291,670,outandin
400,110,outandin
400,120,outandin
400,173,outandin
400,255,outgoing
400,422,outandin
400,569,outandin
400,612,outandin
400,635,outandin
400,643,outgoing
400,679,outgoing
415,145,outandin
415,296,outandin
415,304,outgoing
415,394,outandin
415,515,outandin
415,556,outandin
415,626,outandin
431,29,outandin
431,32,outandin
431,33,outandin
431,100,outandin
431,360,outgoing
431,370,outandin
431,419,outandin
431,498,outandin
431,528,outandin
431,578,outgoing
431,715,outandin
451,31,outandin
451,284,outandin
451,370,outgoing
451,394,outandin
451,419,outandin
451,527,outandin
451,601,outandin
451,609,outandin
451,670,outandin
528,10,outandin
528,28,outandin
528,38,outandin
528,50,outandin
528,241,outandin
528,361,outandin
528,369,outandin
528,394,outgoing
528,539,outandin
528,591,outandin
528,609,outandin
609,96,outandin
609,288,outandin
609,304,outandin
609,308,outandin
609,319,outandin
609,363,outandin
609,375,outandin
609,501,outgoing
609,503,outandin
609,515,outgoing
609,517,outandin
609,527,outandin
609,539,outandin
610,14,outandin
610,126,outandin
610,137,outandin
610,294,outandin
610,296,outandin
610,312,outandin
610,363,outandin
610,386,outgoing
610,501,outandin
610,503,outandin
610,589,outandin
610,626,outandin
693,185,outandin
693,201,outandin
693,227,outandin
693,277,outandin
693,549,outandin
693,597,outandin
693,638,outandin
11,8,outandin
11,16,outandin
11,38,outandin
11,81,outandin
11,209,outandin
11,282,outandin
11,283,outandin
11,443,outandin
11,590,outgoing
11,641,outandin
11,668,outandin
330,197,outandin
330,271,outandin
330,359,outandin
330,383,outandin
330,534,outandin
330,553,outandin
330,665,outgoing
338,117,outandin
338,203,outandin
338,219,outandin
338,258,outandin
338,302,outandin
338,450,outandin
338,459,outandin
338,563,outandin
338,593,outandin
338,623,outandin
390,49,outandin
390,148,outandin
390,192,outandin
390,197,outandin
390,215,outandin
390,258,outgoing
390,667,outandin
390,709,outandin
459,35,outandin
459,192,outandin
459,324,outandin
459,445,outandin
459,450,outandin
459,488,outandin
459,601,outandin
459,628,outandin
459,665,outandin
652,49,outandin
652,145,outandin
652,197,outandin
652,258,outandin
652,337,outandin
652,354,outandin
652,368,outgoing
652,393,outgoing
652,488,outandin
652,509,outandin
652,572,outandin
652,704,outandin
652,709,outandin
674,24,outandin
674,35,outgoing
674,94,outandin
674,167,outandin
674,219,outandin
674,488,outgoing
674,538,outandin
674,547,outandin
674,665,outandin
690,6,outandin
690,90,outandin
690,129,outandin
690,213,outandin
690,463,outandin
690,497,outandin
690,586,outandin
690,658,outandin
4,43,outandin
4,86,outandin
4,260,outandin
4,358,outandin
4,460,outgoing
4,477,outandin
4,506,outandin
4,513,outandin
4,544,outandin
4,564,outandin
4,593,outandin
4,621,outandin
4,694,outandin
4,712,outandin
43,53,outandin
43,118,outandin
43,151,outandin
43,283,outgoing
43,466,outandin
43,588,outandin
43,590,outandin
43,701,outandin
86,55,outgoing
86,102,outandin
86,134,outgoing
86,148,outandin
86,206,outgoing
86,224,outandin
86,278,outandin
86,325,outandin
86,396,outandin
86,613,outgoing
260,100,outandin
260,127,outandin
260,268,outandin
260,346,outandin
260,374,outandin
260,396,outgoing
260,407,outandin
260,484,outandin
358,7,outandin
358,130,outgoing
358,244,outandin
358,251,outandin
358,268,outandin
358,278,outandin
358,699,outandin
460,12,outandin
460,211,outandin
460,374,outandin
460,419,outandin
460,449,outandin
460,484,outandin
460,653,outandin
460,694,outandin
477,6,outandin
477,8,outandin
477,56,outandin
477,82,outandin
477,326,outandin
477,357,outandin
477,370,outandin
477,426,outandin
477,514,outgoing
477,522,outandin
477,593,outandin
477,617,outandin
477,677,outandin
506,148,outandin
506,189,outandin
506,244,outandin
506,259,outandin
506,319,outandin
506,325,outandin
506,608,outandin
513,7,outandin
513,28,outandin
513,30,outandin
513,235,outandin
513,407,outandin
513,484,outgoing
513,485,outandin
513,536,outandin
513,613,outandin
513,648,outandin
513,653,outandin
513,669,outgoing
544,159,outandin
544,205,outandin
544,225,outandin
544,268,outandin
544,377,outandin
544,379,outandin
544,391,outandin
544,402,outandin
544,499,outandin
544,536,outandin
544,613,outandin
544,699,outandin
544,712,outandin
564,20,outandin
564,121,outgoing
564,149,outandin
564,199,outandin
564,294,outandin
564,302,outandin
564,448,outgoing
564,550,outandin
564,572,outandin
564,582,outgoing
564,601,outgoing
564,654,outandin
564,713,outandin
593,47,outandin
593,245,outgoing
593,365,outandin
593,497,outandin
593,700,outandin
593,710,outandin
621,10,outandin
621,148,outandin
621,188,outandin
621,194,outandin
621,311,outandin
621,375,outandin
621,430,outandin
621,478,outandin
621,653,outandin
694,164,outandin
694,190,outandin
694,378,outandin
694,478,outandin
694,484,outandin
694,520,outandin
694,669,outandin
712,30,outandin
712,130,outandin
712,224,outandin
712,268,outandin
712,499,outandin
712,669,outandin
46,34,outandin
46,154,outandin
46,366,outandin
46,512,outandin
46,537,outandin
46,624,outandin
46,659,outandin
46,663,outandin
46,677,outandin
46,684,outandin
80,131,outandin
80,194,outandin
80,351,outandin
80,384,outandin
80,399,outgoing
80,414,outgoing
80,450,outandin
80,518,outandin
80,603,outandin
80,630,outandin
80,634,outandin
80,647,outandin
80,654,outandin
109,44,outandin
109,62,outandin
109,90,outandin
109,172,outgoing
109,182,outandin
109,315,outandin
109,463,outandin
109,671,outandin
153,42,outandin
153,44,outgoing
153,154,outandin
153,245,outandin
153,285,outandin
153,341,outandin
153,375,outandin
153,429,outandin
153,463,outandin
153,497,outandin
153,578,outandin
153,684,outandin
182,41,outandin
182,172,outandin
182,234,outandin
182,302,outandin
182,341,outandin
182,464,outandin
182,710,outandin
308,304,outandin
308,382,outandin
308,419,outandin
308,503,outgoing
308,517,outandin
308,589,outandin
454,56,outgoing
454,164,outandin
454,315,outandin
454,341,outandin
454,366,outandin
454,469,outgoing
454,629,outandin
454,658,outgoing
454,663,outandin
454,677,outandin
469,41,outandin
469,213,outandin
469,234,outandin
469,354,outandin
469,514,outandin
469,658,outandin
469,663,outandin
469,677,outandin
471,97,outandin
471,242,outandin
471,258,outandin
471,336,outandin
471,383,outandin
471,628,outandin
471,691,outandin
535,90,outgoing
535,341,outandin
535,426,outgoing
535,514,outandin
535,666,outandin
535,671,outandin
659,23,outandin
659,154,outandin
659,172,outandin
659,605,outgoing
659,717,outandin
6,28,outandin
6,54,outandin
6,213,outandin
6,315,outandin
6,429,outgoing
6,503,outandin
6,589,outandin
6,696,outandin
6,710,outandin
28,25,outgoing
28,208,outandin
28,290,outandin
28,448,outgoing
28,449,outandin
28,508,outandin
28,552,outandin
28,654,outandin
28,697,outandin
54,94,outandin
54,144,outandin
54,190,outandin
54,326,outandin
54,397,outandin
54,457,outandin
54,643,outandin
54,645,outandin
54,658,outandin
54,668,outandin
54,688,outandin
213,124,outandin
213,129,outandin
213,341,outandin
213,367,outandin
213,378,outandin
213,429,outandin
213,522,outandin
213,596,outandin
213,684,outandin
315,172,outandin
315,319,outandin
315,366,outandin
315,522,outandin
315,677,outandin
315,682,outandin
429,341,outgoing
429,579,outandin
429,605,outandin
429,658,outgoing
429,671,outandin
503,32,outandin
503,96,outandin
503,126,outandin
503,256,outandin
503,304,outandin
503,527,outandin
503,560,outandin
589,38,outandin
589,288,outandin
589,296,outgoing
589,319,outandin
589,369,outandin
589,449,outandin
589,656,outandin
589,669,outandin
696,245,outandin
696,285,outandin
696,326,outandin
696,327,outandin
696,463,outandin
696,658,outandin
696,664,outandin
710,394,outandin
710,406,outandin
710,664,outandin
7,19,outandin
7,102,outandin
7,125,outandin
7,148,outandin
7,211,outandin
7,356,outandin
7,580,outandin
7,595,outandin
7,717,outandin
19,30,outandin
19,55,outgoing
