source,target,type
0,10,outandin
0,94,outandin
0,173,incoming
0,361,outandin
0,396,outandin
0,470,outandin
0,490,outgoing
0,535,outandin
0,547,outandin
10,45,outandin
10,204,outandin
10,378,outandin
10,413,outandin
10,433,incoming
10,452,outandin
10,497,outgoing
10,525,outandin
10,537,outandin
10,560,outandin
94,86,outandin
94,212,outandin
94,247,incoming
94,336,outandin
94,544,outandin
94,550,incoming
173,71,outandin
173,108,outandin
173,163,outandin
173,256,outgoing
173,368,outandin
173,435,outandin
173,552,outandin
173,585,outandin
173,599,outandin
361,86,outandin
361,144,outgoing
361,176,outandin
361,287,outandin
361,355,outandin
361,449,outandin
361,470,outandin
361,525,outgoing
361,534,outandin
361,558,outandin
396,144,outandin
396,267,outandin
396,274,outandin
396,301,outandin
396,350,outandin
396,357,outandin
396,462,outgoing
396,488,outandin
396,518,outandin
396,535,outandin
396,589,outandin
396,601,outandin
470,45,outandin
470,171,incoming
470,177,outandin
470,224,outandin
470,282,outgoing
470,328,incoming
470,488,outandin
470,490,outandin
490,8,outandin
490,143,outandin
490,171,incoming
490,193,incoming
490,296,outandin
490,298,incoming
490,433,outandin
490,449,incoming
490,494,outandin
490,525,outandin
490,535,outandin
490,581,outgoing
490,601,outandin
535,63,outandin
535,86,outandin
535,179,incoming
535,204,outandin
535,247,stable
535,296,outandin
535,301,outandin
535,403,outgoing
535,462,incoming
535,516,outandin
547,45,outgoing
547,111,outgoing
547,143,outandin
547,155,outandin
547,300,outandin
547,410,outandin
547,449,outgoing
547,463,outandin
547,497,outandin
547,521,outandin
547,531,outandin
547,537,outandin
547,581,outandin
547,599,outandin
1,19,outandin
1,32,outandin
1,33,outandin
1,238,outandin
1,244,outandin
1,276,outandin
1,425,outgoing
1,499,incoming
1,501,outandin
1,517,outandin
1,596,outandin
1,603,outandin
19,83,outgoing
19,109,outandin
19,232,outandin
19,285,outandin
19,486,incoming
19,499,outgoing
19,504,outandin
32,25,outandin
32,50,outandin
32,98,incoming
32,164,incoming
32,188,outandin
32,273,incoming
32,466,outandin
