source,target,type
0,38,outgoing
0,75,outandin
0,173,incoming
0,183,outandin
0,195,outandin
0,234,outandin
0,263,outgoing
0,322,outandin
0,357,outandin
0,383,outandin
0,398,outgoing
0,408,outandin
0,434,outandin
0,462,incoming
38,85,outandin
38,92,outandin
38,93,outandin
38,129,outandin
38,144,outandin
38,224,outandin
38,246,incoming
38,300,outandin
38,321,outandin
38,340,outgoing
38,389,outandin
38,421,outandin
38,466,outandin
38,583,outgoing
38,613,outandin
75,152,outandin
75,188,outandin
75,246,outandin
75,282,incoming
75,318,outandin
75,340,outandin
75,418,outandin
75,639,outandin
173,132,outandin
173,171,outandin
173,180,outandin
173,181,outandin
173,353,outandin
173,360,outandin
173,399,outandin
173,420,outandin
173,561,outgoing
173,605,outgoing
183,104,outandin
183,175,outandin
183,195,outandin
183,223,outgoing
183,281,outgoing
183,318,outandin
183,330,outandin
183,498,outandin
183,613,outgoing
195,121,outandin
195,144,outandin
195,203,outandin
195,411,outandin
195,498,outandin
195,554,outandin
195,641,outandin
195,642,outandin
234,72,outandin
234,118,outandin
234,128,outgoing
234,144,outandin
234,224,outgoing
234,318,incoming
234,434,outandin
234,438,outandin
234,498,outandin
234,508,outandin
234,544,outandin
234,545,outandin
234,577,outandin
234,622,incoming
263,101,outandin
263,118,outandin
263,282,incoming
263,318,outandin
263,338,outandin
263,404,outandin
263,433,outandin
263,613,incoming
322,12,outandin
322,115,incoming
322,230,outandin
322,275,outandin
322,301,outandin
322,314,outgoing
322,346,outandin
322,380,incoming
322,468,outandin
322,491,incoming
322,564,outgoing
322,604,outandin
322,614,outandin
357,7,outandin
357,72,outgoing
357,246,outandin
357,285,outandin
357,321,outandin
357,408,outandin
357,457,outandin
357,544,outandin
357,622,outandin
383,134,outandin
383,208,outandin
383,210,outandin
383,295,outandin
383,309,stable
383,374,incoming
383,394,outandin
383,536,outandin
383,555,outandin
383,592,outandin
398,7,outandin
398,92,outandin
398,99,incoming
398,220,outandin
398,281,outandin
398,318,outandin
398,340,outandin
398,498,stable
398,532,outandin
398,554,outandin
398,642,outandin
408,37,outandin
408,82,outandin
408,101,outandin
408,144,outandin
408,165,outandin
408,382,outandin
408,462,outandin
408,533,stable
408,573,outandin
408,642,incoming
434,72,outandin
434,92,outandin
434,103,outandin
434,118,outandin
434,152,outandin
434,246,outandin
434,508,outandin
434,583,outandin
434,593,outandin
434,642,outandin
462,64,outandin
462,103,outandin
462,162,outandin
462,223,outandin
462,285,outandin
462,330,outandin
462,338,outandin
462,389,incoming
462,454,outandin
462,533,outandin
462,623,outandin
462,629,outandin
1,101,outandin
1,123,outgoing
1,198,outandin
1,210,outgoing
1,311,outandin
1,374,outandin
1,388,outandin
1,401,outgoing
1,413,outandin
1,435,incoming
1,490,outandin
1,523,outandin
1,555,outandin
1,633,outandin
101,14,outandin
101,198,incoming
101,219,outandin
101,280,outandin
101,306,outandin
101,413,outandin
101,435,stable
101,437,outandin
101,450,outandin
101,592,outgoing
123,114,outandin
123,148,outandin
123,156,outandin
123,178,outandin
123,199,outandin
123,291,outandin
123,407,outandin
123,423,outandin
123,607,incoming
198,2,outandin
198,14,outandin
198,148,outandin
198,204,outandin
198,306,outandin
198,386,outgoing
198,388,outandin
198,403,outandin
198,435,outandin
198,512,outandin
198,516,outandin
210,124,incoming
210,151,outandin
210,224,outandin
210,373,outandin
210,374,outandin
210,407,outandin
210,479,outandin
311,111,incoming
311,171,outandin
311,325,outandin
311,327,outandin
311,416,outandin
311,550,outandin
311,630,outandin
374,74,incoming
374,114,incoming
374,151,incoming
374,204,outandin
374,208,outandin
374,403,outandin
374,407,outandin
374,441,outandin
374,516,outgoing
374,555,incoming
388,37,outandin
388,151,outandin
388,177,outandin
388,208,outandin
388,242,outandin
388,280,outgoing
388,291,outandin
388,401,outandin
388,428,outandin
388,450,stable
388,607,outandin
401,124,outandin
401,158,outandin
401,251,outandin
401,394,outgoing
401,435,outandin
401,441,incoming
401,529,outandin
413,51,outandin
413,84,outandin
413,147,incoming
413,165,outgoing
413,228,outandin
413,241,outandin
413,262,outandin
413,270,outandin
413,321,outandin
413,342,outandin
413,422,outandin
413,526,outandin
413,556,outandin
435,40,outandin
435,114,outandin
435,124,incoming
435,148,outandin
435,151,outandin
435,177,outandin
435,269,outandin
435,523,outandin
435,607,outandin
490,48,outandin
490,55,outandin
490,140,outandin
490,147,outandin
490,371,outandin
490,380,outgoing
490,390,outandin
490,491,outandin
490,524,outandin
490,568,incoming
490,571,outandin
490,572,outandin
490,634,outandin
523,291,outandin
523,295,stable
523,299,outandin
523,384,outandin
523,403,incoming
523,437,outandin
523,512,outandin
523,529,incoming
523,620,outandin
555,3,incoming
555,280,outandin
