source,target,type
2,141,outandin
2,161,outandin
2,117,outandin
2,67,outandin
2,102,outgoing
2,18,outgoing
141,18,outandin
141,56,outandin
141,77,outandin
141,80,outandin
141,102,outandin
141,109,outandin
141,117,incoming
141,133,incoming
141,193,outandin
141,160,outandin
141,174,outandin
161,129,outandin
161,127,incoming
161,96,outandin
161,195,outgoing
161,153,incoming
161,53,incoming
161,193,outandin
117,56,incoming
117,65,outandin
117,80,outandin
117,90,outgoing
117,155,outgoing
117,133,outgoing
117,96,outgoing
117,102,
117,67,outandin
67,18,outgoing
67,40,outandin
67,50,
67,166,outandin
67,153,outandin
67,193,outgoing
67,53,incoming
67,127,outandin
67,90,outandin
67,129,outandin
67,180,outandin
102,56,outandin
102,80,outgoing
102,88,outandin
102,90,outgoing
102,133,outgoing
102,81,outandin
102,129,outandin
102,155,outandin
102,193,incoming
102,160,outandin
102,182,outandin
18,96,incoming
18,31,outandin
18,193,outandin
18,180,outgoing
18,68,outandin
18,88,outandin
18,90,outandin
4,195,outandin
4,40,incoming
4,180,outandin
4,50,incoming
4,153,outandin
4,116,outandin
195,58,outandin
195,180,
195,182,outgoing
195,193,outgoing
195,119,outandin
40,119,outandin
40,50,outandin
40,166,outandin
40,153,outandin
180,88,outgoing
180,119,outandin
180,116,outandin
180,182,outgoing
50,31,outandin
50,153,outgoing
50,127,outandin
50,96,outandin
50,116,outgoing
50,119,outgoing
50,166,outgoing
50,191,outandin
153,53,incoming
153,81,outandin
153,96,incoming
153,116,outandin
153,119,incoming
153,127,incoming
153,193,outandin
153,166,
153,191,outandin
116,31,outandin
116,193,outandin
116,53,incoming
116,166,outandin
116,127,outandin
7,37,outandin
7,184,outandin
7,51,outgoing
7,187,outgoing
7,124,outgoing
7,70,outgoing
7,22,outgoing
7,34,outandin
7,38,outandin
7,55,outandin
37,22,outandin
37,187,outandin
37,184,outandin
37,51,outandin
37,124,outandin
37,75,outandin
37,70,
184,21,
184,22,incoming
184,38,outandin
184,51,outandin
184,70,
184,73,incoming
184,75,outgoing
184,79,incoming
184,124,outandin
184,130,incoming
184,137,outgoing
184,165,outgoing
184,187,outandin
51,34,outgoing
51,98,outandin
51,187,outgoing
51,124,outgoing
51,70,outandin
51,75,outandin
51,137,outgoing
51,138,incoming
51,165,outgoing
51,170,outandin
51,177,outgoing
187,21,outandin
187,34,outgoing
187,38,outandin
187,69,outandin
187,70,outgoing
187,75,outandin
187,82,outandin
187,98,outandin
187,121,outandin
187,124,
187,130,outgoing
187,138,outandin
124,22,outandin
124,55,outandin
124,70,outandin
124,75,outandin
124,85,outandin
124,98,outandin
124,177,outandin
8,83,incoming
8,131,
8,14,incoming
8,84,incoming
8,106,incoming
8,47,
8,25,outandin
8,28,
8,57,
8,60,outandin
8,132,
8,135,
8,154,
83,28,outgoing
83,78,
83,79,outandin
83,120,outandin
83,131,outgoing
83,84,outandin
83,106,outandin
83,87,outgoing
131,9,outgoing
131,14,
131,28,
131,47,
131,57,outgoing
131,62,
131,78,
131,84,
131,106,
131,120,outandin
131,132,outgoing
131,135,outgoing
131,154,outgoing
131,183,
14,9,outandin
14,106,
14,183,incoming
14,135,outandin
14,84,
14,120,outandin
14,28,
14,62,incoming
14,78,outandin
14,87,outandin
84,78,
84,106,
84,87,outandin
84,183,
106,9,incoming
106,28,outgoing
106,62,incoming
106,78,outgoing
106,87,outandin
106,183,
106,135,outandin
106,120,outandin
106,143,outandin
47,154,
47,132,
47,57,
47,60,incoming
9,135,
9,183,outgoing
9,62,outgoing
9,143,outandin
9,194,outgoing
135,183,outgoing
135,194,outandin
183,143,outgoing
183,194,incoming
62,28,incoming
62,132,outgoing
62,143,outgoing
62,194,incoming
12,113,outandin
12,177,outandin
12,85,outandin
12,169,outandin
12,66,outandin
12,103,outandin
113,19,incoming
113,25,incoming
113,33,outgoing
113,61,outgoing
113,66,outandin
113,103,outandin
113,104,outandin
113,167,outandin
113,149,outandin
113,145,outandin
113,140,outandin
113,158,outandin
113,170,outandin
177,72,outandin
177,85,outgoing
177,66,outandin
85,58,outandin
85,72,outandin
85,79,outgoing
85,158,outandin
85,98,outandin
85,103,
169,15,outandin
169,19,outandin
169,35,incoming
169,66,outandin
169,72,outandin
169,128,outandin
169,149,outandin
169,158,outandin
169,168,outandin
169,33,outandin
66,61,incoming
66,128,outandin
66,98,outandin
66,170,outandin
66,167,outandin
103,170,outandin
103,19,outandin
103,33,outandin
103,104,outandin
120,87,outandin
120,78,outandin
120,167,outandin
120,143,outandin
120,194,outandin
15,35,outandin
15,168,outandin
15,128,outandin
15,68,outandin
15,30,incoming
35,29,outandin
35,168,outandin
35,128,outandin
35,68,outandin
