source,target,type
2536,3622,incoming
2536,5822,incoming
2536,3842,incoming
2536,1775,incoming
2536,2770,incoming
2536,3154,incoming
2536,1177,incoming
2536,1120,incoming
2536,1482,incoming
2536,1409,incoming
3622,5822,incoming
3622,3842,incoming
3622,1775,incoming
3622,2770,incoming
5822,3842,incoming
5822,1775,incoming
5822,2770,incoming
3842,1775,incoming
3842,2770,incoming
3842,4179,incoming
3842,4346,incoming
3842,4673,incoming
3842,3154,incoming
3842,1177,incoming
3842,1120,incoming
3842,1482,incoming
3842,1409,incoming
1775,2770,incoming
1775,4179,incoming
1775,4346,incoming
1775,4673,incoming
1775,3154,incoming
1775,1177,incoming
1775,1120,incoming
1775,1482,incoming
1775,1409,incoming
2770,3154,incoming
2770,1177,incoming
2770,1120,incoming
2770,1482,incoming
2770,1409,incoming
5689,5880,incoming
5689,2153,incoming
5689,3971,incoming
5689,2821,incoming
5689,1429,incoming
5689,1182,incoming
5689,4407,incoming
5880,2153,incoming
5880,3971,incoming
2153,3971,incoming
3971,4841,incoming
3971,969,incoming
3971,1130,incoming
3971,4407,incoming
3971,1713,incoming
3971,4923,incoming
6607,6064,incoming
6607,1850,incoming
6607,4179,incoming
6607,2541,incoming
6607,4673,incoming
6064,1850,incoming
6064,4179,incoming
6064,2541,incoming
6064,4673,incoming
1850,4179,incoming
1850,2541,incoming
1850,4673,incoming
1850,2109,incoming
1850,746,incoming
1850,4984,incoming
1850,123,incoming
1850,35,incoming
1850,3258,incoming
1850,973,incoming
1850,5283,incoming
4179,2541,incoming
4179,4673,
4179,4346,incoming
4179,4660,incoming
4179,62,incoming
4179,4574,incoming
4179,5286,incoming
4179,4221,incoming
2541,4673,incoming
4673,2109,incoming
4673,746,incoming
4673,4346,incoming
4673,4660,incoming
4673,62,incoming
4673,4984,incoming
4673,123,incoming
4673,35,incoming
4673,3258,incoming
4673,973,incoming
4673,5283,incoming
4673,4574,incoming
4673,5286,incoming
4673,4221,incoming
2681,1020,incoming
2681,2836,incoming
