node,centrality,community,density,name,type,betwness,closeness,eign,volatility,anchor_name
2,7,0,0,Alicia Spinnet,outgoing,0.004523809523809524,0.6153846153846154,0.2851795387606117,2,Gryffindor
3,7,0,0,Angelina Johnson,outgoing,0.004523809523809524,0.6153846153846154,0.2851795387606117,2,Gryffindor
8,1,2,0,Cho Chang,incoming,0.0,0.48484848484848486,0.05168095501305627,2,Ravenclaw
11,6,0,0,Dean Thomas,outgoing,0.059722222222222225,0.6153846153846154,0.1704727557922603,4,Gryffindor
19,8,0,0,Fred Weasley,,0.010634920634920636,0.64,0.3137166706716962,5,Gryffindor
20,8,0,0,George Weasley,,0.010634920634920636,0.64,0.3137166706716962,5,Gryffindor
21,6,0,0,Ginny Weasley,,0.004166666666666667,0.5925925925925926,0.24980978649584204,4,Gryffindor
25,14,0,0,Harry James Potter,,0.40944444444444444,0.8888888888888888,0.4007261300228375,5,Gryffindor
26,8,0,0,Hermione Granger,,0.013055555555555555,0.64,0.3149648919863175,5,Gryffindor
29,5,0,0,Katie Bell,outgoing,0.0,0.5517241379310345,0.20615772082865605,3,Gryffindor
31,4,0,0,Lavender Brown,outandin,0.013492063492063494,0.5161290322580645,0.09989692693761285,1,Gryffindor
44,6,0,0,Neville Longbottom,,0.015873015873015872,0.6153846153846154,0.21708313000381046,5,Gryffindor
45,2,0,0,Oliver Wood,outgoing,0.0,0.5161290322580645,0.10027367164944191,1,Gryffindor
50,3,0,0,Parvati Patil,outandin,0.0,0.41025641025641024,0.056855236533667954,1,Gryffindor
52,1,0,0,Percy Weasley,,0.0,0.48484848484848486,0.05168095501305627,4,Gryffindor
56,12,0,0,Ronald Weasley,,0.20253968253968252,0.8,0.3767799636769158,5,Gryffindor
58,6,0,0,Seamus Finnigan,outgoing,0.059722222222222225,0.6153846153846154,0.17047275579226026,4,Gryffindor
