source,target,type
11,25,outgoing
11,56,outandin
11,58,outandin
12,21,outandin
12,25,outandin
12,27,outandin
14,23,outgoing
14,63,outgoing
19,20,outgoing
19,25,outgoing
19,26,outgoing
20,25,outgoing
21,25,outgoing
21,26,outgoing
21,44,outgoing
21,56,outgoing
23,63,outgoing
25,26,outgoing
25,29,outgoing
25,32,outandin
25,35,outgoing
25,44,outgoing
25,56,outgoing
25,58,outgoing
26,29,outandin
26,32,outandin
26,35,outgoing
26,56,outgoing
29,32,outandin
29,56,outandin
31,56,outandin
32,56,outandin
35,44,outgoing
44,56,outgoing
56,58,outandin
