source,target,type
0,60,outgoing
0,232,outandin
0,243,outandin
0,314,outandin
0,373,incoming
0,410,outandin
0,547,outandin
0,558,outandin
0,677,outandin
0,695,incoming
0,743,outandin
60,99,incoming
60,194,incoming
60,262,outandin
60,310,outgoing
60,326,outandin
60,361,outandin
60,548,outandin
60,618,outandin
60,636,outandin
60,686,outandin
60,736,outandin
232,112,outandin
232,137,outandin
232,156,outandin
232,202,outandin
232,203,outandin
232,382,incoming
232,419,outandin
232,428,outandin
232,491,outgoing
232,493,outandin
232,517,outandin
243,226,outandin
243,310,incoming
243,334,incoming
243,502,outandin
243,558,outandin
243,563,outandin
243,686,outandin
314,231,incoming
314,348,incoming
314,394,outandin
314,485,outandin
314,532,outandin
314,598,outandin
314,709,outandin
314,726,incoming
314,747,incoming
373,82,outandin
373,169,outandin
373,226,outandin
373,287,outandin
373,465,outandin
373,502,outandin
373,533,outandin
373,546,incoming
410,194,outandin
410,226,outandin
410,229,outandin
410,327,outandin
410,349,outandin
410,351,outandin
410,361,outandin
410,420,outgoing
410,429,outgoing
410,500,outandin
410,657,outandin
547,98,incoming
547,99,outandin
547,127,outandin
547,239,outandin
547,310,outandin
547,324,outandin
547,420,outandin
547,429,outandin
547,471,outandin
547,502,outandin
547,543,outandin
547,573,outgoing
558,98,outandin
558,122,outandin
558,263,outandin
558,307,outandin
558,324,outandin
558,326,outandin
558,349,outandin
558,471,outandin
558,734,outandin
677,169,stable
677,177,outandin
677,194,outandin
677,218,incoming
677,262,outandin
677,267,outgoing
677,324,outandin
677,440,outandin
677,462,outandin
677,514,outandin
677,702,outandin
695,78,outandin
695,345,outandin
695,361,outandin
695,406,outgoing
695,453,outandin
695,471,stable
695,523,outandin
695,618,outandin
695,665,outandin
695,707,outandin
743,10,outandin
743,101,incoming
743,119,outandin
743,162,outandin
743,283,outandin
743,479,outandin
743,617,outandin
743,693,outandin
743,722,outandin
1,46,outandin
1,115,outandin
1,119,outgoing
1,156,outandin
1,203,outandin
1,390,outandin
1,456,outandin
1,570,outandin
1,740,outandin
46,4,outandin
46,7,outgoing
46,17,outandin
46,75,stable
46,112,outandin
46,122,outandin
46,149,incoming
46,184,outandin
46,211,outandin
46,676,outandin
46,740,outandin
115,149,outgoing
115,162,outandin
115,225,outandin
115,303,outandin
115,367,outandin
115,419,outandin
115,517,outandin
115,553,outandin
115,605,outgoing
115,693,outandin
119,7,outandin
119,30,outandin
119,33,outandin
119,259,outandin
119,287,outandin
119,382,outandin
119,472,incoming
119,476,outandin
119,717,outandin
156,75,outandin
156,101,outandin
156,149,outandin
156,184,outandin
156,304,outandin
156,322,outandin
156,365,outandin
156,382,outgoing
156,476,outandin
156,491,outandin
156,600,outandin
156,717,outandin
203,75,outgoing
203,157,incoming
203,162,outandin
203,224,outandin
203,321,outandin
390,9,outandin
390,194,outandin
390,229,outandin
390,236,outandin
390,249,outandin
390,251,outandin
390,274,outandin
390,352,outandin
390,404,outandin
390,426,outgoing
390,481,outandin
390,495,outgoing
390,696,outandin
390,731,outandin
456,100,outandin
456,174,incoming
456,322,incoming
456,345,incoming
456,382,outandin
456,444,outandin
456,476,outandin
456,553,outandin
456,585,outandin
456,676,outgoing
456,722,outandin
570,36,outandin
570,52,outandin
570,140,incoming
570,161,outandin
570,179,incoming
570,240,outandin
570,291,outandin
570,376,outandin
570,411,outandin
570,501,outandin
570,548,outgoing
570,577,outandin
570,606,outgoing
570,645,outandin
570,698,outandin
570,744,incoming
740,149,outandin
740,157,outandin
740,444,outandin
740,475,outandin
740,517,outandin
740,520,outandin
740,714,outandin
2,19,outandin
2,117,outandin
2,142,outandin
2,302,outandin
2,311,outandin
2,381,incoming
2,385,outandin
2,388,outandin
2,423,outgoing
2,463,outandin
2,567,outandin
2,610,outandin
19,12,outandin
19,50,outandin
19,242,outandin
19,252,outandin
19,296,outandin
19,316,incoming
19,387,outgoing
19,403,outandin
19,463,outandin
19,505,outandin
19,724,outandin
117,34,outandin
117,90,outandin
117,103,outandin
117,110,outandin
117,266,outgoing
117,315,outandin
117,423,incoming
117,430,outandin
117,543,outandin
117,610,outandin
142,36,incoming
142,245,outandin
142,316,incoming
142,330,outandin
142,350,incoming
142,519,outandin
142,564,outandin
142,583,outandin
142,645,outandin
142,687,incoming
142,713,outgoing
302,11,outandin
302,15,outandin
302,31,outandin
302,145,outandin
302,211,outandin
302,246,incoming
302,266,outandin
302,403,outandin
302,430,outandin
302,432,outandin
302,595,outandin
302,621,outandin
302,646,outandin
302,715,outandin
311,143,outandin
311,204,outandin
311,296,outandin
311,365,outandin
311,428,outandin
311,491,outandin
311,517,outandin
311,520,outandin
311,553,outgoing
311,585,outandin
311,717,outandin
381,84,outgoing
381,124,outandin
381,246,outandin
381,258,outandin
381,359,outandin
381,399,outandin
381,552,outandin
381,553,outandin
381,595,outandin
381,599,outandin
385,84,outandin
385,110,stable
385,134,outandin
385,246,outgoing
385,478,incoming
385,635,outandin
385,675,outandin
385,685,incoming
385,706,outandin
385,738,outandin
388,50,outandin
388,87,outandin
388,132,outgoing
388,367,outandin
388,415,outandin
388,432,outandin
388,508,outandin
388,530,outandin
388,739,outandin
423,124,outandin
423,316,outandin
423,399,outandin
423,425,incoming
423,518,outandin
423,534,outandin
423,595,outgoing
423,700,outandin
463,103,outandin
463,387,outandin
463,425,outandin
463,470,outandin
463,615,incoming
567,39,outgoing
567,143,outandin
567,190,outandin
567,201,outandin
567,422,outandin
567,497,outandin
567,507,outandin
567,588,incoming
567,615,outandin
610,25,outandin
610,112,outandin
610,165,stable
610,250,outandin
610,337,incoming
610,403,outandin
610,526,outandin
610,721,outandin
3,4,outandin
3,175,outandin
3,218,outandin
3,279,outandin
3,296,incoming
3,305,outandin
3,402,outandin
3,407,outandin
3,441,outandin
3,469,outandin
3,519,outandin
3,579,outandin
3,699,outandin
3,713,outandin
4,36,outandin
4,116,outandin
4,279,outandin
4,378,outandin
4,511,outandin
4,611,outandin
4,673,outandin
4,699,outandin
4,733,outandin
175,20,outandin
175,61,incoming
175,316,outandin
175,403,outandin
175,434,outandin
175,469,outandin
175,579,outandin
175,687,outandin
218,78,outandin
218,108,outandin
218,194,outgoing
218,197,outandin
218,307,outandin
218,393,outandin
218,453,outgoing
218,462,outandin
218,543,outandin
218,546,outandin
218,702,outandin
279,61,outgoing
279,166,outandin
279,168,outandin
279,296,outgoing
279,516,outandin
279,563,outandin
279,602,outandin
279,699,outandin
296,47,outandin
296,57,outandin
296,73,outandin
296,88,outandin
296,350,stable
296,389,outandin
296,407,outandin
296,586,incoming
296,594,outandin
296,689,outandin
296,699,outandin
296,713,outandin
305,20,outandin
305,61,outandin
305,77,incoming
305,220,outandin
305,493,outandin
305,586,outandin
305,737,outandin
402,24,outandin
402,34,incoming
402,51,stable
402,254,outandin
402,661,outandin
402,683,incoming
407,59,outgoing
407,88,outandin
407,202,outandin
407,283,outgoing
407,316,outandin
407,389,outandin
407,394,outandin
407,564,incoming
407,602,stable
441,12,outandin
441,72,outandin
441,105,outandin
441,153,outandin
441,190,outandin
441,225,outandin
441,353,outandin
441,557,outandin
441,591,outandin
441,597,outandin
441,683,outandin
469,20,outgoing
469,133,outandin
469,233,outandin
469,316,outandin
469,434,outandin
469,468,incoming
469,504,outandin
469,511,outandin
519,47,outandin
519,57,outandin
519,59,outandin
519,166,outandin
519,283,outandin
519,337,outandin
519,350,outandin
519,497,outandin
519,699,outandin
519,736,outandin
579,20,incoming
579,38,outandin
579,88,outandin
579,330,incoming
579,511,outandin
579,563,outgoing
579,699,outandin
579,736,outandin
699,55,outandin
699,116,outandin
699,130,outgoing
699,389,outandin
699,435,outandin
713,36,outandin
713,61,incoming
713,88,incoming
713,151,outandin
713,259,outandin
713,330,incoming
713,511,outandin
713,611,outandin
713,687,outgoing
36,38,outandin
36,47,outandin
36,55,incoming
36,57,incoming
36,61,outandin
36,164,outandin
36,245,outandin
36,350,outandin
36,434,outandin
36,511,incoming
36,586,outgoing
116,11,outandin
116,179,outandin
116,185,outandin
116,204,outandin
116,229,outandin
116,352,outandin
116,398,outandin
116,495,outandin
116,722,outandin
378,97,outandin
378,155,incoming
378,295,outandin
378,354,outandin
378,452,outgoing
378,598,outandin
378,704,outandin
