source,target,type
2,6,outandin
2,138,outandin
2,232,outandin
2,408,outandin
2,448,outandin
2,515,outandin
2,532,outandin
2,537,outandin
2,567,incoming
2,583,outandin
2,611,outandin
6,31,outandin
6,96,outandin
6,117,outgoing
6,216,outandin
6,219,outandin
6,307,outandin
6,325,outandin
6,566,outandin
6,588,outandin
6,626,outandin
6,721,outandin
138,143,outandin
138,214,incoming
138,270,outandin
138,426,incoming
138,537,outandin
138,574,outandin
138,648,incoming
138,702,outandin
232,30,outandin
232,143,outandin
232,145,outandin
232,180,outandin
232,230,outandin
232,269,outandin
232,312,outandin
232,315,incoming
232,342,outandin
232,403,outandin
232,537,outandin
232,570,outandin
232,617,outandin
232,627,incoming
232,658,outandin
232,662,outandin
232,721,outandin
408,30,outandin
408,31,incoming
408,150,outgoing
408,194,outandin
408,230,outandin
408,305,outandin
408,307,outandin
408,517,outandin
408,532,outandin
408,588,outandin
408,609,outandin
408,611,outandin
408,624,outgoing
408,721,outandin
448,65,outandin
448,143,outandin
448,191,outandin
448,204,outandin
448,269,outandin
448,307,outandin
448,521,outandin
448,570,incoming
448,607,incoming
448,721,outandin
515,145,outandin
515,230,outgoing
515,269,outandin
515,325,outandin
515,342,outandin
515,348,outandin
515,420,outandin
515,426,outandin
515,517,outandin
515,522,outandin
515,553,outandin
515,703,incoming
532,31,outandin
532,179,outandin
532,191,outandin
532,214,outandin
532,219,outandin
532,241,outandin
532,270,incoming
532,312,incoming
532,342,outandin
532,420,outandin
532,567,outandin
532,638,outandin
532,722,outandin
537,31,outandin
537,230,outandin
537,262,outandin
537,292,incoming
537,342,outgoing
537,367,outandin
537,467,outandin
537,549,outandin
537,550,incoming
537,567,outandin
567,61,outandin
567,117,outandin
567,287,outandin
567,312,incoming
567,315,outandin
567,317,outandin
567,325,outandin
567,431,outandin
567,518,incoming
567,588,outandin
567,627,outandin
567,658,outandin
567,711,outandin
583,10,incoming
583,43,outandin
583,103,incoming
583,211,outandin
583,277,outandin
583,282,outandin
583,301,outandin
583,366,outgoing
583,385,outgoing
583,444,incoming
583,529,outandin
611,216,outandin
611,219,outandin
611,363,incoming
611,367,outandin
611,420,outandin
611,658,outgoing
611,721,outandin
3,92,outandin
3,209,outandin
3,241,outandin
3,459,outandin
3,521,incoming
3,562,outandin
3,627,outandin
3,647,outandin
92,28,outandin
92,53,outgoing
92,151,stable
92,352,outandin
92,428,outandin
92,512,outgoing
92,634,incoming
92,729,outandin
209,201,outandin
209,298,outandin
209,343,incoming
209,347,outandin
209,368,outandin
209,509,outgoing
209,540,outandin
209,562,incoming
209,595,outandin
209,613,outandin
241,7,outandin
241,18,outandin
241,130,incoming
241,157,outandin
241,290,outandin
241,321,outandin
241,338,outandin
241,351,outandin
241,370,outgoing
241,533,outandin
241,570,outandin
241,613,outandin
241,639,outandin
459,109,outandin
459,135,outandin
459,151,outandin
459,156,incoming
459,256,outandin
459,319,outgoing
459,368,incoming
459,432,outandin
459,518,outandin
459,598,outandin
459,729,outandin
521,46,outandin
521,64,outandin
521,132,outandin
521,287,outandin
521,293,outandin
521,334,outandin
521,343,outgoing
521,540,outandin
521,592,outandin
521,615,outandin
521,634,incoming
521,665,outandin
521,726,outandin
562,110,outandin
562,114,incoming
562,146,outandin
562,256,outandin
562,379,outandin
562,435,outandin
562,512,outgoing
627,65,outandin
627,214,stable
627,325,outandin
627,348,outandin
627,403,outgoing
627,648,outandin
627,666,incoming
647,18,outandin
647,81,outandin
647,130,outandin
647,134,outandin
647,146,outandin
647,169,outgoing
647,200,outgoing
647,335,outandin
647,338,outandin
647,351,outandin
647,481,outandin
647,566,outandin
647,625,outandin
647,639,outandin
4,51,outandin
4,133,outandin
4,148,outandin
4,236,outandin
4,309,outandin
4,336,outandin
4,400,incoming
4,623,outandin
4,686,outandin
51,219,outandin
51,263,outgoing
51,320,outandin
51,345,outandin
51,407,outgoing
51,523,outandin
51,542,outandin
51,582,outgoing
51,594,outandin
51,739,outandin
133,41,outandin
133,72,outandin
133,194,outandin
133,217,outandin
133,262,outandin
133,276,outandin
133,318,outandin
133,331,outandin
133,362,incoming
133,625,outandin
133,628,outandin
148,126,outandin
148,173,incoming
148,194,outandin
148,203,outandin
148,224,outandin
148,268,outandin
148,388,outandin
148,530,outandin
148,552,outandin
148,553,outandin
148,587,outandin
148,631,outandin
148,637,outandin
236,87,outandin
236,194,outandin
236,224,outandin
236,331,outgoing
236,384,outandin
236,412,outandin
309,41,outandin
309,121,outandin
309,194,outgoing
309,203,incoming
309,224,outandin
309,275,outandin
309,300,outandin
309,305,outandin
309,400,outandin
336,77,outandin
336,126,outgoing
336,158,outandin
336,162,outgoing
336,213,outandin
336,394,outandin
336,399,outandin
336,400,incoming
336,718,outandin
336,724,outandin
400,11,outandin
400,18,outandin
400,115,outandin
400,362,incoming
400,379,outandin
400,469,outandin
400,536,incoming
400,637,incoming
623,28,outandin
623,109,outandin
623,120,outgoing
623,137,outandin
623,293,outandin
623,593,outandin
623,621,outandin
623,671,outandin
623,726,outandin
686,84,outandin
686,424,outandin
686,504,outandin
686,673,outandin
686,678,outandin
686,687,outandin
686,700,outandin
686,701,outandin
686,705,outandin
686,707,outandin
686,711,outandin
686,712,outandin
31,61,outgoing
31,65,outandin
31,96,outandin
31,108,outandin
31,204,outandin
31,458,outandin
31,506,outandin
31,648,outandin
31,721,outandin
96,61,outandin
96,145,outandin
96,180,outandin
96,191,incoming
96,214,outandin
96,270,incoming
96,292,outandin
96,342,outandin
96,367,outandin
96,390,outandin
96,426,outandin
96,721,outandin
117,191,outandin
117,219,outandin
117,318,outandin
117,351,outandin
117,372,outandin
117,420,incoming
117,426,outandin
117,443,outandin
117,585,outandin
117,666,outandin
117,695,outandin
216,61,outandin
216,65,incoming
216,66,outandin
216,150,outandin
216,307,outandin
216,563,outandin
219,191,outandin
219,367,outgoing
219,624,outandin
219,658,incoming
219,721,outandin
307,150,outandin
307,549,outandin
307,626,outandin
325,65,outandin
325,132,outandin
325,270,outandin
325,312,outandin
325,458,outgoing
