source,target,type
1,74,outandin
1,188,outandin
1,353,outandin
1,417,outandin
1,439,outgoing
1,494,outandin
1,552,outandin
1,605,outandin
1,619,outandin
1,628,outandin
1,679,outandin
74,36,outandin
74,68,outgoing
74,149,outandin
74,334,outandin
74,348,outandin
74,525,outandin
74,557,outgoing
74,726,outandin
74,727,outgoing
188,4,outandin
188,95,outandin
188,232,outandin
188,243,outandin
188,286,outandin
188,457,outandin
188,482,outandin
188,525,outandin
188,541,outandin
188,605,outgoing
188,629,outandin
188,710,outandin
353,39,outgoing
353,83,outandin
353,95,outandin
353,232,outandin
353,293,outandin
353,391,outandin
353,411,outandin
353,552,outandin
353,619,outandin
353,682,outandin
417,50,outgoing
417,116,outandin
417,330,outandin
417,343,outandin
417,420,outandin
417,454,outandin
417,506,outandin
417,508,outgoing
417,613,outandin
417,686,outandin
417,699,outandin
417,711,outandin
439,4,outgoing
439,39,outandin
439,95,outandin
439,135,outandin
439,237,outandin
439,391,outandin
439,482,outandin
439,552,outandin
439,619,outandin
439,661,outgoing
439,710,outandin
494,37,outandin
494,42,outandin
494,252,outandin
494,291,outandin
494,308,outandin
494,313,outgoing
494,336,outandin
494,377,outgoing
494,432,outandin
494,443,outandin
494,555,outandin
494,569,outandin
494,584,outandin
494,759,outandin
552,83,outandin
552,232,outandin
552,347,outandin
552,466,outandin
552,475,outandin
552,510,outandin
552,609,outandin
605,34,outandin
605,113,outandin
605,259,outandin
605,300,outandin
605,391,outandin
605,525,outandin
605,546,outandin
605,617,outgoing
605,707,outandin
619,59,outandin
619,111,outandin
619,113,outandin
619,257,outandin
619,331,outandin
619,347,outandin
619,352,outandin
619,456,outgoing
619,617,outandin
619,661,outgoing
619,769,outandin
628,37,outgoing
628,169,outandin
628,211,outandin
628,212,outandin
628,298,outandin
628,312,outandin
628,432,outandin
628,485,outandin
628,540,outandin
628,752,outandin
679,668,outandin
679,669,outandin
679,676,outandin
679,682,outandin
679,686,outandin
679,691,outandin
679,694,outgoing
679,699,outandin
679,709,outandin
679,755,outandin
679,756,outandin
2,212,outandin
2,276,outandin
2,326,outandin
2,336,outgoing
2,411,outandin
2,435,outandin
2,651,outgoing
2,730,outandin
2,758,outandin
212,160,outandin
212,163,outandin
212,309,outandin
212,492,outandin
212,601,outandin
212,634,outandin
276,37,outandin
276,61,outandin
276,108,outandin
276,194,outandin
276,326,outandin
276,607,outandin
276,617,outandin
276,674,outandin
326,65,outandin
326,291,outandin
326,335,outandin
326,336,outandin
326,607,outandin
326,608,outandin
326,634,outandin
326,651,outgoing
336,262,outgoing
336,351,outandin
336,367,outgoing
336,642,outandin
336,751,outandin
411,34,outandin
411,86,outandin
411,95,outandin
411,111,outandin
411,193,outandin
411,272,outandin
411,309,outandin
411,311,outandin
411,456,outgoing
411,457,outandin
411,482,outandin
411,498,outandin
411,769,outandin
435,251,outandin
435,273,outandin
435,306,outandin
435,396,outandin
435,462,outandin
435,474,outandin
435,484,outandin
435,518,outgoing
435,536,outandin
435,616,outgoing
435,649,outandin
435,719,outandin
435,748,outandin
651,251,outandin
651,291,outandin
651,312,outandin
651,350,outgoing
651,751,outandin
651,752,outandin
651,767,outandin
730,65,outandin
730,110,outandin
730,169,outandin
730,219,outandin
730,271,outandin
730,291,outgoing
730,298,outandin
730,308,outandin
730,361,outandin
730,404,outandin
730,481,outandin
730,642,outandin
730,750,outandin
730,758,outandin
758,110,outandin
758,160,outandin
758,203,outandin
758,279,outandin
758,298,outandin
758,312,outandin
758,313,outandin
758,350,outandin
758,361,outandin
758,653,outandin
3,130,outandin
3,147,outandin
3,245,outandin
3,290,outandin
3,359,outandin
3,402,outandin
3,600,outandin
3,615,outandin
3,727,outandin
3,732,outandin
130,37,outandin
130,63,outandin
130,160,outandin
130,163,outandin
130,194,outandin
130,278,outgoing
130,309,outandin
130,321,outandin
130,531,outandin
130,561,outandin
130,578,outandin
147,149,outandin
147,246,outandin
147,289,outandin
147,290,outandin
147,334,outandin
147,359,outandin
147,388,outandin
147,485,outandin
147,557,outandin
147,600,outandin
147,732,outandin
147,763,outandin
147,764,outandin
245,55,outandin
245,252,outandin
245,298,outandin
245,359,outandin
245,363,outandin
245,388,outandin
245,444,outandin
245,489,outandin
245,566,outandin
245,718,outgoing
245,723,outgoing
290,334,outandin
290,376,outandin
290,402,outandin
290,470,outandin
290,530,outandin
290,553,outandin
290,557,outandin
290,566,outandin
290,595,outandin
359,289,outandin
359,334,outandin
359,431,outandin
359,432,outandin
359,470,outandin
359,595,outandin
359,723,outandin
359,728,outandin
359,732,outandin
402,66,outandin
402,68,outandin
402,70,outandin
402,366,outandin
402,444,outandin
402,530,outandin
402,603,outgoing
402,615,outgoing
600,48,outandin
600,246,outgoing
600,309,outandin
600,334,outandin
600,396,outandin
600,553,outandin
600,603,outandin
600,615,outgoing
600,718,outgoing
615,48,outandin
615,262,outandin
615,366,outandin
615,444,outandin
615,566,outandin
615,595,outandin
615,723,outandin
727,249,outandin
727,369,outandin
727,412,outandin
727,566,outandin
727,595,outandin
727,652,outandin
727,676,outandin
727,723,outgoing
727,732,outandin
727,738,outandin
732,334,outandin
732,388,outgoing
732,444,outandin
732,470,outandin
732,530,outgoing
732,578,outandin
732,718,outandin
4,113,outgoing
4,192,outandin
4,293,outgoing
4,352,outandin
4,376,outgoing
4,525,outandin
4,544,outandin
4,626,outgoing
4,643,outandin
113,135,outandin
113,230,outandin
113,270,outandin
113,457,outandin
113,466,outandin
113,496,outandin
113,510,outandin
113,661,outandin
192,484,outandin
192,560,outandin
192,586,outgoing
192,633,outandin
192,647,outandin
192,695,outandin
192,742,outandin
192,760,outandin
293,232,outandin
293,305,outandin
293,347,outandin
293,378,outandin
293,461,outandin
293,510,outandin
293,525,outandin
293,709,outandin
352,34,outandin
352,83,outandin
352,86,outgoing
352,131,outandin
352,305,outandin
352,376,outgoing
352,445,outgoing
352,466,outandin
352,617,outandin
352,661,outandin
376,83,outgoing
376,95,outandin
376,131,outandin
376,270,outandin
376,482,outandin
376,490,outandin
376,609,outandin
376,631,outandin
376,643,outandin
376,739,outandin
525,86,outandin
525,95,outandin
525,131,outandin
525,142,outandin
525,305,outandin
525,347,outandin
525,371,outandin
525,466,outgoing
525,490,outandin
525,729,outandin
544,59,outandin
544,81,outandin
544,172,outgoing
544,198,outgoing
544,518,outandin
544,541,outandin
544,577,outandin
544,607,outandin
544,641,outgoing
544,650,outandin
544,726,outandin
626,34,outandin
626,39,outandin
626,46,outandin
626,305,outandin
626,443,outandin
626,456,outandin
626,482,outgoing
643,86,outandin
643,196,outandin
643,305,outandin
643,347,outandin
643,443,outandin
643,609,outandin
643,661,outgoing
10,170,outandin
10,223,outandin
10,240,outandin
10,247,outgoing
10,260,outandin
10,341,outandin
10,410,outandin
10,464,outandin
10,545,outandin
10,722,outandin
10,733,outgoing
170,40,outandin
170,204,outandin
170,247,outandin
170,260,outandin
170,307,outandin
170,341,outandin
170,418,outandin
170,723,outandin
223,129,outandin
223,204,outandin
223,308,outandin
223,341,outandin
223,427,outandin
223,542,outandin
223,587,outandin
223,644,outandin
223,714,outandin
240,22,outandin
240,154,outandin
240,160,outandin
240,244,outandin
240,250,outandin
240,281,outandin
240,324,outandin
240,425,outandin
240,598,outandin
