node,centrality,community,density,eign,betwness,closeness,volatility,name,type,anchor_name
191,7,0,0.1496562665256478,0.0227921658459338,0.0006599131224306,0.2907766990291262,0.0,Team_00#191,incoming,Team_00
72,8,0,0.1496562665256478,0.0237247151411448,0.0009486491318266,0.2874280230326295,0.0,Team_00#72,incoming,Team_00
224,8,0,0.1496562665256478,0.0289468460302432,0.0004343405579817,0.2942043222003929,0.0,Team_00#224,incoming,Team_00
237,8,0,0.1496562665256478,0.0260643047984753,0.002900607597909,0.3215244229736983,0.0,Team_00#237,incoming,Team_00
527,8,0,0.1496562665256478,0.0247307738043549,0.0004998406539519,0.2939156035328754,0.3333333333333333,Team_00#527,outandin,Team_00
1,9,0,0.1496562665256478,0.0256026107846051,0.0004312917283296,0.2959486166007905,0.0,Team_00#1,incoming,Team_00
36,9,0,0.1496562665256478,0.0266662931529965,0.001344603635201,0.2960949085516559,0.3333333333333333,Team_00#36,incoming,Team_00
119,9,0,0.1496562665256478,0.0290465891219622,0.0033265653647084,0.3098810139679255,0.3333333333333333,Team_00#119,incoming,Team_00
201,9,0,0.1496562665256478,0.0305591252334208,0.001011007631509,0.2990514228657014,0.0,Team_00#201,incoming,Team_00
208,9,0,0.1496562665256478,0.0277485283857854,0.0016821583724969,0.2931962799804209,0.0,Team_00#208,incoming,Team_00
275,9,0,0.1496562665256478,0.030089090478035,0.0011675100830176,0.3057682491066871,0.0,Team_00#275,incoming,Team_00
412,9,0,0.1496562665256478,0.0345805983252306,0.0007934471595954,0.2968285431119921,0.0,Team_00#412,incoming,Team_00
424,9,0,0.1496562665256478,0.03013337168216,0.0011391465723689,0.3034447821681864,0.0,Team_00#424,incoming,Team_00
455,9,0,0.1496562665256478,0.0254599034694161,0.002545273868746,0.3053007135575943,0.0,Team_00#455,incoming,Team_00
9,10,0,0.1496562665256478,0.0306530633434597,0.003206846771404,0.3097207859358842,0.3333333333333333,Team_00#9,incoming,Team_00
20,10,0,0.1496562665256478,0.0312402221975891,0.0042368435170346,0.3186170212765957,0.3333333333333333,Team_00#20,incoming,Team_00
23,10,0,0.1496562665256478,0.0313871066995564,0.0037661409325811,0.3016112789526687,0.0,Team_00#23,incoming,Team_00
135,10,0,0.1496562665256478,0.030253895759562,0.002913197537645,0.3063938618925831,0.0,Team_00#135,incoming,Team_00
162,10,0,0.1496562665256478,0.0314457183644526,0.0031658099084054,0.3098810139679255,0.6666666666666666,Team_00#162,outandin,Team_00
185,10,0,0.1496562665256478,0.0319012952362367,0.0027786143542928,0.3028311425682508,0.0,Team_00#185,incoming,Team_00
215,10,0,0.1496562665256478,0.0328635413649989,0.0057178908186262,0.3174350821409645,0.0,Team_00#215,incoming,Team_00
218,10,0,0.1496562665256478,0.0332465303810506,0.0005668019091704,0.299949924887331,0.0,Team_00#218,incoming,Team_00
303,10,0,0.1496562665256478,0.0305247970798587,0.0049565775906374,0.3269650655021834,0.0,Team_00#303,incoming,Team_00
341,10,0,0.1496562665256478,0.0278623795701963,0.0028734377424815,0.3111688311688311,0.0,Team_00#341,incoming,Team_00
375,10,0,0.1496562665256478,0.0320264438189718,0.0053795117015501,0.3211796246648793,0.6666666666666666,Team_00#375,incoming,Team_00
503,10,0,0.1496562665256478,0.0319261005450901,0.0011081680670318,0.2983067729083665,0.0,Team_00#503,incoming,Team_00
550,10,0,0.1496562665256478,0.035025943882948,0.0016964603242125,0.3037525354969574,0.0,Team_00#550,incoming,Team_00
561,10,0,0.1496562665256478,0.0318984868338312,0.0011068389039961,0.2986041874376869,0.0,Team_00#561,incoming,Team_00
41,11,0,0.1496562665256478,0.031918417291601,0.0013474874304916,0.2969757064947942,0.0,Team_00#41,incoming,Team_00
152,11,0,0.1496562665256478,0.0350654174656653,0.0025884554713274,0.3220430107526881,0.0,Team_00#152,incoming,Team_00
194,11,0,0.1496562665256478,0.0372334457940659,0.0018683025987971,0.3089221248066013,0.0,Team_00#194,incoming,Team_00
251,11,0,0.1496562665256478,0.0378715576269046,0.0028847746717188,0.3150973172014729,0.3333333333333333,Team_00#251,incoming,Team_00
292,11,0,0.1496562665256478,0.0409656340909006,0.0018023711095733,0.3048346055979644,0.0,Team_00#292,incoming,Team_00
413,11,0,0.1496562665256478,0.033384571072638,0.0059700129615283,0.3177718832891246,0.0,Team_00#413,incoming,Team_00
545,11,0,0.1496562665256478,0.0309206156095928,0.0015201689959583,0.3100414078674948,0.0,Team_00#545,incoming,Team_00
549,11,0,0.1496562665256478,0.0329065684552724,0.0024578998151733,0.3113305613305613,0.6666666666666666,Team_00#549,incoming,Team_00
581,11,0,0.1496562665256478,0.0351758532231391,0.0042529036090504,0.3196371398078975,0.0,Team_00#581,incoming,Team_00
4,12,0,0.1496562665256478,0.0426205549961819,0.0016762945679132,0.3097207859358842,0.0,Team_00#4,incoming,Team_00
24,12,0,0.1496562665256478,0.0431615171684093,0.0051281800390968,0.3246612466124661,0.0,Team_00#24,incoming,Team_00
71,12,0,0.1496562665256478,0.034007221177692,0.0037748728237743,0.3100414078674948,0.6666666666666666,Team_00#71,incoming,Team_00
79,12,0,0.1496562665256478,0.0396380974159422,0.0053878542771001,0.3189563365282215,0.0,Team_00#79,incoming,Team_00
137,12,0,0.1496562665256478,0.0387398133485973,0.0076568996844751,0.3257205002718868,0.0,Team_00#137,incoming,Team_00
159,12,0,0.1496562665256478,0.0390474556250685,0.002284430366528,0.3084449021627188,0.0,Team_00#159,incoming,Team_00
288,12,0,0.1496562665256478,0.0410853972419803,0.001568163511205,0.3034447821681864,0.0,Team_00#288,incoming,Team_00
379,12,0,0.1496562665256478,0.0395066346451384,0.0047998573687339,0.321869962385814,0.0,Team_00#379,incoming,Team_00
400,12,0,0.1496562665256478,0.0387478937799543,0.002281658772666,0.3056122448979592,0.3333333333333333,Team_00#400,incoming,Team_00
531,12,0,0.1496562665256478,0.0393783475428147,0.0051669584286327,0.3172669491525424,0.0,Team_00#531,incoming,Team_00
27,13,0,0.1496562665256478,0.0435017700836676,0.0024897891140063,0.3157617290458618,0.0,Team_00#27,incoming,Team_00
173,13,0,0.1496562665256478,0.0440635856906331,0.0039697686747306,0.3067076292882744,0.0,Team_00#173,incoming,Team_00
285,13,0,0.1496562665256478,0.0399397488191833,0.0062311485312423,0.3227370689655172,0.0,Team_00#285,incoming,Team_00
385,13,0,0.1496562665256478,0.0382665912777361,0.0039884596343831,0.3172669491525424,0.0,Team_00#385,incoming,Team_00
404,13,0,0.1496562665256478,0.0489856905233071,0.0055736939068435,0.3403409090909091,0.0,Team_00#404,incoming,Team_00
408,13,0,0.1496562665256478,0.0382575438990661,0.0047760453770207,0.3225632740980075,0.0,Team_00#408,incoming,Team_00
553,13,0,0.1496562665256478,0.0392438881675076,0.0076133045203573,0.3236088600756348,0.0,Team_00#553,incoming,Team_00
428,14,0,0.1496562665256478,0.0408306670752208,0.0041541655257352,0.3186170212765957,0.0,Team_00#428,incoming,Team_00
431,14,0,0.1496562665256478,0.0389154924450641,0.0044838889563578,0.3142707240293809,0.0,Team_00#431,incoming,Team_00
505,14,0,0.1496562665256478,0.0441128329404865,0.0046983423298961,0.3255434782608695,0.0,Team_00#505,incoming,Team_00
