source,target,type
0,33,outandin
0,75,outandin
0,252,outandin
0,280,outandin
0,315,outgoing
0,325,outandin
0,383,outandin
0,389,outandin
0,595,outandin
0,598,outandin
0,673,outandin
0,716,outgoing
0,751,outandin
33,71,outandin
33,83,outandin
33,92,outandin
33,108,outandin
33,121,outandin
33,168,outgoing
33,233,outgoing
33,369,outandin
33,389,outandin
33,436,outandin
33,509,outgoing
33,716,outandin
33,745,outgoing
33,753,outandin
75,12,outandin
75,63,outandin
75,65,outandin
75,107,outandin
75,157,outandin
75,243,outandin
75,347,outgoing
75,447,outandin
75,595,outgoing
75,773,outandin
252,168,outandin
252,265,outandin
252,364,outandin
252,387,outandin
252,389,outandin
252,427,outandin
252,579,outandin
252,662,outandin
252,699,outandin
252,744,outgoing
252,751,outandin
280,25,outandin
280,168,outandin
280,207,outandin
280,259,outandin
280,261,outandin
280,266,outandin
280,470,outandin
280,546,outandin
280,731,outandin
280,739,outandin
280,755,outandin
280,758,outandin
315,28,outandin
315,112,outandin
315,168,outandin
315,222,outandin
315,325,outandin
315,474,outandin
315,744,outandin
315,745,outandin
315,751,outandin
325,83,outandin
325,108,outandin
325,116,outandin
325,193,outandin
325,233,outandin
325,387,outandin
325,436,outandin
325,496,outandin
325,612,outandin
325,635,outandin
383,61,outandin
383,121,outandin
383,436,outandin
383,474,outandin
383,509,outandin
383,537,outandin
383,716,outgoing
383,744,outandin
383,745,outandin
389,92,outgoing
389,112,outandin
389,166,outandin
389,369,outandin
389,387,outandin
389,461,outandin
389,474,outandin
389,496,outandin
389,509,outgoing
595,58,outandin
595,63,outandin
595,127,outandin
595,218,outandin
595,312,outandin
595,363,outgoing
595,377,outandin
595,395,outandin
595,402,outandin
595,483,outandin
595,519,outandin
595,619,outgoing
595,777,outandin
598,16,outandin
598,65,outgoing
598,91,outandin
598,130,outandin
598,176,outandin
598,201,outandin
598,254,outandin
598,328,outgoing
598,351,outandin
598,377,outandin
598,490,outandin
598,519,outandin
598,710,outandin
673,92,outandin
673,108,outandin
673,193,outgoing
673,268,outandin
673,468,outandin
673,587,outandin
673,600,outandin
673,716,outandin
716,18,outgoing
716,61,outandin
716,166,outandin
716,224,outandin
716,265,outandin
716,298,outandin
716,395,outandin
716,496,outandin
716,691,outandin
716,732,outandin
716,738,outandin
751,18,outandin
751,83,outandin
751,193,outandin
751,242,outandin
751,436,outandin
751,579,outandin
751,587,outandin
751,738,outandin
1,170,outandin
1,185,outgoing
1,413,outandin
1,478,outandin
1,553,outandin
1,581,outandin
1,604,outandin
1,621,outandin
1,752,outandin
170,152,outandin
170,156,outandin
170,215,outandin
170,341,outandin
170,531,outandin
170,741,outgoing
185,4,outandin
185,35,outandin
185,58,outandin
185,105,outandin
185,408,outandin
185,409,outandin
185,428,outgoing
185,750,outandin
185,753,outandin
185,760,outandin
413,31,outandin
413,79,outandin
413,159,outgoing
413,201,outandin
413,455,outandin
413,561,outandin
413,682,outandin
413,724,outandin
413,753,outandin
413,760,outandin
478,14,outandin
478,53,outgoing
478,214,outandin
478,536,outandin
478,584,outgoing
478,687,outgoing
478,695,outgoing
478,765,outandin
478,768,outandin
478,775,outandin
553,72,outandin
553,237,outandin
553,285,outandin
553,379,outgoing
553,408,outgoing
553,476,outandin
553,512,outandin
553,549,outandin
553,550,outandin
553,571,outandin
553,682,outgoing
553,733,outandin
553,757,outandin
581,292,outgoing
581,339,outandin
581,341,outandin
581,404,outandin
581,505,outandin
581,512,outandin
581,538,outandin
581,573,outgoing
581,724,outandin
581,750,outandin
604,41,outandin
604,52,outandin
604,71,outandin
604,146,outandin
604,152,outandin
604,215,outandin
604,341,outandin
604,719,outgoing
604,726,outandin
621,35,outandin
621,209,outandin
621,222,outandin
621,518,outandin
621,574,outandin
621,672,outandin
621,675,outandin
621,701,outandin
621,704,outandin
621,746,outandin
752,24,outandin
752,91,outandin
752,92,outandin
752,135,outandin
752,237,outandin
752,303,outandin
752,455,outandin
752,693,outandin
752,735,outandin
2,6,outandin
2,236,outandin
2,294,outgoing
2,385,outandin
2,417,outandin
2,432,outgoing
2,438,outandin
2,445,outandin
2,492,outandin
2,500,outandin
2,501,outandin
2,563,outandin
2,570,outandin
2,720,outandin
2,762,outandin
6,13,outandin
6,74,outandin
6,115,outandin
6,219,outandin
6,321,outgoing
6,404,outandin
6,432,outandin
6,437,outgoing
6,462,outandin
6,485,outandin
6,682,outandin
6,705,outandin
236,230,outandin
236,290,outandin
236,499,outandin
236,614,outandin
236,685,outandin
236,692,outandin
236,725,outandin
294,13,outandin
294,128,outandin
294,129,outandin
294,142,outandin
294,309,outandin
294,335,outandin
294,411,outandin
294,462,outandin
294,565,outandin
294,599,outandin
294,605,outandin
385,72,outandin
385,74,outandin
385,159,outgoing
385,191,outandin
385,218,outandin
385,237,outandin
385,260,outandin
385,412,outandin
385,545,outandin
385,660,outandin
417,42,outgoing
417,70,outandin
417,150,outgoing
417,205,outandin
417,283,outandin
417,286,outandin
417,365,outandin
417,502,outandin
417,521,outandin
417,712,outandin
417,736,outandin
417,743,outandin
432,61,outandin
432,69,outandin
432,332,outandin
432,426,outandin
432,461,outgoing
432,501,outandin
432,562,outandin
432,563,outandin
432,566,outandin
432,586,outgoing
432,761,outandin
432,773,outandin
438,80,outandin
438,129,outandin
438,239,outandin
438,289,outandin
438,374,outandin
438,513,outandin
438,762,outandin
445,197,outgoing
445,219,outandin
445,232,outandin
445,249,outandin
445,300,outandin
445,364,outandin
445,426,outandin
445,469,outandin
445,501,outandin
445,605,outandin
492,13,outandin
492,76,outandin
492,344,outgoing
492,450,outandin
492,469,outandin
492,500,outandin
492,501,outandin
492,562,outandin
492,619,outandin
492,756,outandin
492,777,outandin
500,74,outandin
500,159,outandin
500,234,outandin
500,462,outandin
500,562,outandin
500,563,outandin
500,617,outandin
500,720,outandin
501,110,outandin
501,180,outandin
501,197,outgoing
501,239,outandin
501,300,outandin
501,321,outgoing
501,374,outandin
501,426,outandin
501,469,outandin
501,558,outandin
501,562,outandin
501,566,outandin
501,570,outandin
501,705,outandin
563,198,outandin
563,321,outandin
563,374,outandin
563,404,outandin
563,426,outandin
563,513,outandin
563,748,outandin
563,762,outandin
570,111,outandin
570,197,outgoing
570,219,outandin
570,234,outandin
570,239,outandin
570,255,outandin
570,287,outandin
570,324,outandin
570,452,outandin
570,565,outgoing
570,602,outandin
570,648,outandin
570,720,outandin
720,74,outandin
720,128,outandin
720,235,outandin
720,437,outandin
720,564,outandin
720,662,outandin
720,705,outandin
762,24,outandin
762,69,outandin
762,76,outandin
762,128,outandin
762,219,outandin
762,284,outandin
762,348,outandin
762,364,outandin
762,444,outandin
762,513,outandin
762,665,outandin
762,708,outandin
4,137,outandin
4,287,outandin
4,408,outandin
4,455,outandin
4,503,outandin
4,505,outandin
4,545,outandin
4,550,outandin
4,726,outandin
4,733,outandin
137,23,outandin
137,152,outandin
137,205,outandin
137,215,outandin
137,292,outandin
137,379,outandin
137,549,outandin
137,572,outandin
137,719,outandin
137,754,outandin
287,111,outandin
287,184,outandin
287,232,outgoing
287,235,outgoing
287,242,outandin
287,348,outandin
287,374,outandin
287,460,outandin
287,462,outandin
287,513,outandin
287,564,outandin
287,777,outandin
408,52,outandin
408,79,outgoing
408,162,outgoing
408,275,outandin
408,375,outandin
408,477,outandin
408,550,outandin
408,760,outandin
455,79,outgoing
455,142,outandin
455,269,outandin
455,275,outandin
455,404,outandin
455,550,outandin
455,561,outgoing
455,650,outandin
503,159,outandin
503,186,outandin
503,191,outgoing
503,292,outandin
503,373,outandin
503,379,outandin
503,726,outandin
503,760,outandin
503,763,outandin
505,23,outandin
505,41,outandin
505,94,outandin
505,215,outandin
505,224,outandin
505,237,outandin
505,412,outandin
505,428,outandin
505,431,outandin
505,531,outandin
505,545,outandin
505,564,outandin
505,719,outgoing
505,741,outandin
505,775,outandin
545,27,outandin
545,152,outandin
545,208,outandin
545,219,outandin
545,379,outandin
545,412,outgoing
545,561,outandin
545,712,outandin
550,72,outgoing
550,572,outandin
550,753,outandin
550,754,outandin
726,27,outandin
